v,v_eff,m,t
"[[7.00871438e-05]
 [1.19385464e-07]
 [1.67069572e-05]
 [3.82254813e-06]
 [8.94573488e-07]
 [5.80608143e-06]
 [6.33580541e-08]
 [7.20135497e-06]
 [1.70913561e-05]
 [1.32082817e-05]
 [3.46379455e-06]
 [1.48016091e-04]
 [9.05285606e-07]
 [1.01910950e-05]
 [6.42654275e-06]
 [8.37481468e-07]
 [8.16114056e-06]
 [5.85324286e-06]]","[[7.00871438e-05]
 [1.19385464e-07]
 [1.67069572e-05]
 [3.82254813e-06]
 [8.94573488e-07]
 [5.80608143e-06]
 [6.33580541e-08]
 [7.20135497e-06]
 [1.70913561e-05]
 [1.32082817e-05]
 [3.46379455e-06]
 [1.48016091e-04]
 [9.05285606e-07]
 [1.01910950e-05]
 [6.42654275e-06]
 [8.37481468e-07]
 [8.16114056e-06]
 [5.85324286e-06]]","[[-0.02511542]
 [ 0.00103657]
 [-0.01226224]
 [-0.0058654 ]
 [-0.00283746]
 [ 0.00722874]
 [-0.00075513]
 [ 0.0080506 ]
 [-0.01240251]
 [ 0.01090296]
 [-0.00558338]
 [ 0.03649856]
 [ 0.00285439]
 [-0.00957705]
 [ 0.00760519]
 [ 0.00274542]
 [-0.00857031]
 [-0.00725804]]",1
"[[5.19700352e-05]
 [1.07879454e-07]
 [1.32700214e-05]
 [3.08771047e-06]
 [8.10601545e-07]
 [4.66698850e-06]
 [1.71823192e-08]
 [4.99788122e-06]
 [1.26140348e-05]
 [1.00906498e-05]
 [2.76607282e-06]
 [1.13000943e-04]
 [6.22268342e-07]
 [7.45422362e-06]
 [5.07975693e-06]
 [7.22658253e-07]
 [6.34596916e-06]
 [4.05736716e-06]]","[[5.19700352e-05]
 [1.07879454e-07]
 [1.32700214e-05]
 [3.08771047e-06]
 [8.10601545e-07]
 [4.66698850e-06]
 [1.71823192e-08]
 [4.99788122e-06]
 [1.26140348e-05]
 [1.00906498e-05]
 [2.76607282e-06]
 [1.13000943e-04]
 [6.22268342e-07]
 [7.45422362e-06]
 [5.07975693e-06]
 [7.22658253e-07]
 [6.34596916e-06]
 [4.05736716e-06]]","[[-0.02162707]
 [ 0.00098535]
 [-0.01092841]
 [-0.00527156]
 [-0.002701  ]
 [ 0.00648096]
 [-0.00039324]
 [ 0.00670678]
 [-0.01065487]
 [ 0.00952973]
 [-0.00498945]
 [ 0.03189057]
 [ 0.00236652]
 [-0.00819073]
 [ 0.00676149]
 [ 0.00255028]
 [-0.00755736]
 [-0.00604287]]",1
"[[3.56257884e-05]
 [8.76586491e-08]
 [9.71392296e-06]
 [2.29490578e-06]
 [6.64220839e-07]
 [3.45253704e-06]
 [1.44111430e-09]
 [3.20330820e-06]
 [8.60840596e-06]
 [7.12688904e-06]
 [2.03541692e-06]
 [7.97041917e-05]
 [3.96173777e-07]
 [5.04565356e-06]
 [3.69979337e-06]
 [5.71277510e-07]
 [4.55899553e-06]
 [2.59514122e-06]]","[[3.56257884e-05]
 [8.76586491e-08]
 [9.71392296e-06]
 [2.29490578e-06]
 [6.64220839e-07]
 [3.45253704e-06]
 [1.44111430e-09]
 [3.20330820e-06]
 [8.60840596e-06]
 [7.12688904e-06]
 [2.03541692e-06]
 [7.97041917e-05]
 [3.96173777e-07]
 [5.04565356e-06]
 [3.69979337e-06]
 [5.71277510e-07]
 [4.55899553e-06]
 [2.59514122e-06]]","[[-0.0179062 ]
 [ 0.00088822]
 [-0.00935015]
 [-0.00454468]
 [-0.00244499]
 [ 0.0055743 ]
 [-0.00011389]
 [ 0.00536934]
 [-0.00880203]
 [ 0.00800887]
 [-0.00428004]
 [ 0.02678316]
 [ 0.00188827]
 [-0.00673876]
 [ 0.00577045]
 [ 0.00226749]
 [-0.00640554]
 [-0.00483283]]",1
"[1.27116927e-07 1.13802878e-06 7.52253460e-04 ... 7.21523882e-04
 5.23611224e-04 2.72075288e-05]","[1.27116927e-07 1.13802878e-06 7.52253460e-04 ... 7.21523882e-04
 5.23611224e-04 2.72075288e-05]","[ 0.0010696   0.00320035  0.08228172 ... -0.08058359 -0.06864766
 -0.01564825]",1
"[[2.16226153e-05]
 [6.16594469e-08]
 [6.27539204e-06]
 [1.50301282e-06]
 [4.72937791e-07]
 [2.25119271e-06]
 [6.03861208e-10]
 [1.81703187e-06]
 [5.20173270e-06]
 [4.45524057e-06]
 [1.32140864e-06]
 [4.97344494e-05]
 [2.23734152e-07]
 [3.02650385e-06]
 [2.37814042e-06]
 [3.96165546e-07]
 [2.89672640e-06]
 [1.46749857e-06]]","[[2.16226153e-05]
 [6.16594469e-08]
 [6.27539204e-06]
 [1.50301282e-06]
 [4.72937791e-07]
 [2.25119271e-06]
 [6.03861208e-10]
 [1.81703187e-06]
 [5.20173270e-06]
 [4.45524057e-06]
 [1.32140864e-06]
 [4.97344494e-05]
 [2.23734152e-07]
 [3.02650385e-06]
 [2.37814042e-06]
 [3.96165546e-07]
 [2.89672640e-06]
 [1.46749857e-06]]","[[-1.39500372e-02]
 [ 7.44939610e-04]
 [-7.51521978e-03]
 [-3.67792270e-03]
 [-2.06311418e-03]
 [ 4.50119255e-03]
 [ 7.37207628e-05]
 [ 4.04391973e-03]
 [-6.84219221e-03]
 [ 6.33223224e-03]
 [-3.44857619e-03]
 [ 2.11567966e-02]
 [ 1.41901634e-03]
 [-5.21905495e-03]
 [ 4.62636616e-03]
 [ 1.88825049e-03]
 [-5.10593161e-03]
 [-3.63421067e-03]]",1
"[[1.05756250e-05]
 [3.46199599e-08]
 [3.24375622e-06]
 [7.89294266e-07]
 [2.67547595e-07]
 [1.16573681e-06]
 [3.12288964e-09]
 [8.24275031e-07]
 [2.55206336e-06]
 [2.25027150e-06]
 [6.92294170e-07]
 [2.50241336e-05]
 [1.01142341e-07]
 [1.46258282e-06]
 [1.21816817e-06]
 [2.18937492e-07]
 [1.48101234e-06]
 [6.63277510e-07]]","[[1.05756250e-05]
 [3.46199599e-08]
 [3.24375622e-06]
 [7.89294266e-07]
 [2.67547595e-07]
 [1.16573681e-06]
 [3.12288964e-09]
 [8.24275031e-07]
 [2.55206336e-06]
 [2.25027150e-06]
 [6.92294170e-07]
 [2.50241336e-05]
 [1.01142341e-07]
 [1.46258282e-06]
 [1.21816817e-06]
 [2.18937492e-07]
 [1.48101234e-06]
 [6.63277510e-07]]","[[-0.00975606]
 [ 0.00055819]
 [-0.00540313]
 [-0.00266527]
 [-0.00155175]
 [ 0.00323908]
 [ 0.00016765]
 [ 0.00272369]
 [-0.00479255]
 [ 0.00450027]
 [-0.00249613]
 [ 0.01500724]
 [ 0.00095409]
 [-0.00362812]
 [ 0.00331112]
 [ 0.00140372]
 [-0.00365091]
 [-0.00244326]]",1
"[[3.15326138e-06]
 [1.16521153e-08]
 [1.01876751e-06]
 [2.51425574e-07]
 [9.09129902e-08]
 [3.66560078e-07]
 [2.58883769e-09]
 [2.28039613e-07]
 [7.63124147e-07]
 [6.92178410e-07]
 [2.20157747e-07]
 [7.66637935e-06]
 [2.79001969e-08]
 [4.31081918e-07]
 [3.79313306e-07]
 [7.30972436e-08]
 [4.60647685e-07]
 [1.82590457e-07]]","[[3.15326138e-06]
 [1.16521153e-08]
 [1.01876751e-06]
 [2.51425574e-07]
 [9.09129902e-08]
 [3.66560078e-07]
 [2.58883769e-09]
 [2.28039613e-07]
 [7.63124147e-07]
 [6.92178410e-07]
 [2.20157747e-07]
 [7.66637935e-06]
 [2.79001969e-08]
 [4.31081918e-07]
 [3.79313306e-07]
 [7.30972436e-08]
 [4.60647685e-07]
 [1.82590457e-07]]","[[-0.00532723]
 [ 0.00032383]
 [-0.00302802]
 [-0.00150427]
 [-0.00090455]
 [ 0.00181633]
 [ 0.00015264]
 [ 0.0014326 ]
 [-0.00262071]
 [ 0.00249592]
 [-0.00140763]
 [ 0.00830647]
 [ 0.0005011 ]
 [-0.0019697 ]
 [ 0.00184765]
 [ 0.0008111 ]
 [-0.00203613]
 [-0.00128192]]",1
"[2.54298905e-07 6.20012851e-07 3.44102589e-04 ... 3.33029797e-04
 2.40959275e-04 9.48976706e-06]","[2.54298905e-07 6.20012851e-07 3.44102589e-04 ... 3.33029797e-04
 2.40959275e-04 9.48976706e-06]","[ 0.00151284  0.00236223  0.05565001 ... -0.05474731 -0.04656859
 -0.00924164]",1
"[[4.98091672e-08]
 [2.04813846e-10]
 [1.68945591e-08]
 [4.22220407e-09]
 [1.61525896e-09]
 [6.08318529e-09]
 [7.79720970e-11]
 [3.34703386e-09]
 [1.20826494e-08]
 [1.12639950e-08]
 [3.69235335e-09]
 [1.24252968e-07]
 [4.08039888e-10]
 [6.73341595e-09]
 [6.24058004e-09]
 [1.28125741e-09]
 [7.57256196e-09]
 [2.66270229e-09]]","[[4.98091672e-08]
 [2.04813846e-10]
 [1.68945591e-08]
 [4.22220407e-09]
 [1.61525896e-09]
 [6.08318529e-09]
 [7.79720970e-11]
 [3.34703386e-09]
 [1.20826494e-08]
 [1.12639950e-08]
 [3.69235335e-09]
 [1.24252968e-07]
 [4.08039888e-10]
 [6.73341595e-09]
 [6.24058004e-09]
 [1.28125741e-09]
 [7.57256196e-09]
 [2.66270229e-09]]","[[-6.69539024e-04]
 [ 4.29339564e-05]
 [-3.89937216e-04]
 [-1.94935468e-04]
 [-1.20570853e-04]
 [ 2.33984332e-04]
 [ 2.64905431e-05]
 [ 1.73560666e-04]
 [-3.29763317e-04]
 [ 3.18395910e-04]
 [-1.82294213e-04]
 [ 1.05748603e-03]
 [ 6.05999917e-05]
 [-2.46172183e-04]
 [ 2.36992026e-04]
 [ 1.07383968e-04]
 [-2.61061406e-04]
 [-1.54804136e-04]]",1
"[[2.03878671e-06]
 [9.22271311e-09]
 [7.24066568e-07]
 [1.83019846e-07]
 [7.35688715e-08]
 [2.60903191e-07]
 [5.09237099e-09]
 [1.27436465e-07]
 [4.95355938e-07]
 [4.74289809e-07]
 [1.59809826e-07]
 [5.21185911e-06]
 [1.54660447e-08]
 [2.72642490e-07]
 [2.65529550e-07]
 [5.77342630e-08]
 [3.21952227e-07]
 [1.00651961e-07]]","[[2.03878671e-06]
 [9.22271311e-09]
 [7.24066568e-07]
 [1.83019846e-07]
 [7.35688715e-08]
 [2.60903191e-07]
 [5.09237099e-09]
 [1.27436465e-07]
 [4.95355938e-07]
 [4.74289809e-07]
 [1.59809826e-07]
 [5.21185911e-06]
 [1.54660447e-08]
 [2.72642490e-07]
 [2.65529550e-07]
 [5.77342630e-08]
 [3.21952227e-07]
 [1.00651961e-07]]","[[ 0.00428358]
 [-0.0002881 ]
 [ 0.00255276]
 [ 0.00128342]
 [ 0.00081371]
 [-0.00153236]
 [-0.00021408]
 [-0.00107095]
 [ 0.00211145]
 [-0.00206606]
 [ 0.00119929]
 [-0.00684885]
 [-0.00037309]
 [ 0.00156646]
 [-0.00154589]
 [-0.00072084]
 [ 0.00170223]
 [ 0.00095177]]",1
