epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.7425,0.5397,"[2.62322611e+00 4.52294156e+00 3.71779839e-03 1.90260984e+00
 9.25091066e-01 5.77181917e-01 1.17327023e+00 2.16822346e+00
 2.49596270e+00 3.38248635e+00 2.63687498e+00 4.30236139e+00
 1.28161527e+00 5.52037345e+00 1.69082681e-01 4.20967520e+00
 2.62500219e+00 3.51335019e+00]",19.0801
1,0.7039,0.6463,"[2.62622502 4.5199601  0.00671585 1.90560591 0.92808438 0.57418516
 1.17034619 2.16522739 2.49896049 3.37948869 2.63987078 4.29936209
 1.27862647 5.52337053 0.16608585 4.2066826  2.62799931 3.51634581]",19.0933
2,0.6796,0.7805,"[2.62522157 4.52101078 0.0057099  1.90459408 0.92706532 0.57519503
 1.17142919 2.16624031 2.49795351 3.38049595 2.63885815 4.30036429
 1.27966213 5.52236123 0.16709558 4.20770388 2.62699046 3.51533135]",19.0884
3,0.6744,0.9334,"[2.62222201e+00 4.52400492e+00 2.71060877e-03 1.90159547e+00
 9.24067451e-01 5.78193864e-01 1.17442367e+00 2.16923827e+00
 2.49495439e+00 3.38349505e+00 2.63585965e+00 4.30336402e+00
 1.28265691e+00 5.51936243e+00 1.70094398e-01 4.21070145e+00
 2.62399153e+00 3.51233351e+00]",19.0752
4,0.6694,0.9834,"[ 2.61922235e+00  4.52700061e+00 -2.88854046e-04  1.89859651e+00
  9.21069052e-01  5.81192994e-01  1.17742000e+00  2.17223661e+00
  2.49195505e+00  3.38649438e+00  2.63286077e+00  4.30636382e+00
  1.28565302e+00  5.51636333e+00  1.73093500e-01  4.21369962e+00
  2.62099233e+00  3.50933518e+00]",19.0625
5,0.6698,0.9317,"[ 2.61622270e+00  4.52999598e+00 -3.28827525e-03  1.89559763e+00
  9.18070809e-01  5.84192065e-01  1.18041612e+00  2.17523481e+00
  2.48895574e+00  3.38949365e+00  2.62986198e+00  4.30936360e+00
  1.28864907e+00  5.51336428e+00  1.76092531e-01  4.21669761e+00
  2.61799319e+00  3.50633691e+00]",19.0504
6,0.6739,0.8972,"[ 2.61322307  4.53299127 -0.00628769  1.89259877  0.91507263  0.58719113
  1.18341229  2.17823295  2.48595644  3.39249291  2.62686322  4.31236338
  1.29164524  5.51036522  0.17909154  4.21969554  2.61499406  3.50333864]",19.0388
7,0.6752,0.8939,"[ 2.61022342  4.53598674 -0.00928711  1.88959987  0.91207442  0.59019022
  1.18640874  2.18123109  2.4829571   3.39549219  2.62386442  4.31536316
  1.29464168  5.50736612  0.18209058  4.22269351  2.6119949   3.50034028]",19.0277
8,0.6772,0.9272,"[ 2.60722376  4.53898238 -0.01228656  1.88660094  0.90907617  0.59318936
  1.18940543  2.18422924  2.47995774  3.3984915   2.62086558  4.31836296
  1.29763837  5.50436697  0.18508965  4.22569153  2.60899571  3.49734185]",19.0172
9,0.6773,0.8752,"[ 2.60422413  4.54197738 -0.01528593  1.88360216  0.90607823  0.59618837
  1.19240167  2.18722714  2.47695844  3.40149071  2.6178669   4.32136273
  1.30063481  5.50136792  0.18808859  4.22868922  2.60599663  3.49434357]",19.0072
10,0.6766,0.9174,"[ 2.60122449  4.54497271 -0.01828533  1.88060329  0.90308019  0.59918746
  1.1953983   2.19022509  2.47395909  3.40448997  2.61486815  4.32436251
  1.30363158  5.49836879  0.19108759  4.23168703  2.60299748  3.49134517]",18.9976
11,0.6803,0.8695,"[ 2.59822487  4.5479676  -0.02128469  1.87760453  0.90008237  0.60218647
  1.19839469  2.19322284  2.47095979  3.40748918  2.6118695   4.32736228
  1.30662824  5.49536972  0.19408651  4.23468461  2.59999841  3.48834685]",18.9886
12,0.6815,0.836,"[ 2.59522528  4.550962   -0.02428399  1.87460588  0.89708482  0.60518541
  1.20139081  2.19622039  2.46796053  3.41048831  2.60887098  4.33036202
  1.3096248   5.49237071  0.19708533  4.23768194  2.59699941  3.48534862]",18.9801
13,0.6788,0.8841,"[ 2.59222569  4.55395634 -0.02728328  1.87160724  0.89408734  0.60818435
  1.204387    2.19921785  2.46496126  3.41348744  2.60587247  4.33336177
  1.31262145  5.48937168  0.20008413  4.2406792   2.59400041  3.48235038]",18.9721
14,0.682,0.8481,"[ 2.58922611  4.5569505  -0.03028255  1.86860864  0.89109     0.61118326
  1.20738319  2.20221518  2.461962    3.41648655  2.602874    4.33636151
  1.31561815  5.48637266  0.2030829   4.24367634  2.59100143  3.47935214]",18.9646
15,0.6822,0.8781,"[ 2.5862265   4.55994496 -0.03328186  1.86560996  0.88809258  0.61418224
  1.21037973  2.20521255  2.4589627   3.41948571  2.59987546  4.33936127
  1.31861512  5.48337357  0.20608173  4.2466736   2.5880024   3.4763538 ]",18.9576
16,0.6817,0.8696,"[ 2.58322694  4.56293861 -0.03628108  1.86261146  0.88509559  0.61718109
  1.21337584  2.20820957  2.45596346  3.42248476  2.59687711  4.34236099
  1.32161186  5.48037458  0.20908041  4.24967045  2.58500348  3.4733556 ]",18.951
17,0.6827,0.8403,"[ 2.58022736  4.56593256 -0.03928034  1.85961288  0.88209854  0.62018002
  1.2163723   2.21120661  2.45296418  3.42548386  2.59387868  4.34536073
  1.32460887  5.47737552  0.21207916  4.25266741  2.5820045   3.4703573 ]",18.9449
18,0.6821,0.8731,"[ 2.57722776  4.56892666 -0.04227962  1.85661426  0.87910147  0.62317897
  1.21936897  2.2142036   2.44996486  3.42848298  2.59088021  4.34836048
  1.32760604  5.47437642  0.21507793  4.25566441  2.57900548  3.46735893]",18.9392
