v,v_eff,m,t
"[[8.06698648e-05]
 [5.03129732e-07]
 [3.12544694e-05]
 [8.40662638e-06]
 [3.54082329e-06]
 [1.17874521e-05]
 [7.35509641e-07]
 [3.13120306e-06]
 [2.17735793e-05]
 [2.00827947e-05]
 [7.31577905e-06]
 [2.21646408e-04]
 [6.03706585e-07]
 [1.13611098e-05]
 [1.10070149e-05]
 [2.68535922e-06]
 [1.41868940e-05]
 [3.22080778e-06]]","[[8.06698648e-05]
 [5.03129732e-07]
 [3.12544694e-05]
 [8.40662638e-06]
 [3.54082329e-06]
 [1.17874521e-05]
 [7.35509641e-07]
 [3.13120306e-06]
 [2.17735793e-05]
 [2.00827947e-05]
 [7.31577905e-06]
 [2.21646408e-04]
 [6.03706585e-07]
 [1.13611098e-05]
 [1.10070149e-05]
 [2.68535922e-06]
 [1.41868940e-05]
 [3.22080778e-06]]","[[ 0.02694492]
 [-0.00212795]
 [ 0.01677171]
 [ 0.00869825]
 [ 0.00564512]
 [-0.01029986]
 [-0.00257286]
 [-0.00530856]
 [ 0.01399865]
 [-0.01344415]
 [ 0.00811431]
 [-0.04466338]
 [-0.00233096]
 [ 0.01011187]
 [-0.00995305]
 [-0.00491612]
 [ 0.01129965]
 [ 0.00538398]]",1
"[[6.37060660e-05]
 [3.84371443e-07]
 [2.42246123e-05]
 [6.50036832e-06]
 [2.67505055e-06]
 [9.17008192e-06]
 [5.44516247e-07]
 [2.52571467e-06]
 [1.72708474e-05]
 [1.56817899e-05]
 [5.65643463e-06]
 [1.73459339e-04]
 [5.01292648e-07]
 [9.06605130e-06]
 [8.54148768e-06]
 [2.04240587e-06]
 [1.10611001e-05]
 [2.64247949e-06]]","[[6.37060660e-05]
 [3.84371443e-07]
 [2.42246123e-05]
 [6.50036832e-06]
 [2.67505055e-06]
 [9.17008192e-06]
 [5.44516247e-07]
 [2.52571467e-06]
 [1.72708474e-05]
 [1.56817899e-05]
 [5.65643463e-06]
 [1.73459339e-04]
 [5.01292648e-07]
 [9.06605130e-06]
 [8.54148768e-06]
 [2.04240587e-06]
 [1.10611001e-05]
 [2.64247949e-06]]","[[ 0.02394482]
 [-0.00185993]
 [ 0.01476555]
 [ 0.00764875]
 [ 0.00490667]
 [-0.00908464]
 [-0.00221374]
 [-0.00476775]
 [ 0.01246746]
 [-0.01188007]
 [ 0.00713498]
 [-0.03951119]
 [-0.00212406]
 [ 0.00903297]
 [-0.00876775]
 [-0.00428738]
 [ 0.00997747]
 [ 0.00487671]]",1
"[[1.10609541e-04]
 [7.20322010e-07]
 [4.32552808e-05]
 [1.17351860e-05]
 [4.92084745e-06]
 [1.65506716e-05]
 [1.16520894e-06]
 [3.91198704e-06]
 [3.04007778e-05]
 [2.76430095e-05]
 [1.01652803e-05]
 [3.06380619e-04]
 [8.49217596e-07]
 [1.58257199e-05]
 [1.51731801e-05]
 [3.71125760e-06]
 [1.97137156e-05]
 [4.33971230e-06]]","[[1.10609541e-04]
 [7.20322010e-07]
 [4.32552808e-05]
 [1.17351860e-05]
 [4.92084745e-06]
 [1.65506716e-05]
 [1.16520894e-06]
 [3.91198704e-06]
 [3.04007778e-05]
 [2.76430095e-05]
 [1.01652803e-05]
 [3.06380619e-04]
 [8.49217596e-07]
 [1.58257199e-05]
 [1.51731801e-05]
 [3.71125760e-06]
 [1.97137156e-05]
 [4.33971230e-06]]","[[ 0.03155132]
 [-0.00254615]
 [ 0.01973062]
 [ 0.010277  ]
 [ 0.00665489]
 [-0.01220475]
 [-0.00323835]
 [-0.00593362]
 [ 0.01654107]
 [-0.01577299]
 [ 0.00956491]
 [-0.05251119]
 [-0.00276459]
 [ 0.01193447]
 [-0.01168583]
 [-0.00577939]
 [ 0.01332004]
 [ 0.00624959]]",1
"[2.86826115e-07 5.66967442e-08 7.70469165e-08 ... 7.53146783e-06
 3.60100879e-06 2.66518126e-05]","[2.86826115e-07 5.66967442e-08 7.70469165e-08 ... 7.53146783e-06
 3.60100879e-06 2.66518126e-05]","[ 0.00160668  0.00071433  0.00083272 ... -0.00823306 -0.0056929
  0.01548762]",1
"[[6.10562952e-05]
 [3.65183064e-07]
 [2.29311599e-05]
 [6.16773643e-06]
 [2.47615695e-06]
 [8.77859755e-06]
 [5.33544633e-07]
 [2.35173099e-06]
 [1.67814993e-05]
 [1.49066986e-05]
 [5.35369246e-06]
 [1.65588125e-04]
 [5.09876816e-07]
 [8.84860949e-06]
 [8.07627479e-06]
 [1.89881816e-06]
 [1.05537372e-05]
 [2.59778355e-06]]","[[6.10562952e-05]
 [3.65183064e-07]
 [2.29311599e-05]
 [6.16773643e-06]
 [2.47615695e-06]
 [8.77859755e-06]
 [5.33544633e-07]
 [2.35173099e-06]
 [1.67814993e-05]
 [1.49066986e-05]
 [5.35369246e-06]
 [1.65588125e-04]
 [5.09876816e-07]
 [8.84860949e-06]
 [8.07627479e-06]
 [1.89881816e-06]
 [1.05537372e-05]
 [2.59778355e-06]]","[[ 0.02344156]
 [-0.00181291]
 [ 0.01436595]
 [ 0.00745048]
 [ 0.00472074]
 [-0.00888861]
 [-0.00219132]
 [-0.00460061]
 [ 0.01228957]
 [-0.01158276]
 [ 0.00694141]
 [-0.03860431]
 [-0.00214217]
 [ 0.00892398]
 [-0.00852564]
 [-0.00413393]
 [ 0.00974595]
 [ 0.00483529]]",1
"[[1.06632423e-04]
 [6.88666537e-07]
 [4.11930208e-05]
 [1.12009685e-05]
 [4.58515296e-06]
 [1.59355176e-05]
 [1.14692790e-06]
 [3.65582684e-06]
 [2.97166486e-05]
 [2.64333914e-05]
 [9.68052701e-06]
 [2.94208690e-04]
 [8.69606419e-07]
 [1.55362668e-05]
 [1.44314788e-05]
 [3.47254320e-06]
 [1.89203234e-05]
 [4.29324710e-06]]","[[1.06632423e-04]
 [6.88666537e-07]
 [4.11930208e-05]
 [1.12009685e-05]
 [4.58515296e-06]
 [1.59355176e-05]
 [1.14692790e-06]
 [3.65582684e-06]
 [2.97166486e-05]
 [2.64333914e-05]
 [9.68052701e-06]
 [2.94208690e-04]
 [8.69606419e-07]
 [1.55362668e-05]
 [1.44314788e-05]
 [3.47254320e-06]
 [1.89203234e-05]
 [4.29324710e-06]]","[[ 0.03097889]
 [-0.00248958]
 [ 0.01925454]
 [ 0.01004035]
 [ 0.00642389]
 [-0.01197579]
 [-0.00321284]
 [-0.00573606]
 [ 0.01635389]
 [-0.01542402]
 [ 0.00933406]
 [-0.05145754]
 [-0.00279758]
 [ 0.01182482]
 [-0.01139664]
 [-0.00559043]
 [ 0.01304925]
 [ 0.00621605]]",1
"[[5.87136706e-05]
 [3.47969247e-07]
 [2.17836103e-05]
 [5.87213970e-06]
 [2.29876400e-06]
 [8.43333894e-06]
 [5.25010475e-07]
 [2.19471606e-06]
 [1.63584940e-05]
 [1.42195308e-05]
 [5.08466579e-06]
 [1.58633011e-04]
 [5.19370500e-07]
 [8.66397656e-06]
 [7.66305781e-06]
 [1.77152193e-06]
 [1.01058735e-05]
 [2.55980297e-06]]","[[5.87136706e-05]
 [3.47969247e-07]
 [2.17836103e-05]
 [5.87213970e-06]
 [2.29876400e-06]
 [8.43333894e-06]
 [5.25010475e-07]
 [2.19471606e-06]
 [1.63584940e-05]
 [1.42195308e-05]
 [5.08466579e-06]
 [1.58633011e-04]
 [5.19370500e-07]
 [8.66397656e-06]
 [7.66305781e-06]
 [1.77152193e-06]
 [1.01058735e-05]
 [2.55980297e-06]]","[[ 0.02298745]
 [-0.00176967]
 [ 0.01400187]
 [ 0.00726975]
 [ 0.0045485 ]
 [-0.00871206]
 [-0.00217373]
 [-0.00444437]
 [ 0.01213369]
 [-0.01131264]
 [ 0.00676476]
 [-0.03778488]
 [-0.00216202]
 [ 0.00883039]
 [-0.00830467]
 [-0.00399296]
 [ 0.00953692]
 [ 0.00479982]]",1
"[7.28794918e-07 1.47676320e-07 1.98984599e-07 ... 1.93493502e-05
 9.33766462e-06 7.03604495e-05]","[7.28794918e-07 1.47676320e-07 1.98984599e-07 ... 1.93493502e-05
 9.33766462e-06 7.03604495e-05]","[-0.00256108 -0.00115286 -0.00133823 ...  0.01319637  0.00916728
 -0.02516434]",1
"[[1.03274899e-04]
 [6.61341579e-07]
 [3.94212821e-05]
 [1.07424399e-05]
 [4.29127561e-06]
 [1.54181712e-05]
 [1.13556868e-06]
 [3.42727865e-06]
 [2.91786176e-05]
 [2.53983568e-05]
 [9.26338759e-06]
 [2.83891298e-04]
 [8.92718987e-07]
 [1.53199370e-05]
 [1.37925272e-05]
 [3.26516332e-06]
 [1.82483916e-05]
 [4.26174555e-06]]","[[1.03274899e-04]
 [6.61341579e-07]
 [3.94212821e-05]
 [1.07424399e-05]
 [4.29127561e-06]
 [1.54181712e-05]
 [1.13556868e-06]
 [3.42727865e-06]
 [2.91786176e-05]
 [2.53983568e-05]
 [9.26338759e-06]
 [2.83891298e-04]
 [8.92718987e-07]
 [1.53199370e-05]
 [1.37925272e-05]
 [3.26516332e-06]
 [1.82483916e-05]
 [4.26174555e-06]]","[[ 0.03048728]
 [-0.00243969]
 [ 0.01883591]
 [ 0.0098327 ]
 [ 0.00621462]
 [-0.01177979]
 [-0.00319689]
 [-0.00555387]
 [ 0.01620517]
 [-0.01511903]
 [ 0.00913074]
 [-0.05054722]
 [-0.00283451]
 [ 0.01174221]
 [-0.01114149]
 [-0.00542093]
 [ 0.01281544]
 [ 0.0061932 ]]",1
"[[5.74940447e-05]
 [3.38143132e-07]
 [2.10930404e-05]
 [5.69929248e-06]
 [2.17616593e-06]
 [8.25869408e-06]
 [5.29065547e-07]
 [2.07828478e-06]
 [1.62386539e-05]
 [1.38205478e-05]
 [4.92283356e-06]
 [1.54847034e-04]
 [5.37163935e-07]
 [8.63633267e-06]
 [7.41004649e-06]
 [1.68578250e-06]
 [9.86302158e-06]
 [2.56202601e-06]]","[[5.74940447e-05]
 [3.38143132e-07]
 [2.10930404e-05]
 [5.69929248e-06]
 [2.17616593e-06]
 [8.25869408e-06]
 [5.29065547e-07]
 [2.07828478e-06]
 [1.62386539e-05]
 [1.38205478e-05]
 [4.92283356e-06]
 [1.54847034e-04]
 [5.37163935e-07]
 [8.63633267e-06]
 [7.41004649e-06]
 [1.68578250e-06]
 [9.86302158e-06]
 [2.56202601e-06]]","[[ 0.02274745]
 [-0.0017445 ]
 [ 0.01377815]
 [ 0.00716196]
 [ 0.00442555]
 [-0.00862138]
 [-0.00218211]
 [-0.00432488]
 [ 0.01208916]
 [-0.0111528 ]
 [ 0.00665624]
 [-0.03733126]
 [-0.00219874]
 [ 0.00881629]
 [-0.00816642]
 [-0.00389513]
 [ 0.00942163]
 [ 0.0048019 ]]",1
