epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.7937,0.4508,"[2.61729770e+00 4.52293332e+00 3.65818376e-03 1.89661264e+00
 9.19095786e-01 5.83180109e-01 1.17330340e+00 2.16822488e+00
 2.49596298e+00 3.38248937e+00 2.63687567e+00 4.30236706e+00
 1.28161556e+00 5.52037409e+00 1.75080643e-01 4.20967977e+00
 2.62500261e+00 3.50735245e+00 8.84809508e-01 1.24770638e+00
 5.03422603e+00]",13.9409
1,0.7396,0.5498,"[2.62020264e+00 4.51993496e+00 2.70605588e-03 1.89361422e+00
 9.16097946e-01 5.86179547e-01 1.17629894e+00 2.16522989e+00
 2.49896219e+00 3.37949468e+00 2.63987384e+00 4.29937651e+00
 1.27862085e+00 5.52337336e+00 1.78079742e-01 4.20668898e+00
 2.62800141e+00 3.50435355e+00 8.82041810e-01 1.25070334e+00
 5.03722534e+00]",14.0152
2,0.699,0.6711,"[2.62308159e+00 4.51694162e+00 3.88792171e-04 1.89062035e+00
 9.13107372e-01 5.89177432e-01 1.17928460e+00 2.16225607e+00
 2.50195931e+00 3.37651368e+00 2.64286606e+00 4.29641306e+00
 1.27563914e+00 5.52637051e+00 1.81076562e-01 4.20371880e+00
 2.63099673e+00 3.50135794e+00 8.79253481e-01 1.25369128e+00
 5.04022269e+00]",14.0829
3,0.6706,0.8131,"[2.62016476e+00 4.51993543e+00 2.92818510e-03 1.89361479e+00
 9.16098382e-01 5.86179321e-01 1.17629664e+00 2.16522875e+00
 2.49896184e+00 3.37949719e+00 2.63987340e+00 4.29937970e+00
 1.27862340e+00 5.52337310e+00 1.78079336e-01 4.20669387e+00
 2.62800099e+00 3.50435391e+00 8.82110245e-01 1.25070231e+00
 5.03722508e+00]",14.0161
4,0.6532,0.971,"[2.61717673 4.52293413 0.00590935 1.89661366 0.91909658 0.5831797
 1.17329887 2.16822366 2.49596234 3.38249413 2.6368749  4.3023724
 1.28162041 5.52037362 0.17507989 4.20968943 2.62500185 3.50735309
 0.88508483 1.2477046  5.03422556]",13.9501
5,0.6476,1.1227,"[2.61418223 4.5259334  0.00890307 1.89961304 0.9220956  0.58017991
 1.17030005 2.17122112 2.49296262 3.38549251 2.63387573 4.30536809
 1.28461882 5.51737391 0.17208019 4.21268716 2.62200233 3.51035262
 0.88807138 1.2447059  5.03122582]",13.8834
6,0.6558,1.0654,"[2.61118712 4.5289327  0.01189841 1.90261245 0.92509471 0.57718011
 1.16730116 2.17421905 2.48996288 3.38849101 2.6308765  4.30836384
 1.28761732 5.51437418 0.16908049 4.21568505 2.61900279 3.51335218
 0.89105786 1.24170714 5.02822607]",13.8161
7,0.656,1.0997,"[2.6081917  4.53193202 0.01489457 1.90561187 0.92809388 0.5741803
 1.16430226 2.17721725 2.48696314 3.39148956 2.62787724 4.31135951
 1.29061584 5.51137445 0.16608079 4.218683   2.61600323 3.51635175
 0.89404363 1.23870836 5.02522631]",13.7479
8,0.6568,1.0492,"[2.60519631 4.5349313  0.01789108 1.90861126 0.93109305 0.57118051
 1.16130341 2.18021558 2.48396342 3.39448806 2.62487799 4.31435484
 1.29361428 5.50837473 0.16308111 4.22168088 2.6130037  3.5193513
 0.89702746 1.23570965 5.02222656]",13.679
9,0.658,1.0451,"[2.60220065 4.5379306  0.02088804 1.91161067 0.93409226 0.56818072
 1.15830455 2.18321408 2.4809637  3.39748661 2.62187871 4.31735009
 1.29661274 5.50537501 0.16008143 4.22467879 2.61000416 3.52235086
 0.90001007 1.23271093 5.01922681]",13.6094
10,0.6572,1.0871,"[2.59920471 4.54092991 0.02388538 1.91461008 0.93709151 0.56518092
 1.15530568 2.18621273 2.47796398 3.4004852  2.6188794  4.32034529
 1.29961122 5.50237527 0.15708176 4.22767676 2.60700461 3.52535043
 0.90299141 1.2297122  5.01622705]",13.5389
11,0.6602,1.0345,"[2.59620878 4.54392918 0.02688285 1.91760947 0.94009076 0.56218113
 1.15230686 2.18921144 2.47496427 3.40348375 2.6158801  4.32334017
 1.30260962 5.49937555 0.15408211 4.23067464 2.60400508 3.52834998
 0.9059696  1.22671352 5.0132273 ]",13.4677
12,0.6619,1.0513,"[2.59321242 4.5469285  0.02988069 1.92060889 0.94309008 0.55918133
 1.14930797 2.19221032 2.47196455 3.4064824  2.61288074 4.32633521
 1.3056081  5.49637582 0.15108245 4.23367267 2.60100552 3.53134956
 0.90894675 1.22371477 5.01022754]",13.3956
13,0.6602,1.0669,"[2.59021592 4.54992782 0.03287869 1.92360831 0.94608942 0.55618154
 1.14630909 2.19520927 2.46896483 3.40948107 2.60988137 4.32933013
 1.30860656 5.49337608 0.14808279 4.23667068 2.59800596 3.53434914
 0.91192044 1.22071603 5.00722777]",13.3227
14,0.6638,1.0172,"[2.5872196  4.55292707 0.03587664 1.92660768 0.94908873 0.55318176
 1.14331033 2.1982082  2.46596514 3.41247963 2.60688203 4.33232454
 1.31160485 5.49037636 0.14508319 4.23966849 2.59500644 3.53734868
 0.91488621 1.2177174  5.00422803]",13.249
15,0.6655,0.9791,"[2.58422336 4.55592628 0.03887461 1.92960702 0.95208802 0.550182
 1.14031167 2.20120714 2.46296548 3.41547811 2.60388272 4.33531855
 1.31460299 5.48737666 0.14208362 4.24266615 2.59200695 3.5403482
 0.9178409  1.21471885 5.0012283 ]",13.1744
16,0.661,1.0355,"[2.58122692 4.5589255  0.04187273 1.93260636 0.95508734 0.54718223
 1.13731299 2.20420615 2.45996582 3.41847664 2.60088338 4.33831255
 1.31760114 5.48437695 0.13908405 4.24566383 2.58900745 3.54334773
 0.9207847  1.21172028 4.99822857]",13.099
17,0.6648,0.9977,"[2.57823034 4.56192471 0.04487095 1.9356057  0.95808668 0.54418247
 1.13431432 2.20720521 2.45696616 3.42147517 2.59788403 4.34130645
 1.32059923 5.48137725 0.13608451 4.24866147 2.58600795 3.54634726
 0.92370549 1.20872172 4.99522883]",13.0227
18,0.6609,1.0356,"[2.57523352 4.56492395 0.04786933 1.93860506 0.96108606 0.5411827
 1.13131562 2.21020434 2.4539665  3.42447376 2.59488465 4.34430047
 1.32359735 5.47837753 0.13308496 4.25165917 2.58300843 3.5493468
 0.92658004 1.20572312 4.99222909]",12.9455
19,0.6652,0.9851,"[2.57223678 4.56792313 0.05086768 1.94160439 0.96408541 0.53818295
 1.12831702 2.21320347 2.45096687 3.42747227 2.59188528 4.3472941
 1.32659528 5.47537783 0.13008546 4.25465668 2.58000895 3.55234633
 0.9288887  1.2027246  4.98922936]",12.8659
20,0.6656,1.0217,"[2.56923976 4.57092235 0.05386618 1.94460374 0.96708481 0.53518319
 1.12531836 2.21620267 2.44796723 3.43047086 2.58888588 4.35028793
 1.32959325 5.47237811 0.12708595 4.25765427 2.57700944 3.55534587
 0.9262959  1.19972602 4.98622962]",12.7726
21,0.6685,0.974,"[2.56624283 4.57392151 0.05686464 1.94760304 0.97008419 0.53218345
 1.12231982 2.21920185 2.44496761 3.43346937 2.5858865  4.35328142
 1.33259099 5.46937842 0.12408651 4.26065166 2.57400997 3.55834539
 0.92339721 1.19672753 4.98322989]",12.6782
22,0.6684,1.0005,"[2.56324573 4.57692067 0.05986318 1.95060235 0.97308358 0.52918371
 1.11932129 2.22220107 2.44196801 3.4364679  2.5828871  4.35627498
 1.33558866 5.46637872 0.12108708 4.26364905 2.57101049 3.56134491
 0.92045749 1.19372903 4.98023017]",12.5835
23,0.665,1.0262,"[2.56024852 4.57991982 0.06286178 1.95360166 0.97608298 0.52618397
 1.11632276 2.22520032 2.43896841 3.43946645 2.57988769 4.35926858
 1.33858624 5.46337901 0.11808768 4.26664641 2.56801101 3.56434443
 0.91750071 1.19073052 4.97723044]",12.4888
24,0.6703,0.9802,"[2.55725138 4.5829189  0.06586033 1.95660092 0.97908236 0.52318425
 1.11332437 2.22819954 2.43596884 3.44246491 2.57688832 4.36226187
 1.3415835  5.46037933 0.11508835 4.26964353 2.56501156 3.56734393
 0.91453634 1.18773211 4.97423073]",12.3939
25,0.6688,0.9603,"[2.55425421 4.58591795 0.0688589  1.95960015 0.98208173 0.52018454
 1.11032606 2.23119877 2.4329693  3.44546334 2.57388894 4.36525505
 1.34458052 5.45737965 0.11208908 4.2726405  2.56201213 3.57034341
 0.91156644 1.18473374 4.97123103]",12.2989
26,0.6705,0.9574,"[2.55125703 4.58891695 0.07185746 1.96259936 0.98508109 0.51718485
 1.10732784 2.23419801 2.42996979 3.44846172 2.57088958 4.36824813
 1.34757722 5.45437999 0.10908988 4.27563729 2.55901272 3.57334288
 0.90859282 1.18173543 4.96823133]",12.2039
27,0.6727,0.9665,"[2.54825963 4.59191598 0.07485612 1.96559859 0.98808049 0.51418515
 1.10432956 2.23719729 2.42697027 3.45146017 2.56789018 4.37124151
 1.35057383 5.45138031 0.10609069 4.27863413 2.55601329 3.57634237
 0.90561483 1.17873704 4.96523163]",12.109
28,0.6736,0.9273,"[2.54526233 4.59491493 0.07785472 1.96859776 0.99107986 0.51118547
 1.10133146 2.24019655 2.4239708  3.45445852 2.56489081 4.37423459
 1.35356985 5.44838065 0.10309163 4.28163062 2.5530139  3.57934182
 0.9026357  1.17573877 4.96223195]",12.0141
29,0.67,0.959,"[2.54226485 4.5979139  0.08085341 1.97159696 0.99407926 0.50818578
 1.09833333 2.24319585 2.42097133 3.45745692 2.56189141 4.37722793
 1.35656561 5.44538098 0.1000926  4.2846271  2.5500145  3.5823413
 0.89965384 1.17274043 4.95923225]",11.9193
30,0.6747,0.9093,"[2.53926748 4.60091277 0.08385202 1.97459608 0.99707862 0.50518613
 1.09533542 2.24619511 2.41797192 3.46045519 2.55889205 4.38022093
 1.35956043 5.44238133 0.09709374 4.2876231  2.54701514 3.58534073
 0.89667165 1.16974223 4.95623259]",11.8248
31,0.6795,0.9307,"[2.53626977 4.60391174 0.08685082 1.97759529 1.00007805 0.50218645
 1.09233732 2.24919447 2.41497246 3.46345364 2.55589261 4.38321461
 1.36255516 5.43938165 0.09409484 4.29061939 2.54401572 3.58834022
 0.89368628 1.16674385 4.95323288]",11.7304
