v,v_eff,m,t
"[[1.77852126e-10]
 [5.35846617e-08]
 [2.51880679e-12]
 [6.41385647e-08]
 [2.61290119e-08]
 [5.45836479e-07]
 [1.21828019e-08]
 [3.13934878e-09]
 [2.98054077e-07]
 [6.72936798e-09]
 [3.88464987e-08]
 [1.75333647e-09]
 [7.33542773e-09]
 [2.96721212e-07]
 [2.45205121e-07]
 [2.77115348e-09]
 [1.09867913e-07]
 [1.24265953e-07]
 [5.69124198e-11]
 [1.63948389e-08]
 [3.43839838e-07]]","[[1.77852126e-10]
 [5.35846617e-08]
 [2.51880679e-12]
 [6.41385647e-08]
 [2.61290119e-08]
 [5.45836479e-07]
 [1.21828019e-08]
 [3.13934878e-09]
 [2.98054077e-07]
 [6.72936798e-09]
 [3.88464987e-08]
 [1.75333647e-09]
 [7.33542773e-09]
 [2.96721212e-07]
 [2.45205121e-07]
 [2.77115348e-09]
 [1.09867913e-07]
 [1.24265953e-07]
 [5.69124198e-11]
 [1.63948389e-08]
 [3.43839838e-07]]","[[-4.00083633e-05]
 [ 6.94450830e-04]
 [ 4.76122475e-06]
 [ 7.59767782e-04]
 [ 4.84934126e-04]
 [-2.21642241e-03]
 [-3.31127192e-04]
 [ 1.68089676e-04]
 [-1.63782987e-03]
 [ 2.46098175e-04]
 [-5.91285454e-04]
 [ 1.25618582e-04]
 [ 2.56941335e-04]
 [-1.63416367e-03]
 [-1.48554572e-03]
 [ 1.57925240e-04]
 [-9.94389870e-04]
 [ 1.05754129e-03]
 [ 2.26320962e-05]
 [-3.84126997e-04]
 [-1.75913574e-03]]",1
"[4.95406215e-08 2.42803885e-05 9.40436146e-06 ... 2.65546529e-04
 3.93351925e-04 4.86305922e-06]","[4.95406215e-08 2.42803885e-05 9.40436146e-06 ... 2.65546529e-04
 3.93351925e-04 4.86305922e-06]","[-0.00066773 -0.01478254  0.00919996 ...  0.0488868   0.05949931
 -0.0066157 ]",1
"[[2.67032479e-10]
 [5.98618257e-08]
 [2.50596056e-12]
 [7.36092890e-08]
 [2.80159636e-08]
 [6.36849237e-07]
 [1.51370386e-08]
 [2.92339966e-09]
 [3.53932649e-07]
 [8.03215041e-09]
 [4.24140449e-08]
 [2.01944959e-09]
 [8.87027547e-09]
 [3.39270700e-07]
 [2.94745597e-07]
 [3.42689853e-09]
 [1.25472845e-07]
 [1.40860509e-07]
 [8.88286307e-11]
 [1.86916395e-08]
 [3.96645608e-07]]","[[2.67032479e-10]
 [5.98618257e-08]
 [2.50596056e-12]
 [7.36092890e-08]
 [2.80159636e-08]
 [6.36849237e-07]
 [1.51370386e-08]
 [2.92339966e-09]
 [3.53932649e-07]
 [8.03215041e-09]
 [4.24140449e-08]
 [2.01944959e-09]
 [8.87027547e-09]
 [3.39270700e-07]
 [2.94745597e-07]
 [3.42689853e-09]
 [1.25472845e-07]
 [1.40860509e-07]
 [8.88286307e-11]
 [1.86916395e-08]
 [3.96645608e-07]]","[[ 4.90233854e-05]
 [-7.34000294e-04]
 [-4.74906781e-06]
 [-8.13930956e-04]
 [-5.02139097e-04]
 [ 2.39408503e-03]
 [ 3.69098019e-04]
 [-1.62205416e-04]
 [ 1.78476717e-03]
 [-2.68866795e-04]
 [ 6.17840112e-04]
 [-1.34814859e-04]
 [-2.82546420e-04]
 [ 1.74740845e-03]
 [ 1.62871433e-03]
 [-1.75619153e-04]
 [ 1.06266439e-03]
 [-1.12594164e-03]
 [-2.82746826e-05]
 [ 4.10152112e-04]
 [ 1.88939421e-03]]",1
"[[3.40983080e-09]
 [5.57147578e-07]
 [3.02126446e-10]
 [7.01234659e-07]
 [2.66636317e-07]
 [6.11319215e-06]
 [1.53579816e-07]
 [2.89305053e-08]
 [3.42210672e-06]
 [8.15217508e-08]
 [3.99085965e-07]
 [1.85760933e-08]
 [8.89239937e-08]
 [3.23396190e-06]
 [2.84131699e-06]
 [3.61592207e-08]
 [1.19303929e-06]
 [1.32741958e-06]
 [1.00793295e-09]
 [1.75555093e-07]
 [3.81180384e-06]]","[[3.40983080e-09]
 [5.57147578e-07]
 [3.02126446e-10]
 [7.01234659e-07]
 [2.66636317e-07]
 [6.11319215e-06]
 [1.53579816e-07]
 [2.89305053e-08]
 [3.42210672e-06]
 [8.15217508e-08]
 [3.99085965e-07]
 [1.85760933e-08]
 [8.89239937e-08]
 [3.23396190e-06]
 [2.84131699e-06]
 [3.61592207e-08]
 [1.19303929e-06]
 [1.32741958e-06]
 [1.00793295e-09]
 [1.75555093e-07]
 [3.81180384e-06]]","[[ 1.75181269e-04]
 [-2.23926957e-03]
 [-5.21453547e-05]
 [-2.51219265e-03]
 [-1.54910518e-03]
 [ 7.41746111e-03]
 [ 1.17567782e-03]
 [-5.10269094e-04]
 [ 5.54968111e-03]
 [-8.56560423e-04]
 [ 1.89519753e-03]
 [-4.08882428e-04]
 [-8.94603791e-04]
 [ 5.39496591e-03]
 [ 5.05686196e-03]
 [-5.70467340e-04]
 [ 3.27679014e-03]
 [-3.45641089e-03]
 [-9.52438794e-05]
 [ 1.25697885e-03]
 [ 5.85715243e-03]]",1
"[[1.30720041e-08]
 [1.62332969e-06]
 [2.64815818e-09]
 [2.09000456e-06]
 [7.97400255e-07]
 [1.83315700e-05]
 [4.84625014e-07]
 [9.07883311e-08]
 [1.03288589e-05]
 [2.57441263e-07]
 [1.17669519e-06]
 [5.32154739e-08]
 [2.77534117e-07]
 [9.63802387e-06]
 [8.54640134e-06]
 [1.17844652e-07]
 [3.54531263e-06]
 [3.91391839e-06]
 [3.43527463e-09]
 [5.16004745e-07]
 [1.14546431e-05]]","[[1.30720041e-08]
 [1.62332969e-06]
 [2.64815818e-09]
 [2.09000456e-06]
 [7.97400255e-07]
 [1.83315700e-05]
 [4.84625014e-07]
 [9.07883311e-08]
 [1.03288589e-05]
 [2.57441263e-07]
 [1.17669519e-06]
 [5.32154739e-08]
 [2.77534117e-07]
 [9.63802387e-06]
 [8.54640134e-06]
 [1.17844652e-07]
 [3.54531263e-06]
 [3.91391839e-06]
 [3.43527463e-09]
 [5.16004745e-07]
 [1.14546431e-05]]","[[ 0.000343  ]
 [-0.0038223 ]
 [-0.00015438]
 [-0.00433705]
 [-0.00267892]
 [ 0.01284461]
 [ 0.00208845]
 [-0.00090393]
 [ 0.00964156]
 [-0.00152216]
 [ 0.00325427]
 [-0.00069205]
 [-0.00158045]
 [ 0.00931355]
 [ 0.00877027]
 [-0.00102986]
 [ 0.0056487 ]
 [-0.00593509]
 [-0.00017583]
 [ 0.002155  ]
 [ 0.01015341]]",1
"[1.96178026e-08 1.49819114e-05 4.32035026e-06 ... 5.64543276e-05
 2.33046616e-04 9.62177092e-07]","[1.96178026e-08 1.49819114e-05 4.32035026e-06 ... 5.64543276e-05
 2.33046616e-04 9.62177092e-07]","[-0.00042019 -0.01161194  0.00623564 ...  0.02254083  0.04579759
 -0.00294272]",1
"[[3.36240672e-08]
 [3.33153082e-06]
 [1.08859675e-08]
 [4.37586668e-06]
 [1.68055727e-06]
 [3.85829550e-05]
 [1.06728651e-06]
 [2.01413605e-07]
 [2.18601530e-05]
 [5.67068735e-07]
 [2.44523013e-06]
 [1.07039172e-07]
 [6.04819559e-07]
 [2.01853387e-05]
 [1.80188655e-05]
 [2.66608490e-07]
 [7.40529790e-06]
 [8.11784111e-06]
 [7.96632681e-09]
 [1.06546137e-06]
 [2.41718336e-05]]","[[3.36240672e-08]
 [3.33153082e-06]
 [1.08859675e-08]
 [4.37586668e-06]
 [1.68055727e-06]
 [3.85829550e-05]
 [1.06728651e-06]
 [2.01413605e-07]
 [2.18601530e-05]
 [5.67068735e-07]
 [2.44523013e-06]
 [1.07039172e-07]
 [6.04819559e-07]
 [2.01853387e-05]
 [1.80188655e-05]
 [2.66608490e-07]
 [7.40529790e-06]
 [8.11784111e-06]
 [7.96632681e-09]
 [1.06546137e-06]
 [2.41718336e-05]]","[[ 0.00055011]
 [-0.00547574]
 [-0.00031301]
 [-0.00627557]
 [-0.00388909]
 [ 0.01863455]
 [ 0.00309929]
 [-0.00134637]
 [ 0.01402645]
 [-0.00225912]
 [ 0.00469117]
 [-0.00098151]
 [-0.0023331 ]
 [ 0.01347843]
 [ 0.01273459]
 [-0.00154902]
 [ 0.0081638 ]
 [-0.00854755]
 [-0.00026776]
 [ 0.00309664]
 [ 0.01474946]]",1
"[[7.01504494e-08]
 [5.76110274e-06]
 [3.11548340e-08]
 [7.69833939e-06]
 [2.98486337e-06]
 [6.81855986e-05]
 [1.96363142e-06]
 [3.77365131e-07]
 [3.88113756e-05]
 [1.04278038e-06]
 [4.28376637e-06]
 [1.80838253e-07]
 [1.10130656e-06]
 [3.55383741e-05]
 [3.18582455e-05]
 [5.01621904e-07]
 [1.30060655e-05]
 [1.41678187e-05]
 [1.51085749e-08]
 [1.84852583e-06]
 [4.28481003e-05]]","[[7.01504494e-08]
 [5.76110274e-06]
 [3.11548340e-08]
 [7.69833939e-06]
 [2.98486337e-06]
 [6.81855986e-05]
 [1.96363142e-06]
 [3.77365131e-07]
 [3.88113756e-05]
 [1.04278038e-06]
 [4.28376637e-06]
 [1.80838253e-07]
 [1.10130656e-06]
 [3.55383741e-05]
 [3.18582455e-05]
 [5.01621904e-07]
 [1.30060655e-05]
 [1.41678187e-05]
 [1.51085749e-08]
 [1.84852583e-06]
 [4.28481003e-05]]","[[ 0.00079458]
 [-0.00720069]
 [-0.00052952]
 [-0.00832376]
 [-0.00518303]
 [ 0.02477237]
 [ 0.00420389]
 [-0.0018429 ]
 [ 0.01868963]
 [-0.0030635 ]
 [ 0.00620918]
 [-0.00127575]
 [-0.00314829]
 [ 0.01788422]
 [ 0.01693293]
 [-0.00212476]
 [ 0.01081918]
 [-0.01129205]
 [-0.00036875]
 [ 0.00407882]
 [ 0.01963754]]",1
"[[1.28184968e-07]
 [8.99324516e-06]
 [7.20117451e-08]
 [1.21926247e-05]
 [4.78595949e-06]
 [1.08410095e-04]
 [3.23571382e-06]
 [6.39249194e-07]
 [6.19405769e-05]
 [1.71625544e-06]
 [6.77780669e-06]
 [2.74899679e-07]
 [1.79600102e-06]
 [5.63540930e-05]
 [5.06144451e-05]
 [8.42030931e-07]
 [2.05782815e-05]
 [2.22912782e-05]
 [2.51940626e-08]
 [2.88711038e-06]
 [6.83627997e-05]]","[[1.28184968e-07]
 [8.99324516e-06]
 [7.20117451e-08]
 [1.21926247e-05]
 [4.78595949e-06]
 [1.08410095e-04]
 [3.23571382e-06]
 [6.39249194e-07]
 [6.19405769e-05]
 [1.71625544e-06]
 [6.77780669e-06]
 [2.74899679e-07]
 [1.79600102e-06]
 [5.63540930e-05]
 [5.06144451e-05]
 [8.42030931e-07]
 [2.05782815e-05]
 [2.22912782e-05]
 [2.51940626e-08]
 [2.88711038e-06]
 [6.83627997e-05]]","[[ 0.00107409]
 [-0.00899662]
 [-0.00080505]
 [-0.01047538]
 [-0.00656305]
 [ 0.03123605]
 [ 0.00539643]
 [-0.00239859]
 [ 0.0236107 ]
 [-0.00393018]
 [ 0.00781027]
 [-0.00157293]
 [-0.00402045]
 [ 0.02252081]
 [ 0.02134315]
 [-0.00275287]
 [ 0.01360899]
 [-0.01416409]
 [-0.00047618]
 [ 0.00509745]
 [ 0.02480454]]",1
"[6.59805495e-09 6.69530467e-06 1.53928715e-06 ... 7.59547865e-06
 1.01161167e-04 1.17768036e-07]","[6.59805495e-09 6.69530467e-06 1.53928715e-06 ... 7.59547865e-06
 1.01161167e-04 1.17768036e-07]","[-0.00024369 -0.00776259  0.00372204 ...  0.00826797  0.03017367
 -0.00102952]",1
