epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6931,0.6485,"[2.62414392e+00 4.52286561e+00 4.57628711e-03 1.90334386e+00
 9.25663955e-01 5.76406253e-01 1.16748778e+00 2.16752882e+00
 2.49680681e+00 3.38165454e+00 2.63759276e+00 4.30141424e+00
 1.28126148e+00 5.52116828e+00 1.68309363e-01 4.20914151e+00
 2.62580063e+00 3.51403736e+00]",2.1119
1,0.6933,0.6785,"[2.62619245 4.52020766 0.00665771 1.90550368 0.9279105  0.57426965
 1.16464279 2.1653397  2.49890421 3.37955515 2.63976207 4.29938385
 1.27872219 5.52330071 0.16617516 4.20686326 2.62792181 3.51625334]",2.1099
2,0.6934,0.6669,"[2.62627426 4.51911892 0.00679647 1.90577481 0.92833366 0.57403871
 1.16321494 2.16502151 2.49906653 3.37938697 2.64004888 4.29933234
 1.27786603 5.52352062 0.16594721 4.20638728 2.62812677 3.51660857]",2.1118
3,0.6934,0.6797,"[2.62830204 4.51674737 0.00884275 1.90786565 0.93047181 0.57196079
 1.16079838 2.16291068 2.50112214 3.37733043 2.6421447  4.29731506
 1.27554771 5.52559685 0.1638707  4.20423041 2.63019583 3.51873602]",2.1093
4,0.6934,0.6797,"[2.63626438 4.50929395 0.01677796 1.91573652 0.93827157 0.56407176
 1.15390866 2.15504538 2.50904522 3.36940856 2.65000931 4.289339
 1.26797245 5.53349232 0.15597672 4.19645641 2.63809899 3.52657331]",2.0979
5,0.6934,0.6742,"[2.63428017 4.51109199 0.01480334 1.91378637 0.93634377 0.5660284
 1.15577588 2.15698324 2.50707752 3.37137712 2.64806178 4.29132932
 1.26976968 5.53153696 0.15793474 4.19837417 2.6361374  3.52465024]",2.1002
6,0.6934,0.6826,"[2.63230148 4.51280469 0.01283814 1.91185516 0.93444515 0.56796879
 1.15747336 2.15889991 2.50512112 3.37333422 2.64613412 4.29331617
 1.27149874 5.52959713 0.15987715 4.20025859 2.63419002 3.52275243]",2.1029
7,0.6933,0.6712,"[2.63231583 4.51262038 0.01286123 1.91190049 0.93451083 0.56792942
 1.15735487 2.1588422  2.50515034 3.3733056  2.64618184 4.29330738
 1.27131505 5.52963761 0.15983886 4.20018352 2.63422496 3.52282279]",2.103
8,0.6931,0.6775,"[2.63432747 4.51047675 0.01487968 1.91393658 0.93656213 0.56589797
 1.15530756 2.15679483 2.50717403 3.37128262 2.6482198  4.29130031
 1.26916369 5.53167051 0.15780823 4.19812477 2.63625294 3.52488096]",2.1006
9,0.6933,0.6692,"[2.63235094 4.51216958 0.01291808 1.91201228 0.93467334 0.56783232
 1.15698219 2.15870419 2.50522193 3.37323541 2.64629926 4.29328578
 1.27087394 5.52973651 0.15974492 4.19999818 2.63431089 3.52299233]",2.1034
