v,v_eff,m,t
"[[1.05667527e-09]
 [1.08725328e-06]
 [1.68975953e-09]
 [1.19799959e-06]
 [6.43037577e-07]
 [9.67129822e-06]
 [1.77032656e-07]
 [1.25373141e-07]
 [4.88766658e-06]
 [1.21433351e-07]
 [8.93924946e-07]
 [3.26163486e-08]
 [1.16225858e-07]
 [5.71096868e-06]
 [3.75250262e-06]
 [4.60441325e-08]
 [2.12515003e-06]
 [2.44070823e-06]
 [3.78756428e-10]
 [3.09271362e-07]
 [6.40212432e-06]]","[[1.05667527e-09]
 [1.08725328e-06]
 [1.68975953e-09]
 [1.19799959e-06]
 [6.43037577e-07]
 [9.67129822e-06]
 [1.77032656e-07]
 [1.25373141e-07]
 [4.88766658e-06]
 [1.21433351e-07]
 [8.93924946e-07]
 [3.26163486e-08]
 [1.16225858e-07]
 [5.71096868e-06]
 [3.75250262e-06]
 [4.60441325e-08]
 [2.12515003e-06]
 [2.44070823e-06]
 [3.78756428e-10]
 [3.09271362e-07]
 [6.40212432e-06]]","[[-9.75196257e-05]
 [ 3.12814314e-03]
 [ 1.23320054e-04]
 [ 3.28359503e-03]
 [ 2.40568871e-03]
 [-9.32961328e-03]
 [-1.26225747e-03]
 [ 1.06224209e-03]
 [-6.63242031e-03]
 [ 1.04541865e-03]
 [-2.83642813e-03]
 [ 5.41799905e-04]
 [ 1.02275741e-03]
 [-7.16928993e-03]
 [-5.81141322e-03]
 [ 6.43736897e-04]
 [-4.37336830e-03]
 [ 4.68682986e-03]
 [ 5.83849968e-05]
 [-1.66836515e-03]
 [-7.59072585e-03]]",1
"[[5.10966755e-10]
 [3.33777196e-07]
 [5.54232639e-10]
 [3.76312051e-07]
 [1.89218589e-07]
 [3.10289868e-06]
 [6.18562319e-08]
 [3.36132091e-08]
 [1.60376549e-06]
 [3.96904028e-08]
 [2.68076281e-07]
 [1.01982726e-08]
 [3.90516013e-08]
 [1.79047940e-06]
 [1.25092767e-06]
 [1.59174869e-08]
 [6.66791062e-07]
 [7.57955346e-07]
 [2.02108089e-10]
 [9.57170763e-08]
 [2.02624303e-06]]","[[5.10966755e-10]
 [3.33777196e-07]
 [5.54232639e-10]
 [3.76312051e-07]
 [1.89218589e-07]
 [3.10289868e-06]
 [6.18562319e-08]
 [3.36132091e-08]
 [1.60376549e-06]
 [3.96904028e-08]
 [2.68076281e-07]
 [1.01982726e-08]
 [3.90516013e-08]
 [1.79047940e-06]
 [1.25092767e-06]
 [1.59174869e-08]
 [6.66791062e-07]
 [7.57955346e-07]
 [2.02108089e-10]
 [9.57170763e-08]
 [2.02624303e-06]]","[[-6.78137213e-05]
 [ 1.73320361e-03]
 [ 7.06264380e-05]
 [ 1.84032836e-03]
 [ 1.30497789e-03]
 [-5.28451399e-03]
 [-7.46127393e-04]
 [ 5.50017165e-04]
 [-3.79919589e-03]
 [ 5.97673511e-04]
 [-1.55328250e-03]
 [ 3.02959491e-04]
 [ 5.92844340e-04]
 [-4.01426389e-03]
 [-3.35534633e-03]
 [ 3.78493570e-04]
 [-2.44971826e-03]
 [ 2.61181893e-03]
 [ 4.26494173e-05]
 [-9.28145294e-04]
 [-4.27038491e-03]]",1
"[[1.54941619e-11]
 [7.06724519e-09]
 [1.20685138e-11]
 [8.15043733e-09]
 [3.84081704e-09]
 [6.85281452e-08]
 [1.47123439e-09]
 [6.16963113e-10]
 [3.61511523e-08]
 [8.91961954e-10]
 [5.54655929e-09]
 [2.20668238e-10]
 [8.98914678e-10]
 [3.86947907e-08]
 [2.86114989e-08]
 [3.75148947e-10]
 [1.44193667e-08]
 [1.62355727e-08]
 [6.55989402e-12]
 [2.04735386e-09]
 [4.41761766e-08]]","[[1.54941619e-11]
 [7.06724519e-09]
 [1.20685138e-11]
 [8.15043733e-09]
 [3.84081704e-09]
 [6.85281452e-08]
 [1.47123439e-09]
 [6.16963113e-10]
 [3.61511523e-08]
 [8.91961954e-10]
 [5.54655929e-09]
 [2.20668238e-10]
 [8.98914678e-10]
 [3.86947907e-08]
 [2.86114989e-08]
 [3.75148947e-10]
 [1.44193667e-08]
 [1.62355727e-08]
 [6.55989402e-12]
 [2.04735386e-09]
 [4.41761766e-08]]","[[-1.18087873e-05]
 [ 2.52200727e-04]
 [ 1.04219300e-05]
 [ 2.70839318e-04]
 [ 1.85922977e-04]
 [-7.85336429e-04]
 [-1.15070020e-04]
 [ 7.45162265e-05]
 [-5.70403691e-04]
 [ 8.95971963e-05]
 [-2.23425678e-04]
 [ 4.45647186e-05]
 [ 8.99457175e-05]
 [-5.90129745e-04]
 [-5.07448017e-04]
 [ 5.81062864e-05]
 [-3.60242003e-04]
 [ 3.82256660e-04]
 [ 7.68368702e-06]
 [-1.35743083e-04]
 [-6.30543884e-04]]",1
"[6.27956965e-04 1.21841205e-04 3.11938115e-04 ... 6.11948752e-05
 8.63863679e-03 7.16335043e-04]","[6.27956965e-04 1.21841205e-04 3.11938115e-04 ... 6.11948752e-05
 8.63863679e-03 7.16335043e-04]","[-0.07517721  0.03311451  0.05298531 ... -0.02346815  0.2788328
  0.08029331]",1
"[[5.75724615e-10]
 [1.90834159e-07]
 [3.33717731e-10]
 [2.25248831e-07]
 [9.96830198e-08]
 [1.92771562e-06]
 [4.42135575e-08]
 [1.44301567e-08]
 [1.03623681e-06]
 [2.55506631e-08]
 [1.46518460e-07]
 [6.09529161e-09]
 [2.62793256e-08]
 [1.06657035e-06]
 [8.30939983e-07]
 [1.11997093e-08]
 [3.97550798e-07]
 [4.43672434e-07]
 [2.49052536e-10]
 [5.59665874e-08]
 [1.22805955e-06]]","[[5.75724615e-10]
 [1.90834159e-07]
 [3.33717731e-10]
 [2.25248831e-07]
 [9.96830198e-08]
 [1.92771562e-06]
 [4.42135575e-08]
 [1.44301567e-08]
 [1.03623681e-06]
 [2.55506631e-08]
 [1.46518460e-07]
 [6.09529161e-09]
 [2.62793256e-08]
 [1.06657035e-06]
 [8.30939983e-07]
 [1.11997093e-08]
 [3.97550798e-07]
 [4.43672434e-07]
 [2.49052536e-10]
 [5.59665874e-08]
 [1.22805955e-06]]","[[ 7.19827864e-05]
 [-1.31053708e-03]
 [-5.48038281e-05]
 [-1.42381160e-03]
 [-9.47178536e-04]
 [ 4.16526597e-03]
 [ 6.30810604e-04]
 [-3.60376762e-04]
 [ 3.05387152e-03]
 [-4.79537243e-04]
 [ 1.14833190e-03]
 [-2.34217046e-04]
 [-4.86326979e-04]
 [ 3.09824679e-03]
 [ 2.73467728e-03]
 [-3.17486037e-04]
 [ 1.89154888e-03]
 [-1.99826222e-03]
 [-4.73441952e-05]
 [ 7.09717751e-04]
 [ 3.32453545e-03]]",1
"[[4.28949737e-09]
 [9.70517975e-07]
 [3.40336901e-09]
 [1.17249211e-06]
 [5.18710348e-07]
 [1.01106845e-05]
 [2.46089462e-07]
 [7.76386966e-08]
 [5.47918980e-06]
 [1.41270647e-07]
 [7.53726517e-07]
 [3.04848502e-08]
 [1.43884941e-07]
 [5.55304697e-06]
 [4.38109082e-06]
 [6.40783240e-08]
 [2.06425668e-06]
 [2.28500773e-06]
 [1.52960458e-09]
 [2.86730275e-07]
 [6.45087669e-06]]","[[4.28949737e-09]
 [9.70517975e-07]
 [3.40336901e-09]
 [1.17249211e-06]
 [5.18710348e-07]
 [1.01106845e-05]
 [2.46089462e-07]
 [7.76386966e-08]
 [5.47918980e-06]
 [1.41270647e-07]
 [7.53726517e-07]
 [3.04848502e-08]
 [1.43884941e-07]
 [5.55304697e-06]
 [4.38109082e-06]
 [6.40783240e-08]
 [2.06425668e-06]
 [2.28500773e-06]
 [1.52960458e-09]
 [2.86730275e-07]
 [6.45087669e-06]]","[[ 0.00019648]
 [-0.00295545]
 [-0.00017502]
 [-0.00324845]
 [-0.00216065]
 [ 0.00953919]
 [ 0.00148822]
 [-0.00083591]
 [ 0.0070223 ]
 [-0.00112758]
 [ 0.00260452]
 [-0.0005238 ]
 [-0.00113797]
 [ 0.00706947]
 [ 0.00627932]
 [-0.00075941]
 [ 0.00431026]
 [-0.00453487]
 [-0.00011733]
 [ 0.00160642]
 [ 0.00761957]]",1
"[[1.45431301e-08]
 [2.43306266e-06]
 [1.41546324e-08]
 [3.00063436e-06]
 [1.33145474e-06]
 [2.60459941e-05]
 [6.68091620e-07]
 [2.06746032e-07]
 [1.42130406e-05]
 [3.81216482e-07]
 [1.91255650e-06]
 [7.49429713e-08]
 [3.84740288e-07]
 [1.42198441e-05]
 [1.13264639e-05]
 [1.77993824e-07]
 [5.27274755e-06]
 [5.79378529e-06]
 [4.44051438e-09]
 [7.22348684e-07]
 [1.66524950e-05]]","[[1.45431301e-08]
 [2.43306266e-06]
 [1.41546324e-08]
 [3.00063436e-06]
 [1.33145474e-06]
 [2.60459941e-05]
 [6.68091620e-07]
 [2.06746032e-07]
 [1.42130406e-05]
 [3.81216482e-07]
 [1.91255650e-06]
 [7.49429713e-08]
 [3.84740288e-07]
 [1.42198441e-05]
 [1.13264639e-05]
 [1.77993824e-07]
 [5.27274755e-06]
 [5.79378529e-06]
 [4.44051438e-09]
 [7.22348684e-07]
 [1.66524950e-05]]","[[ 0.00036178]
 [-0.00467948]
 [-0.00035692]
 [-0.0051967 ]
 [-0.00346166]
 [ 0.01531058]
 [ 0.00245211]
 [-0.00136408]
 [ 0.01131006]
 [-0.00185228]
 [ 0.00414886]
 [-0.00082127]
 [-0.00186082]
 [ 0.01131276]
 [ 0.01009644]
 [-0.00126568]
 [ 0.00688874]
 [-0.00722108]
 [-0.00019991]
 [ 0.00254973]
 [ 0.01224224]]",1
"[2.33879967e-04 3.00644580e-05 1.19026259e-04 ... 2.76840847e-05
 2.85875987e-03 3.32516494e-04]","[2.33879967e-04 3.00644580e-05 1.19026259e-04 ... 2.76840847e-05
 2.85875987e-03 3.32516494e-04]","[-0.0458794   0.01644932  0.03272975 ... -0.0157847   0.16040212
  0.0547051 ]",1
"[[3.54014904e-08]
 [4.64871502e-06]
 [4.00580879e-08]
 [5.83555621e-06]
 [2.60559955e-06]
 [5.09396799e-05]
 [1.36805369e-06]
 [4.20839957e-07]
 [2.79575787e-05]
 [7.76220911e-07]
 [3.70070024e-06]
 [1.39999854e-07]
 [7.76624037e-07]
 [2.76835777e-05]
 [2.21942092e-05]
 [3.71394040e-07]
 [1.02414750e-05]
 [1.11803738e-05]
 [9.47029792e-09]
 [1.38321564e-06]
 [3.26531453e-05]]","[[3.54014904e-08]
 [4.64871502e-06]
 [4.00580879e-08]
 [5.83555621e-06]
 [2.60559955e-06]
 [5.09396799e-05]
 [1.36805369e-06]
 [4.20839957e-07]
 [2.79575787e-05]
 [7.76220911e-07]
 [3.70070024e-06]
 [1.39999854e-07]
 [7.76624037e-07]
 [2.76835777e-05]
 [2.21942092e-05]
 [3.71394040e-07]
 [1.02414750e-05]
 [1.11803738e-05]
 [9.47029792e-09]
 [1.38321564e-06]
 [3.26531453e-05]]","[[ 0.00056446]
 [-0.00646826]
 [-0.00060044]
 [-0.00724707]
 [-0.00484256]
 [ 0.02141161]
 [ 0.00350891]
 [-0.00194617]
 [ 0.01586248]
 [-0.0026431 ]
 [ 0.00577116]
 [-0.0011225 ]
 [-0.00264379]
 [ 0.01578456]
 [ 0.01413322]
 [-0.00182826]
 [ 0.00960069]
 [-0.01003112]
 [-0.00029195]
 [ 0.00352831]
 [ 0.01714288]]",1
"[[7.17805301e-08]
 [7.72284222e-06]
 [9.16223489e-08]
 [9.84118822e-06]
 [4.43427217e-06]
 [8.63244569e-05]
 [2.41450690e-06]
 [7.46343498e-07]
 [4.76037494e-05]
 [1.36225672e-06]
 [6.22898444e-06]
 [2.26700085e-07]
 [1.35162385e-06]
 [4.67567216e-05]
 [3.76295339e-05]
 [6.65573613e-07]
 [1.72606694e-05]
 [1.87349187e-05]
 [1.70353821e-08]
 [2.29707436e-06]
 [5.55059744e-05]]","[[7.17805301e-08]
 [7.72284222e-06]
 [9.16223489e-08]
 [9.84118822e-06]
 [4.43427217e-06]
 [8.63244569e-05]
 [2.41450690e-06]
 [7.46343498e-07]
 [4.76037494e-05]
 [1.36225672e-06]
 [6.22898444e-06]
 [2.26700085e-07]
 [1.35162385e-06]
 [4.67567216e-05]
 [3.76295339e-05]
 [6.65573613e-07]
 [1.72606694e-05]
 [1.87349187e-05]
 [1.70353821e-08]
 [2.29707436e-06]
 [5.55059744e-05]]","[[ 0.00080376]
 [-0.008337  ]
 [-0.00090808]
 [-0.0094112 ]
 [-0.00631731]
 [ 0.02787329]
 [ 0.00466161]
 [-0.00259174]
 [ 0.02069864]
 [-0.00350147]
 [ 0.00748738]
 [-0.00142839]
 [-0.00348778]
 [ 0.02051367]
 [ 0.01840287]
 [-0.00244748]
 [ 0.01246379]
 [-0.01298516]
 [-0.00039156]
 [ 0.00454683]
 [ 0.0223507 ]]",1
