epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
34,0.6945,0.6966,"[2.03602348 3.95513312 0.59771913 1.6019556  0.04937632 0.65156447
 0.96163513 1.69345178 1.93207691 2.70673382 2.92421773 4.37795183]",0.2062
35,0.6932,0.6952,"[1.98642555 4.00482624 0.62907743 1.62856154 0.08736432 0.64515476
 0.92370792 1.65342199 1.88251909 2.65738139 2.87510413 4.32822056]",0.0957
36,0.6929,0.7085,"[1.99334202 3.97941102 0.58310937 1.67820077 0.05729086 0.69463192
 0.9587304  1.68539106 1.90866717 2.62366648 2.89256549 4.34623365]",0.1237
37,0.6931,0.6965,"[1.98410626 3.96625966 0.55713977 1.68985884 0.03002911 0.72260451
 0.96772942 1.71138187 1.92337323 2.67291263 2.90909066 4.35380464]",0.1489
38,0.6932,0.6905,"[1.93594064 3.98231328 0.57315305 1.66938081 0.05028399 0.70278035
 0.94333694 1.69538119 1.907371   2.72259967 2.88322995 4.33587957]",0.1024
39,0.6925,0.6796,"[1.88644089 3.98638775 0.58924561 1.66008916 0.07480301 0.6811002
 0.91752034 1.675326   1.88548516 2.7712313  2.85050383 4.34065526]",0.076
40,0.6929,0.6774,"[1.83739199 3.94478448 0.54934167 1.70979835 0.02548806 0.72742609
 0.94910133 1.71518812 1.91006135 2.77376773 2.8991266  4.36918421]",0.1084
41,0.6934,0.6842,"[ 1.78769623  3.92755108  0.55564829  1.74964663 -0.01261071  0.72431778
  0.92156572  1.70519709  1.87831056  2.73408154  2.94749249  4.39875806]",0.0992
42,0.6935,0.6694,"[ 1.73786716  3.87894538  0.58553319  1.79926925 -0.06218109  0.71253517
  0.87592674  1.67952536  1.83249164  2.68883166  2.99716201  4.44797065]",0.1267
43,0.6937,0.704,"[ 1.72621543  3.82934333  0.55165195  1.84905121 -0.1117302   0.7522449
  0.9045116   1.71354347  1.86017059  2.70214499  3.02030293  4.42499546]",0.1859
44,0.6938,0.6991,"[ 1.69228158  3.83794698  0.54571083  1.8967992  -0.11066899  0.77610348
  0.89464273  1.70762064  1.84811493  2.67068874  2.98394606  4.38762601]",0.1523
45,0.6939,0.6889,"[ 1.6808991   3.88770401  0.56759666  1.8653655  -0.08295051  0.76426212
  0.87273301  1.66589159  1.82216141  2.6212277   2.93449754  4.36054719]",0.1057
46,0.6929,0.7046,"[ 1.73046305  3.9374311   0.56169996  1.83609102 -0.03653364  0.78677822
  0.89672051  1.62822494  1.82816326  2.57172952  2.88479072  4.31098641]",0.0835
47,0.6939,0.6954,"[ 1.77986534  3.98688418  0.55058678  1.84132741 -0.023186    0.80286295
  0.92090901  1.62434871  1.83822563  2.52238109  2.83548521  4.27542721]",0.0931
48,0.6934,0.6955,"[ 1.81251534  4.02972535  0.55322399  1.84121082 -0.03841942  0.80866563
  0.93647855  1.59841104  1.82482955  2.47325652  2.80285383  4.28762335]",0.1101
49,0.6938,0.7095,"[ 1.78681213  4.00203167  0.5214985   1.87271784 -0.06262801  0.84230231
  0.9669522   1.62321278  1.85369559  2.45895712  2.77665565  4.26132809]",0.1351
50,0.6932,0.6846,"[ 1.77052191  3.96296923  0.54734576  1.85104342 -0.10477327  0.82042471
  0.93696744  1.59391022  1.82215846  2.4357899   2.81074997  4.29820018]",0.1275
51,0.6935,0.6552,"[ 1.72090328  3.91362067  0.56196838  1.87357715 -0.13827506  0.81840636
  0.90574419  1.5877793   1.79257963  2.48230703  2.84640659  4.32742664]",0.1311
52,0.6943,0.7111,"[ 1.67113869  3.8639962   0.51212088  1.92331629 -0.1399882   0.86811537
  0.95316489  1.63768122  1.84239949  2.53195844  2.88352907  4.28809888]",0.1482
53,0.6933,0.6937,"[ 1.62135925  3.81436787  0.51995127  1.95882149 -0.1892828   0.85686045
  0.92321498  1.64173108  1.82301309  2.58056466  2.93319993  4.3273693 ]",0.1882
54,0.6948,0.6574,"[ 1.58560415  3.79653019  0.54194674  1.9580375  -0.21972698  0.83395982
  0.89206573  1.61994498  1.79886011  2.60390335  2.96476145  4.34701722]",0.2302
55,0.6952,0.7365,"[ 1.63486292  3.8461098   0.50830905  1.95968063 -0.17411083  0.85821348
  0.91810119  1.63985131  1.82496843  2.63733114  2.91509204  4.30921826]",0.1797
56,0.6931,0.6815,"[ 1.68453945  3.8958265   0.54815172  1.9099784  -0.13901551  0.814654
  0.87857458  1.59001155  1.7852379   2.60111513  2.86549917  4.31493048]",0.1431
57,0.6937,0.6855,"[ 1.73426116  3.94550553  0.55006044  1.87243815 -0.08977761  0.80422723
  0.89459851  1.56424448  1.80477028  2.64411114  2.81577237  4.27390827]",0.1183
