epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6525,1.361,"[ 2.62522542e+00  4.53093080e+00 -4.28091271e-03  1.89461345e+00
  9.17094736e-01  5.75180956e-01  1.17529184e+00  2.16622230e+00
  2.48796448e+00  3.39048275e+00  2.63887547e+00  4.31036064e+00
  1.27961220e+00  5.51237481e+00  1.67081811e-01  4.21767102e+00
  2.61700370e+00  3.51535075e+00]",14.6892
1,0.6466,1.1115,"[ 2.63022354  4.53592856 -0.00928011  1.88961676  0.91209524  0.57018179
  1.18024015  2.1612227   2.48296609  3.39547573  2.64387294  4.31535978
  1.27461362  5.50737525  0.16208268  4.22266993  2.61200427  3.52034915]",14.4943
2,0.6579,1.1577,"[ 2.63522179  4.54092659 -0.01427932  1.88461986  0.90709573  0.56518261
  1.18351026  2.15622308  2.47796765  3.40046525  2.64887036  4.32035892
  1.26961496  5.50237569  0.15708352  4.22766887  2.60700483  3.52534765]",14.2885
3,0.6498,1.0937,"[ 2.64021993  4.54592463 -0.01927845  1.8796232   0.90209627  0.56018352
  1.17860111  2.15122351  2.47296934  3.405435    2.65386735  4.32535793
  1.26461641  5.49737618  0.15208445  4.23266766  2.60200548  3.53034604]",14.0282
4,0.648,1.1201,"[ 2.64521819  4.55092288 -0.02427761  1.8746264   0.89709681  0.55518441
  1.17363068  2.14622393  2.46797092  3.40264616  2.65886433  4.33035695
  1.2596178   5.49237666  0.14708535  4.23766649  2.59700612  3.53534452]",13.775
5,0.6489,1.1693,"[ 2.65021653  4.55592126 -0.02927676  1.86962957  0.89209735  0.55018529
  1.16865079  2.14122434  2.46297246  3.39767443  2.66386129  4.33535594
  1.25461916  5.48737714  0.14208623  4.2426653   2.59200678  3.54034307]",13.522
6,0.648,1.1191,"[ 2.65521481  4.56091964 -0.03427586  1.86463297  0.88709792  0.54518623
  1.16366766  2.13622479  2.45797405  3.39268848  2.668858    4.34035484
  1.2496206   5.48237767  0.13708715  4.24766401  2.58700751  3.54534157]",13.2668
7,0.6477,1.1734,"[ 2.66021326  4.5659182  -0.03927502  1.85963615  0.88209847  0.54018712
  1.15868093  2.13122521  2.45297552  3.38769764  2.67385487  4.34535379
  1.24462193  5.47737816  0.132088    4.25266278  2.58200821  3.55034022]",13.0097
8,0.6547,1.11,"[ 2.66521173  4.57091681 -0.04427415  1.85463943  0.87709903  0.53518802
  1.15369281  2.12622563  2.44797699  3.38270468  2.6788516   4.35035267
  1.23962329  5.47237867  0.12708887  4.25766151  2.57700895  3.55533887]",12.7508
9,0.649,1.1074,"[ 2.67021014  4.5759154  -0.04927322  1.84964297  0.87209964  0.53018899
  1.14870431  2.12122609  2.44297854  3.37771068  2.68384802  4.35535144
  1.23462474  5.46737922  0.12208978  4.26266013  2.57200978  3.56033748]",12.4906
