v,v_eff,m,t
"[[3.05720378e-05]
 [1.60754414e-05]
 [2.02273946e-04]
 [1.16045151e-05]
 [5.23992491e-04]
 [2.00926906e-04]
 [1.96866999e-07]
 [8.38394306e-04]
 [4.83392375e-05]
 [7.58101101e-06]
 [2.33377378e-05]
 [1.99714408e-04]
 [5.86920531e-05]
 [7.34158824e-04]
 [1.70259738e-04]
 [1.18712245e-04]
 [4.65902840e-04]
 [4.02326081e-05]]","[[3.05720378e-05]
 [1.60754414e-05]
 [2.02273946e-04]
 [1.16045151e-05]
 [5.23992491e-04]
 [2.00926906e-04]
 [1.96866999e-07]
 [8.38394306e-04]
 [4.83392375e-05]
 [7.58101101e-06]
 [2.33377378e-05]
 [1.99714408e-04]
 [5.86920531e-05]
 [7.34158824e-04]
 [1.70259738e-04]
 [1.18712245e-04]
 [4.65902840e-04]
 [4.02326081e-05]]","[[-0.0165876 ]
 [-0.01202826]
 [ 0.04266691]
 [ 0.01021962]
 [ 0.06867265]
 [ 0.04252461]
 [-0.00133109]
 [ 0.08686512]
 [ 0.02085793]
 [-0.00826009]
 [-0.01449274]
 [-0.0423961 ]
 [ 0.02298322]
 [ 0.0812861 ]
 [ 0.03914508]
 [-0.03268654]
 [ 0.06475435]
 [-0.01902875]]",1
"[[2.55176596e-05]
 [1.39068432e-05]
 [1.63691422e-04]
 [9.37858643e-06]
 [4.24281014e-04]
 [1.61851179e-04]
 [1.54057635e-07]
 [6.79567543e-04]
 [3.92386183e-05]
 [5.58384800e-06]
 [1.85890173e-05]
 [1.59265369e-04]
 [4.79540956e-05]
 [5.90180313e-04]
 [1.38025546e-04]
 [9.55916774e-05]
 [3.72712922e-04]
 [3.35529049e-05]]","[[2.55176596e-05]
 [1.39068432e-05]
 [1.63691422e-04]
 [9.37858643e-06]
 [4.24281014e-04]
 [1.61851179e-04]
 [1.54057635e-07]
 [6.79567543e-04]
 [3.92386183e-05]
 [5.58384800e-06]
 [1.85890173e-05]
 [1.59265369e-04]
 [4.79540956e-05]
 [5.90180313e-04]
 [1.38025546e-04]
 [9.55916774e-05]
 [3.72712922e-04]
 [3.35529049e-05]]","[[-0.0151545 ]
 [-0.01118756]
 [ 0.03838258]
 [ 0.00918734]
 [ 0.06179425]
 [ 0.03816622]
 [-0.00117751]
 [ 0.07820555]
 [ 0.01879222]
 [-0.00708905]
 [-0.01293449]
 [-0.03786012]
 [ 0.02077467]
 [ 0.07288088]
 [ 0.03524528]
 [-0.0293313 ]
 [ 0.05791732]
 [-0.01737746]]",1
"[[2.09011056e-05]
 [1.18386519e-05]
 [1.30085608e-04]
 [7.44892703e-06]
 [3.37136300e-04]
 [1.27894550e-04]
 [1.14814246e-07]
 [5.40621379e-04]
 [3.13061504e-05]
 [3.98589135e-06]
 [1.45273417e-05]
 [1.24641792e-04]
 [3.85228090e-05]
 [4.65069759e-04]
 [1.09954735e-04]
 [7.54666527e-05]
 [2.92066328e-04]
 [2.75331590e-05]]","[[2.09011056e-05]
 [1.18386519e-05]
 [1.30085608e-04]
 [7.44892703e-06]
 [3.37136300e-04]
 [1.27894550e-04]
 [1.14814246e-07]
 [5.40621379e-04]
 [3.13061504e-05]
 [3.98589135e-06]
 [1.45273417e-05]
 [1.24641792e-04]
 [3.85228090e-05]
 [4.65069759e-04]
 [1.09954735e-04]
 [7.54666527e-05]
 [2.92066328e-04]
 [2.75331590e-05]]","[[-0.01371532]
 [-0.0103222 ]
 [ 0.03421652]
 [ 0.00818782]
 [ 0.05508382]
 [ 0.03392714]
 [-0.00101653]
 [ 0.0697538 ]
 [ 0.01678557]
 [-0.00598941]
 [-0.01143443]
 [-0.03349293]
 [ 0.01862002]
 [ 0.06469643]
 [ 0.03145779]
 [-0.02606146]
 [ 0.05126984]
 [-0.01574161]]",1
"[[1.67915344e-05]
 [9.91452039e-06]
 [1.01490741e-04]
 [5.81607785e-06]
 [2.62801192e-04]
 [9.90943766e-05]
 [8.06447007e-08]
 [4.21960592e-04]
 [2.45460206e-05]
 [2.74836404e-06]
 [1.11353400e-05]
 [9.56966092e-05]
 [3.04268445e-05]
 [3.59063425e-04]
 [8.60544692e-05]
 [5.83851119e-05]
 [2.24059578e-04]
 [2.22244366e-05]]","[[1.67915344e-05]
 [9.91452039e-06]
 [1.01490741e-04]
 [5.81607785e-06]
 [2.62801192e-04]
 [9.90943766e-05]
 [8.06447007e-08]
 [4.21960592e-04]
 [2.45460206e-05]
 [2.74836404e-06]
 [1.11353400e-05]
 [9.56966092e-05]
 [3.04268445e-05]
 [3.59063425e-04]
 [8.60544692e-05]
 [5.83851119e-05]
 [2.24059578e-04]
 [2.22244366e-05]]","[[-0.01229324]
 [-0.0094462 ]
 [ 0.03022278]
 [ 0.00723496]
 [ 0.04863343]
 [ 0.02986385]
 [-0.00085194]
 [ 0.06162504]
 [ 0.01486318]
 [-0.00497346]
 [-0.0100109 ]
 [-0.02934739]
 [ 0.01654816]
 [ 0.05684691]
 [ 0.02782966]
 [-0.02292305]
 [ 0.04490586]
 [-0.01414284]]",1
"[[1.31567210e-05]
 [8.12435437e-06]
 [7.72916680e-05]
 [4.43972249e-06]
 [1.99808786e-04]
 [7.48448947e-05]
 [5.24779106e-08]
 [3.21269033e-04]
 [1.88086432e-05]
 [1.81244054e-06]
 [8.32348492e-06]
 [7.16636724e-05]
 [2.34997873e-05]
 [2.69991760e-04]
 [6.57969565e-05]
 [4.40035788e-05]
 [1.67251642e-04]
 [1.75502670e-05]]","[[1.31567210e-05]
 [8.12435437e-06]
 [7.72916680e-05]
 [4.43972249e-06]
 [1.99808786e-04]
 [7.48448947e-05]
 [5.24779106e-08]
 [3.21269033e-04]
 [1.88086432e-05]
 [1.81244054e-06]
 [8.32348492e-06]
 [7.16636724e-05]
 [2.34997873e-05]
 [2.69991760e-04]
 [6.57969565e-05]
 [4.40035788e-05]
 [1.67251642e-04]
 [1.75502670e-05]]","[[-0.01088166]
 [-0.00855098]
 [ 0.0263747 ]
 [ 0.00632119]
 [ 0.04240612]
 [ 0.02595388]
 [-0.00068724]
 [ 0.05377194]
 [ 0.01301068]
 [-0.00403881]
 [-0.00865514]
 [-0.02539632]
 [ 0.01454297]
 [ 0.04929428]
 [ 0.0243346 ]
 [-0.01990056]
 [ 0.03879774]
 [-0.01256791]]",1
"[5.18541447e-06 3.61097523e-06 2.72928646e-05 ... 4.94641338e-03
 8.98324316e-03 1.42741578e-05]","[5.18541447e-06 3.61097523e-06 2.72928646e-05 ... 4.94641338e-03
 8.98324316e-03 1.42741578e-05]","[ 0.00683145 -0.00570077 -0.01567277 ... -0.21099223 -0.28433992
  0.01133435]",1
"[[1.00187069e-05]
 [6.49153735e-06]
 [5.72587656e-05]
 [3.30322181e-06]
 [1.47654768e-04]
 [5.49076977e-05]
 [3.09383827e-08]
 [2.37773466e-04]
 [1.40382608e-05]
 [1.13327513e-06]
 [6.04604919e-06]
 [5.21613354e-05]
 [1.76902465e-05]
 [1.97000081e-04]
 [4.89820497e-05]
 [3.21916535e-05]
 [1.21023197e-04]
 [1.35121481e-05]]","[[1.00187069e-05]
 [6.49153735e-06]
 [5.72587656e-05]
 [3.30322181e-06]
 [1.47654768e-04]
 [5.49076977e-05]
 [3.09383827e-08]
 [2.37773466e-04]
 [1.40382608e-05]
 [1.13327513e-06]
 [6.04604919e-06]
 [5.21613354e-05]
 [1.76902465e-05]
 [1.97000081e-04]
 [4.89820497e-05]
 [3.21916535e-05]
 [1.21023197e-04]
 [1.35121481e-05]]","[[-0.0094957 ]
 [-0.00764355]
 [ 0.02270086]
 [ 0.00545243]
 [ 0.03645398]
 [ 0.02222992]
 [-0.00052768]
 [ 0.04625971]
 [ 0.0112403 ]
 [-0.00319366]
 [-0.00737661]
 [-0.02166684]
 [ 0.01261793]
 [ 0.04210702]
 [ 0.02099615]
 [-0.01702131]
 [ 0.03300316]
 [-0.01102766]]",1
"[[7.52977950e-06]
 [5.12802626e-06]
 [4.19231622e-05]
 [2.43575126e-06]
 [1.07773746e-04]
 [3.97632925e-05]
 [1.64213872e-08]
 [1.73822616e-04]
 [1.03666312e-05]
 [6.81511329e-07]
 [4.33689196e-06]
 [3.75050156e-05]
 [1.31849552e-05]
 [1.41800841e-04]
 [3.60603520e-05]
 [2.32391726e-05]
 [8.63254758e-05]
 [1.02903702e-05]]","[[7.52977950e-06]
 [5.12802626e-06]
 [4.19231622e-05]
 [2.43575126e-06]
 [1.07773746e-04]
 [3.97632925e-05]
 [1.64213872e-08]
 [1.73822616e-04]
 [1.03666312e-05]
 [6.81511329e-07]
 [4.33689196e-06]
 [3.75050156e-05]
 [1.31849552e-05]
 [1.41800841e-04]
 [3.60603520e-05]
 [2.32391726e-05]
 [8.63254758e-05]
 [1.02903702e-05]]","[[-0.00823213]
 [-0.00679354]
 [ 0.01942443]
 [ 0.00468207]
 [ 0.03114424]
 [ 0.01891744]
 [-0.00038444]
 [ 0.03955254]
 [ 0.00965918]
 [-0.00247661]
 [-0.00624756]
 [-0.0183724 ]
 [ 0.01089333]
 [ 0.03572405]
 [ 0.01801508]
 [-0.01446211]
 [ 0.02787345]
 [-0.00962358]]",1
"[[5.55142466e-06]
 [3.97817936e-06]
 [3.01394440e-05]
 [1.76762805e-06]
 [7.72025962e-05]
 [2.82458521e-05]
 [7.51735251e-09]
 [1.24716699e-04]
 [7.52479430e-06]
 [3.89193829e-07]
 [3.05228307e-06]
 [2.64669040e-05]
 [9.66469277e-06]
 [1.00051803e-04]
 [2.60834544e-05]
 [1.64495935e-05]
 [6.03134771e-05]
 [7.70139479e-06]]","[[5.55142466e-06]
 [3.97817936e-06]
 [3.01394440e-05]
 [1.76762805e-06]
 [7.72025962e-05]
 [2.82458521e-05]
 [7.51735251e-09]
 [1.24716699e-04]
 [7.52479430e-06]
 [3.89193829e-07]
 [3.05228307e-06]
 [2.64669040e-05]
 [9.66469277e-06]
 [1.00051803e-04]
 [2.60834544e-05]
 [1.64495935e-05]
 [6.03134771e-05]
 [7.70139479e-06]]","[[-0.00706844]
 [-0.00598361]
 [ 0.01646982]
 [ 0.00398857]
 [ 0.0263595 ]
 [ 0.01594405]
 [-0.00026011]
 [ 0.03350299]
 [ 0.00822941]
 [-0.00187156]
 [-0.00524124]
 [-0.0154338 ]
 [ 0.00932643]
 [ 0.03000777]
 [ 0.01532159]
 [-0.01216743]
 [ 0.02329853]
 [-0.00832542]]",1
"[[7.75394606e-06]
 [5.57720744e-06]
 [4.16319264e-05]
 [2.50199789e-06]
 [1.06965353e-04]
 [3.89956347e-05]
 [8.94406797e-09]
 [1.72635519e-04]
 [1.03689790e-05]
 [5.07691425e-07]
 [4.15154692e-06]
 [3.62874330e-05]
 [1.34449011e-05]
 [1.38916423e-04]
 [3.58182663e-05]
 [2.28672449e-05]
 [8.39270004e-05]
 [1.05951391e-05]]","[[7.75394606e-06]
 [5.57720744e-06]
 [4.16319264e-05]
 [2.50199789e-06]
 [1.06965353e-04]
 [3.89956347e-05]
 [8.94406797e-09]
 [1.72635519e-04]
 [1.03689790e-05]
 [5.07691425e-07]
 [4.15154692e-06]
 [3.62874330e-05]
 [1.34449011e-05]
 [1.38916423e-04]
 [3.58182663e-05]
 [2.28672449e-05]
 [8.39270004e-05]
 [1.05951391e-05]]","[[-0.00835377]
 [-0.00708483]
 [ 0.01935684]
 [ 0.00474531]
 [ 0.03102722]
 [ 0.01873395]
 [-0.00028372]
 [ 0.03941725]
 [ 0.00966027]
 [-0.00213757]
 [-0.0061126 ]
 [-0.01807172]
 [ 0.01100019]
 [ 0.03535884]
 [ 0.01795451]
 [-0.01434591]
 [ 0.0274835 ]
 [-0.00976505]]",1
