epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
32,0.6947,0.6969,"[ 2.33340949  4.91226913  0.12409558  0.60386339  0.67944053 -0.55502768
  0.56378207  1.86833982  1.89136192  2.05101312  2.88848673  4.73394628]",0.2093
33,0.6934,0.6978,"[ 2.31951749  4.899542    0.17380373  0.6489721   0.72760347 -0.52389156
  0.61300379  1.91727538  1.94049319  2.0012409   2.83996588  4.68607238]",0.2006
34,0.695,0.6926,"[ 2.34636411  4.8934329   0.22353471  0.69011308  0.77640653 -0.48950368
  0.66234177  1.95330801  1.98985276  1.9515208   2.7911424   4.66190973]",0.228
35,0.6931,0.6977,"[ 2.39552738  4.93435647  0.27318139  0.70573836  0.82584802 -0.48091917
  0.67013507  2.00299726  1.99928516  1.90197783  2.76682033  4.68918883]",0.2919
36,0.693,0.6904,"[ 2.42294341  4.94427817  0.32242939  0.70263109  0.87428312 -0.48019578
  0.64816724  2.05230629  1.98113321  1.85691518  2.78744823  4.71080371]",0.3492
37,0.6928,0.7047,"[ 2.40498303  4.92807791  0.35530626  0.716531    0.8665253  -0.45872883
  0.64013453  2.05321149  1.9771047   1.81536385  2.80529153  4.71218697]",0.3652
38,0.6926,0.6978,"[ 2.37593869  4.9051274   0.39003941  0.73754493  0.84693723 -0.43405527
  0.5907948   2.04415723  1.92777932  1.76593308  2.85384908  4.7114922 ]",0.364
39,0.6924,0.6817,"[ 2.33092552  4.87469578  0.43556312  0.77555127  0.820588   -0.38505973
  0.54366081  2.02829404  1.87857336  1.71623964  2.90240981  4.70230104]",0.3671
40,0.6925,0.6779,"[ 2.33984093  4.88478187  0.48113263  0.79727184  0.85190297 -0.34687922
  0.49936357  2.06374619  1.8292471   1.66689043  2.9503953   4.71461539]",0.4193
41,0.6922,0.6928,"[ 2.37256317  4.89737062  0.52887235  0.8136415   0.88184704 -0.30380327
  0.450603    2.09999338  1.78032405  1.6213485   2.99937796  4.73676847]",0.4773
42,0.6922,0.6926,"[ 2.42165989  4.87499303  0.57792102  0.8456479   0.86386495 -0.25423593
  0.45555826  2.1077924   1.79256817  1.57212631  3.04876788  4.73833186]",0.4843
43,0.6918,0.6973,"[ 2.47132541  4.83370192  0.62749274  0.82652631  0.8144249  -0.20468032
  0.48351318  2.09195947  1.8417574   1.5227451   3.09853225  4.77190419]",0.46
44,0.6945,0.6914,"[ 2.52111365  4.78403991  0.67723257  0.7978834   0.76465793 -0.1549419
  0.53302776  2.04247127  1.89151128  1.47313497  3.14840281  4.8214936 ]",0.4381
