v,v_eff,m,t
"[[2.57272098e-06]
 [4.09622106e-06]
 [1.52505395e-05]
 [8.55034877e-07]
 [3.19344728e-05]
 [1.03171580e-05]
 [1.07091018e-07]
 [5.36429133e-05]
 [4.59075516e-06]
 [7.19080557e-08]
 [1.47910643e-06]
 [1.14068204e-05]
 [6.18211958e-06]
 [2.75588980e-05]
 [1.59844521e-05]
 [4.74807198e-06]
 [1.19497176e-05]
 [6.83319314e-06]]","[[2.57272098e-06]
 [4.09622106e-06]
 [1.52505395e-05]
 [8.55034877e-07]
 [3.19344728e-05]
 [1.03171580e-05]
 [1.07091018e-07]
 [5.36429133e-05]
 [4.59075516e-06]
 [7.19080557e-08]
 [1.47910643e-06]
 [1.14068204e-05]
 [6.18211958e-06]
 [2.75588980e-05]
 [1.59844521e-05]
 [4.74807198e-06]
 [1.19497176e-05]
 [6.83319314e-06]]","[[ 0.00481191]
 [ 0.00607174]
 [-0.01171558]
 [-0.00277404]
 [-0.01695318]
 [-0.0096361 ]
 [-0.00098174]
 [-0.0219724 ]
 [-0.00642781]
 [-0.00080447]
 [ 0.00364856]
 [ 0.0101322 ]
 [-0.00745916]
 [-0.01574897]
 [-0.01199417]
 [ 0.00653702]
 [-0.01037051]
 [ 0.00784211]]",1
"[[2.25058403e-06]
 [3.40668479e-06]
 [1.38752476e-05]
 [7.97167393e-07]
 [2.94616704e-05]
 [9.57255949e-06]
 [8.27821359e-08]
 [4.91781041e-05]
 [4.06714624e-06]
 [3.10025656e-08]
 [1.36406727e-06]
 [1.06752418e-05]
 [5.51316735e-06]
 [2.63860837e-05]
 [1.42204832e-05]
 [4.53380640e-06]
 [1.20085872e-05]
 [5.83204563e-06]]","[[2.25058403e-06]
 [3.40668479e-06]
 [1.38752476e-05]
 [7.97167393e-07]
 [2.94616704e-05]
 [9.57255949e-06]
 [8.27821359e-08]
 [4.91781041e-05]
 [4.06714624e-06]
 [3.10025656e-08]
 [1.36406727e-06]
 [1.06752418e-05]
 [5.51316735e-06]
 [2.63860837e-05]
 [1.42204832e-05]
 [4.53380640e-06]
 [1.20085872e-05]
 [5.83204563e-06]]","[[ 0.00450058]
 [ 0.00553716]
 [-0.01117485]
 [-0.00267853]
 [-0.01628358]
 [-0.00928187]
 [-0.00086316]
 [-0.02103813]
 [-0.00605015]
 [-0.00052823]
 [ 0.0035038 ]
 [ 0.0098019 ]
 [-0.00704404]
 [-0.01541022]
 [-0.01131302]
 [ 0.00638782]
 [-0.01039602]
 [ 0.00724489]]",1
"[[1.94484953e-06]
 [2.78346678e-06]
 [1.24197690e-05]
 [7.26610461e-07]
 [2.67523586e-05]
 [8.74550023e-06]
 [6.06070488e-08]
 [4.43957645e-05]
 [3.54495940e-06]
 [8.41047478e-09]
 [1.23687788e-06]
 [9.82195049e-06]
 [4.83301575e-06]
 [2.48301764e-05]
 [1.24532033e-05]
 [4.25602827e-06]
 [1.18129159e-05]
 [4.90191706e-06]]","[[1.94484953e-06]
 [2.78346678e-06]
 [1.24197690e-05]
 [7.26610461e-07]
 [2.67523586e-05]
 [8.74550023e-06]
 [6.06070488e-08]
 [4.43957645e-05]
 [3.54495940e-06]
 [8.41047478e-09]
 [1.23687788e-06]
 [9.82195049e-06]
 [4.83301575e-06]
 [2.48301764e-05]
 [1.24532033e-05]
 [4.25602827e-06]
 [1.18129159e-05]
 [4.90191706e-06]]","[[ 0.00418374]
 [ 0.00500512]
 [-0.01057251]
 [-0.00255724]
 [-0.0155168 ]
 [-0.00887184]
 [-0.00073855]
 [-0.01998904]
 [-0.00564842]
 [-0.00027513]
 [ 0.00333645]
 [ 0.009402  ]
 [-0.00659524]
 [-0.01494897]
 [-0.01058673]
 [ 0.00618904]
 [-0.01031098]
 [ 0.00664208]]",1
"[4.92881812e-05 2.08053116e-04 1.90415422e-03 ... 3.04540793e-04
 5.51939739e-04 5.50208795e-04]","[4.92881812e-05 2.08053116e-04 1.90415422e-03 ... 3.04540793e-04
 5.51939739e-04 5.50208795e-04]","[ 0.02106166 -0.04327214 -0.13090985 ... -0.05235329 -0.07048019
 -0.07036959]",1
"[[1.65521803e-06]
 [2.22781144e-06]
 [1.09059428e-05]
 [6.46038004e-07]
 [2.38385724e-05]
 [7.84342150e-06]
 [4.15507413e-08]
 [3.93480579e-05]
 [3.03116763e-06]
 [2.67560136e-10]
 [1.09954013e-06]
 [8.85915248e-06]
 [4.15311765e-06]
 [2.28968096e-05]
 [1.07042502e-05]
 [3.91596660e-06]
 [1.13454958e-05]
 [4.04616608e-06]]","[[1.65521803e-06]
 [2.22781144e-06]
 [1.09059428e-05]
 [6.46038004e-07]
 [2.38385724e-05]
 [7.84342150e-06]
 [4.15507413e-08]
 [3.93480579e-05]
 [3.03116763e-06]
 [2.67560136e-10]
 [1.09954013e-06]
 [8.85915248e-06]
 [4.15311765e-06]
 [2.28968096e-05]
 [1.07042502e-05]
 [3.91596660e-06]
 [1.13454958e-05]
 [4.04616608e-06]]","[[ 3.85965831e-03]
 [ 4.47775647e-03]
 [-9.90724406e-03]
 [-2.41129468e-03]
 [-1.46474282e-02]
 [-8.40183275e-03]
 [-6.11519968e-04]
 [-1.88184091e-02]
 [-5.22307464e-03]
 [-4.90717966e-05]
 [ 3.14576878e-03]
 [ 8.92929853e-03]
 [-6.11375980e-03]
 [-1.43551833e-02]
 [-9.81520513e-03]
 [ 5.93664041e-03]
 [-1.01049227e-02]
 [ 6.03452523e-03]]",1
"[[1.38189054e-06]
 [1.73980931e-06]
 [9.35973020e-06]
 [5.58429421e-07]
 [2.07655175e-05]
 [6.87807009e-06]
 [2.62022260e-08]
 [3.41064990e-05]
 [2.53301579e-06]
 [2.37579386e-09]
 [9.54866135e-07]
 [7.80435738e-06]
 [3.48538223e-06]
 [2.06103264e-05]
 [8.99798382e-06]
 [3.51776551e-06]
 [1.06008054e-05]
 [3.26819045e-06]]","[[1.38189054e-06]
 [1.73980931e-06]
 [9.35973020e-06]
 [5.58429421e-07]
 [2.07655175e-05]
 [6.87807009e-06]
 [2.62022260e-08]
 [3.41064990e-05]
 [2.53301579e-06]
 [2.37579386e-09]
 [9.54866135e-07]
 [7.80435738e-06]
 [3.48538223e-06]
 [2.06103264e-05]
 [8.99798382e-06]
 [3.51776551e-06]
 [1.06008054e-05]
 [3.26819045e-06]]","[[ 0.00352662]
 [ 0.00395705]
 [-0.0091781 ]
 [-0.00224184]
 [-0.01367076]
 [-0.00786782]
 [-0.00048561]
 [-0.01752023]
 [-0.00477464]
 [ 0.00014623]
 [ 0.00293152]
 [ 0.00838088]
 [-0.00560075]
 [-0.01361958]
 [-0.00899899]
 [ 0.00562671]
 [-0.00976766]
 [ 0.00542344]]",1
"[[1.12621753e-06]
 [1.31334140e-06]
 [7.82529045e-06]
 [4.64390818e-07]
 [1.76382895e-05]
 [5.86785942e-06]
 [1.41441678e-08]
 [2.88261301e-05]
 [2.05651515e-06]
 [1.10652785e-08]
 [8.16151237e-07]
 [6.68997833e-06]
 [2.83948006e-06]
 [1.80595697e-05]
 [7.40160296e-06]
 [3.06872715e-06]
 [9.58171707e-06]
 [2.59214978e-06]]","[[1.12621753e-06]
 [1.31334140e-06]
 [7.82529045e-06]
 [4.64390818e-07]
 [1.76382895e-05]
 [5.86785942e-06]
 [1.41441678e-08]
 [2.88261301e-05]
 [2.05651515e-06]
 [1.10652785e-08]
 [8.16151237e-07]
 [6.68997833e-06]
 [2.83948006e-06]
 [1.80595697e-05]
 [7.40160296e-06]
 [3.06872715e-06]
 [9.58171707e-06]
 [2.59214978e-06]]","[[ 0.0031837 ]
 [ 0.00343803]
 [-0.00839212]
 [-0.00204439]
 [-0.01259939]
 [-0.0072671 ]
 [-0.00035679]
 [-0.01610699]
 [-0.00430217]
 [ 0.00031557]
 [ 0.00271023]
 [ 0.0077595 ]
 [-0.00505523]
 [-0.01274897]
 [-0.00816177]
 [ 0.00525533]
 [-0.0092863 ]
 [ 0.00483005]]",1
"[3.67564415e-05 2.17184496e-04 1.50244862e-03 ... 2.06851734e-04
 4.04176934e-04 4.99360083e-04]","[3.67564415e-05 2.17184496e-04 1.50244862e-03 ... 2.06851734e-04
 4.04176934e-04 4.99360083e-04]","[ 0.01818813 -0.04421154 -0.1162843  ... -0.04314702 -0.06031246
 -0.0670391 ]",1
"[[8.84254350e-07]
 [9.48679920e-07]
 [6.28324721e-06]
 [3.69288632e-07]
 [1.43930184e-05]
 [4.81130667e-06]
 [6.22708434e-09]
 [2.34136407e-05]
 [1.60332498e-06]
 [2.21070304e-08]
 [6.69633941e-07]
 [5.50556330e-06]
 [2.21955799e-06]
 [1.51885114e-05]
 [5.84997350e-06]
 [2.56972662e-06]
 [8.29544860e-06]
 [1.97604874e-06]]","[[8.84254350e-07]
 [9.48679920e-07]
 [6.28324721e-06]
 [3.69288632e-07]
 [1.43930184e-05]
 [4.81130667e-06]
 [6.22708434e-09]
 [2.34136407e-05]
 [1.60332498e-06]
 [2.21070304e-08]
 [6.69633941e-07]
 [5.50556330e-06]
 [2.21955799e-06]
 [1.51885114e-05]
 [5.84997350e-06]
 [2.56972662e-06]
 [8.29544860e-06]
 [1.97604874e-06]]","[[ 0.00282104]
 [ 0.00292201]
 [-0.00751992]
 [-0.00182307]
 [-0.01138144]
 [-0.00658041]
 [-0.00023674]
 [-0.01451629]
 [-0.00379867]
 [ 0.00044605]
 [ 0.00245493]
 [ 0.00703918]
 [-0.00446945]
 [-0.01169173]
 [-0.00725602]
 [ 0.00480911]
 [-0.00864055]
 [ 0.00421716]]",1
"[[6.56629685e-07]
 [6.43174127e-07]
 [4.75709631e-06]
 [2.75755046e-07]
 [1.10785510e-05]
 [3.72308584e-06]
 [1.86228279e-09]
 [1.79443026e-05]
 [1.17839635e-06]
 [3.13623480e-08]
 [5.17825369e-07]
 [4.27137155e-06]
 [1.63417212e-06]
 [1.20414722e-05]
 [4.36114418e-06]
 [2.02868957e-06]
 [6.75863898e-06]
 [1.42091541e-06]]","[[6.56629685e-07]
 [6.43174127e-07]
 [4.75709631e-06]
 [2.75755046e-07]
 [1.10785510e-05]
 [3.72308584e-06]
 [1.86228279e-09]
 [1.79443026e-05]
 [1.17839635e-06]
 [3.13623480e-08]
 [5.17825369e-07]
 [4.27137155e-06]
 [1.63417212e-06]
 [1.20414722e-05]
 [4.36114418e-06]
 [2.02868957e-06]
 [6.75863898e-06]
 [1.42091541e-06]]","[[ 0.00243098]
 [ 0.00240594]
 [-0.00654323]
 [-0.00157537]
 [-0.00998534]
 [-0.00578859]
 [-0.00012946]
 [-0.01270821]
 [-0.00325662]
 [ 0.00053128]
 [ 0.0021588 ]
 [ 0.00620019]
 [-0.00383504]
 [-0.01041025]
 [-0.00626501]
 [ 0.00427296]
 [-0.00779921]
 [ 0.00357606]]",1
