epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.8654,0.3616,"[2.61722854e+00 4.52293391e+00 3.71783011e-03 1.90260821e+00
 9.25093902e-01 5.83179530e-01 1.17329687e+00 2.17422165e+00
 2.49596207e+00 3.38846524e+00 2.63087939e+00 4.30236202e+00
 1.28761009e+00 5.52037399e+00 1.75080525e-01 4.20967302e+00
 2.62500253e+00 3.50735297e+00]",15.0208
1,0.8046,0.4362,"[2.61423111 4.51993621 0.00671684 1.90560416 0.92809324 0.58617838
 1.17627751 2.17722114 2.49896017 3.38743715 2.62788247 4.2993631
 1.29060847 5.52337332 0.17807952 4.20667463 2.62800161 3.50435464]",15.1698
2,0.7523,0.5286,"[2.61123488 4.51694005 0.00971544 1.90859834 0.93109232 0.58917679
 1.17917685 2.18022041 2.50195735 3.38445473 2.62488672 4.29636458
 1.29360607 5.52637244 0.18107805 4.20367677 2.63100043 3.50135721]",15.3201
3,0.7087,0.6381,"[2.60824383 4.51395071 0.01271219 1.9115844  0.93409024 0.59217327
 1.17643493 2.18321877 2.50495057 3.38147637 2.62189621 4.29336787
 1.29660026 5.52937054 0.18407459 4.20068144 2.63399798 3.49836366]",15.4361
4,0.678,0.7552,"[2.60924257 4.51494788 0.01171262 1.91058676 0.93309049 0.59117364
 1.17744971 2.18221897 2.50395157 3.38247662 2.62289508 4.29436751
 1.29560121 5.52837072 0.18307507 4.20168097 2.63299818 3.49936248]",15.398
5,0.6558,0.8847,"[2.61223759 4.51794083 0.00871446 1.90759502 0.93009164 0.58817555
 1.18041587 2.17921988 2.50095551 3.38546776 2.62588976 4.29736569
 1.29260466 5.52537173 0.18007708 4.20467849 2.62999944 3.50235854]",15.2832
6,0.6463,1.0293,"[2.6152353  4.52093755 0.00571534 1.90459891 0.92709218 0.58517646
 1.18340102 2.17622031 2.4979574  3.38846345 2.62888719 4.30036481
 1.2896063  5.5223722  0.17707804 4.20767733 2.62700003 3.50535665]",15.1683
7,0.6447,1.1699,"[2.61823387e+00 4.52393553e+00 2.71590551e-03 1.90160134e+00
 9.24092528e-01 5.82177034e-01 1.18639134e+00 2.17322058e+00
 2.49495861e+00 3.39146055e+00 2.63188550e+00 4.30336424e+00
 1.28660734e+00 5.51937250e+00 1.74078660e-01 4.21067659e+00
 2.62400040e+00 3.50835545e+00]",15.0532
8,0.6474,1.1319,"[ 2.62123260e+00  4.52693382e+00 -2.83579695e-04  1.89860350e+00
  9.21092844e-01  5.79177567e-01  1.18938107e+00  2.17022083e+00
  2.49195972e+00  3.39445751e+00  2.63488392e+00  4.30636371e+00
  1.28360827e+00  5.51637278e+00  1.71079228e-01  4.21367591e+00
  2.62100075e+00  3.51135437e+00]",14.9381
9,0.6473,1.1541,"[ 2.62423133e+00  4.52993219e+00 -3.28305168e-03  1.89560565e+00
  9.18093169e-01  5.76178120e-01  1.19236835e+00  2.16722109e+00
  2.48896084e+00  3.39745383e+00  2.63788226e+00  4.30936316e+00
  1.28060921e+00  5.51337306e+00  1.68079810e-01  4.21667521e+00
  2.61800111e+00  3.51435330e+00]",14.8228
10,0.6459,1.167,"[ 2.62723013  4.53293073 -0.00628254  1.89260769  0.91509348  0.57317866
  1.1953532   2.16422134  2.48596192  3.40044955  2.64088061  4.31236261
  1.2776101   5.51037334  0.16508037  4.21967452  2.61500147  3.51735229]",14.7075
11,0.652,1.1195,"[ 2.63022895  4.53592934 -0.00928202  1.88960971  0.9120938   0.57017921
  1.19833279  2.16122159  2.48296301  3.40344394  2.64387889  4.31536205
  1.27461099  5.50737363  0.16208094  4.22267383  2.61200183  3.52035129]",14.5923
12,0.6533,1.0965,"[ 2.63322779  4.53892804 -0.0122815   1.88661168  0.90909412  0.56717977
  1.20130304  2.15822185  2.47996409  3.40643608  2.64687711  4.31836147
  1.27161186  5.50437392  0.15908152  4.22567312  2.6090022   3.52335031]",14.477
13,0.6483,1.1385,"[ 2.63622667  4.5419268  -0.01528098  1.88361362  0.90609444  0.56418034
  1.20425118  2.1552221   2.47696517  3.40942327  2.64987526  4.32136088
  1.26861271  5.50137422  0.15608209  4.22867241  2.60600258  3.52634936]",14.3617
14,0.6537,1.0997,"[ 2.63922556  4.54492562 -0.01828045  1.88061555  0.90309477  0.56118092
  1.2068495   2.15222236  2.47396626  3.41237734  2.65287333  4.32436027
  1.26561357  5.49837452  0.15308267  4.23167168  2.60300297  3.52934841]",14.2442
15,0.6533,1.1054,"[ 2.64222451  4.54792454 -0.02127994  1.87761737  0.90009508  0.55818148
  1.20399051  2.14922261  2.47096729  3.4097098   2.65587141  4.32735967
  1.26261438  5.49537481  0.15008323  4.23467098  2.60000336  3.53234752]",14.0967
16,0.6522,1.1278,"[ 2.64522349  4.5509235  -0.02427943  1.87461919  0.8970954   0.55518203
  1.2010294   2.14622285  2.4679683   3.40673169  2.65886949  4.33035906
  1.25961518  5.4923751   0.14708377  4.23767028  2.59700374  3.53534665]",13.9479
