epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6901,0.8114,"[2.67016327 4.47595522 0.05070402 1.94956179 0.97194188 0.53020078
 1.1205297  2.12139098 2.44300728]",1.6778
1,0.6901,0.8085,"[2.720057   4.42598565 0.10068284 1.99950354 1.02168153 0.48022901
 1.07081324 2.07168303 2.39306333]",1.5556
2,0.6918,0.7694,"[2.76986319 4.37602481 0.15065261 2.04943505 1.07117817 0.43026768
 1.02114967 2.02216547 2.34313741]",1.4493
3,0.6929,0.7028,"[2.81905796 4.32611287 0.20057587 2.09929066 1.11851593 0.38036158
 0.9718134  1.97339977 2.29332133]",1.357
4,0.6931,0.6935,"[2.85052662 4.29411996 0.23256487 2.13128798 1.11376536 0.34836965
 0.93982169 1.94142149 2.2613412 ]",1.2961
5,0.6932,0.7013,"[2.86931085 4.28579507 0.24088852 2.13975559 1.10237961 0.34000956
 0.93013431 1.93137114 2.25258251]",1.2812
6,0.6932,0.6852,"[2.8794843  4.27884016 0.24784374 2.14670535 1.09533383 0.33305618
 0.92317775 1.92442474 2.24563494]",1.2684
7,0.6931,0.6906,"[2.87180878 4.26740185 0.2592664  2.15798884 1.08555731 0.32165998
 0.91288383 1.91419506 2.23472452]",1.2422
8,0.6932,0.7065,"[2.86828058 4.26346952 0.26319595 2.16189985 1.08183718 0.31773311
 0.90912883 1.91044496 2.23087505]",1.2329
9,0.6932,0.6873,"[2.86540591 4.25953855 0.26712336 2.16580682 1.07846864 0.31380754
 0.90554185 1.90685501 2.2270649 ]",1.2239
10,0.6929,0.7007,"[2.86608132 4.2595287  0.26713294 2.1658133  1.07873373 0.31379889
 0.90566507 1.90698425 2.22707792]",1.2242
11,0.6928,0.6716,"[2.87111275 4.26542328 0.26124268 2.1599523  1.08395885 0.31968607
 0.91113731 1.91246105 2.23280781]",1.2379
12,0.6933,0.7178,"[2.87151669 4.26548274 0.26118074 2.15987385 1.08420266 0.31975056
 0.91134849 1.9126787  2.23293833]",1.2383
13,0.6933,0.7162,"[2.87206336 4.26566269 0.26099567 2.15965971 1.08452717 0.31993961
 0.91167214 1.91300475 2.2332207 ]",1.2389
14,0.6931,0.6916,"[2.86638294 4.25966841 0.26698953 2.1656501  1.07859747 0.31394678
 0.90571608 1.90705645 2.22723612]",1.2245
15,0.6931,0.697,"[2.87426756 4.26763907 0.2590201  2.15768701 1.08636561 0.32191639
 0.91356358 1.91491529 2.23515782]",1.2437
16,0.6932,0.7083,"[2.87596088 4.27135662 0.2553119  2.15406514 1.08862511 0.32560855
 0.91635674 1.91766344 2.23850314]",1.2515
17,0.6932,0.7115,"[2.87074115 4.26537977 0.26128769 2.1600319  1.08283597 0.31963468
 0.91048973 1.91180872 2.2325624 ]",1.2373
18,0.6932,0.7052,"[2.86993212 4.26369141 0.26296733 2.16164325 1.08170596 0.31796775
 0.9092601  1.91059458 2.23112211]",1.2337
19,0.693,0.6857,"[2.86951563 4.26362838 0.26303304 2.1617237  1.08131146 0.31790156
 0.90897319 1.91032008 2.2309635 ]",1.2333
20,0.6933,0.6767,"[2.86945554 4.26186325 0.26478765 2.16341865 1.08064547 0.31615237
 0.90796954 1.90930851 2.22952206]",1.2301
21,0.6932,0.6943,"[2.87038685 4.26185644 0.26479402 2.16341909 1.08103015 0.31614753
 0.90815726 1.90950502 2.22955407]",1.2304
22,0.6931,0.6638,"[2.86975424 4.26005823 0.26658339 2.16515854 1.07998872 0.31436361
 0.90691008 1.90826247 2.22800749]",1.2268
23,0.6932,0.7001,"[2.87226713 4.26212413 0.26451456 2.16307107 1.08229604 0.31643538
 0.90915918 1.91052231 2.23015577]",1.232
24,0.6932,0.7031,"[2.86720356 4.25618082 0.27045476 2.16899424 1.07678134 0.31049714
 0.90348133 1.90484777 2.2243085 ]",1.2181
25,0.6932,0.6902,"[2.87168199 4.26323535 0.26343152 2.16213383 1.08181881 0.31750432
 0.90903378 1.91041799 2.23059504]",1.2334
26,0.6933,0.7088,"[2.87130182 4.26137262 0.26528814 2.16394784 1.08078204 0.31565443
 0.90770587 1.90910973 2.22893856]",1.2296
27,0.693,0.6789,"[2.87211607 4.26144043 0.26521687 2.16385801 1.0811997  0.31572784
 0.90801039 1.90941945 2.22910315]",1.2302
28,0.6932,0.7208,"[2.87337385 4.26155288 0.26509925 2.16370574 1.08194197 0.31585115
 0.90853945 1.90996727 2.22938035]",1.231
29,0.6933,0.6773,"[2.8723959  4.25961847 0.26703015 2.16561657 1.08046641 0.313923
 0.90689273 1.90832902 2.22755239]",1.2268
30,0.6932,0.6858,"[2.87464455 4.26175924 0.2648839  2.16344142 1.08272864 0.31607327
 0.90919515 1.91063839 2.22980695]",1.2321
31,0.6931,0.6837,"[2.87464014 4.26173912 0.26490439 2.16346657 1.08263931 0.31605184
 0.90913488 1.91057925 2.22976673]",1.2321
32,0.6932,0.6651,"[2.87669203 4.26371437 0.26293024 2.16149655 1.0845273  0.31802644
 0.9110435  1.91249815 2.23170682]",1.2368
33,0.6932,0.666,"[2.88198954 4.26959922 0.25704975 2.15564657 1.08993268 0.32390179
 0.91661003 1.91806175 2.2374503 ]",1.2507
34,0.6932,0.6879,"[2.87762572 4.26540382 0.26125381 2.1598954  1.08519792 0.3196931
 0.91196197 1.9134345  2.23302133]",1.2401
35,0.693,0.7153,"[2.87356121 4.26138796 0.26527019 2.16391548 1.08106517 0.31567655
 0.90787957 1.90935645 2.22897896]",1.2304
36,0.693,0.678,"[2.87785319 4.26725075 0.25941372 2.15809889 1.08595527 0.32152804
 0.91315331 1.91462706 2.23462038]",1.2437
37,0.6932,0.7183,"[2.87543406 4.26335183 0.2633078  2.16196056 1.08276537 0.31763923
 0.90969007 1.91118155 2.23088091]",1.235
38,0.6931,0.7011,"[2.87572205 4.26325997 0.26340312 2.16207437 1.08260343 0.31754204
 0.90948226 1.9109827  2.23070219]",1.2348
39,0.6933,0.7053,"[2.87661655 4.26512794 0.26154047 2.16024966 1.08378889 0.31939842
 0.91091348 1.91240323 2.23238971]",1.2387
40,0.6931,0.6815,"[2.87719874 4.26520988 0.26145507 2.1601438  1.08409931 0.3194871
 0.91117053 1.91266976 2.23255666]",1.2392
41,0.6931,0.7026,"[2.8711482  4.25747882 0.26917345 2.16780053 1.07738968 0.31177445
 0.90416116 1.90565616 2.22515245]",1.2214
42,0.693,0.7287,"[2.86764981 4.25350717 0.2731431  2.1717618  1.07364814 0.30780552
 0.90033695 1.90182906 2.22123291]",1.2121
43,0.6931,0.6913,"[2.87088091 4.25566649 0.27097456 2.16955676 1.07654469 0.30997523
 0.90302915 1.90450233 2.22362746]",1.218
44,0.6931,0.7173,"[2.87877906 4.26545701 0.26119467 2.15983183 1.08508495 0.31974996
 0.91201347 1.91349695 2.23309305]",1.2405
45,0.6933,0.7132,"[2.88120465 4.26937265 0.2572828  2.1559483  1.08818824 0.32365727
 0.91547967 1.91694802 2.23685684]",1.2493
46,0.6932,0.7061,"[2.87776789 4.26535335 0.26130276 2.15997128 1.08423879 0.31963728
 0.91146766 1.91294547 2.23282046]",1.2397
47,0.6933,0.7141,"[2.87715542 4.26348863 0.26316101 2.16178981 1.08307458 0.31778511
 0.91007786 1.91156937 2.23114958]",1.2359
48,0.693,0.6702,"[2.8734255  4.25766376 0.26897629 2.16755517 1.07843625 0.31197537
 0.90500994 1.90650021 2.22561303]",1.2229
49,0.6932,0.7016,"[2.87371685 4.25763951 0.26900152 2.16758031 1.07849833 0.31195179
 0.90501531 1.906514   2.22557762]",1.223
50,0.6929,0.6699,"[2.87482538 4.2577272  0.26890846 2.16746343 1.07916683 0.31204684
 0.9054841  1.90697756 2.22581276]",1.2237
51,0.6929,0.6753,"[2.87783303 4.2616404  0.26499976 2.16357802 1.08247769 0.31595337
 0.90902599 1.91052359 2.22958177]",1.2326
52,0.6931,0.6837,"[2.88215599 4.26734941 0.25930366 2.15795758 1.08704257 0.32163834
 0.91392211 1.91541431 2.23492131]",1.2455
53,0.6933,0.7125,"[2.87528056 4.26107682 0.26558878 2.16430626 1.07996039 0.31534636
 0.9070037  1.90850458 2.2283221 ]",1.2297
54,0.6932,0.6889,"[2.87656769 4.26124717 0.26541007 2.16408203 1.08082926 0.31553126
 0.90768231 1.90919045 2.2287183 ]",1.2308
55,0.6928,0.7402,"[2.8787449  4.2632208  0.26343768 2.16211382 1.08273751 0.31750415
 0.9095957  1.91111663 2.23065665]",1.2355
56,0.6931,0.6721,"[2.87927766 4.26152609 0.26511769 2.16371527 1.08234763 0.31583519
 0.90879976 1.91033153 2.22935263]",1.2327
57,0.6928,0.6801,"[2.88059022 4.26162213 0.26501617 2.16358483 1.0830806  0.31594082
 0.90930544 1.91084702 2.22960466]",1.2335
58,0.6932,0.7168,"[2.88188416 4.26169261 0.26494167 2.16348684 1.08370568 0.31601934
 0.90971305 1.91127207 2.22979528]",1.2343
59,0.6933,0.6761,"[2.88668628 4.26882339 0.257831   2.156494   1.0892366  0.32310716
 0.91578099 1.91730907 2.23644227]",1.2501
