epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6812,0.9304,"[2.58424271 4.48997735 0.03669182 1.86232413 0.95803368 0.61616321
 1.13436716 2.20719504 2.45698574]",2.8538
1,0.6814,0.9065,"[2.53425618 4.4400075  0.08667052 1.9121732  1.00799908 0.66614962
 1.08441964 2.25717484 2.40700154]",2.6747
2,0.6858,0.8226,"[2.48427303 4.39003701 0.13664374 1.96213069 1.05796833 0.71613434
 1.03448234 2.30715199 2.35701834]",2.5125
3,0.6899,0.7582,"[2.43429529 4.3400695  0.18660698 2.01209696 1.10793496 0.7661159
 0.98456036 2.3571241  2.30703774]",2.3805
4,0.6926,0.7201,"[2.38437003 4.29016111 0.23647188 2.06202157 1.15783807 0.81606047
 0.93479067 2.40703828 2.25709428]",2.2877
5,0.6932,0.6849,"[2.34710573 4.25292069 0.27359356 2.09933984 1.19505416 0.85341372
 0.89774897 2.44428536 2.21974022]",2.2504
6,0.6933,0.678,"[2.3410088  4.24681523 0.27979685 2.10541341 1.20117331 0.85947891
 0.89148762 2.45038835 2.21367484]",2.2474
7,0.6933,0.7038,"[2.33893848 4.24473937 0.28195122 2.10746507 1.20326006 0.86152531
 0.88929409 2.45246253 2.2116283 ]",2.2465
8,0.6932,0.7188,"[2.3388844  4.24468114 0.28207164 2.10750448 1.20332676 0.86156073
 0.88914419 2.45251949 2.21159268]",2.2464
9,0.6933,0.6878,"[2.33687105 4.24266724 0.28410552 2.10951317 1.20534294 0.86356873
 0.88710814 2.45453317 2.2095843 ]",2.2457
10,0.6926,0.7145,"[2.33623769 4.24201198 0.28496687 2.11005747 1.20603903 0.86408486
 0.88618238 2.45518179 2.20907017]",2.245
11,0.693,0.6846,"[2.33424701 4.24002248 0.28695125 2.11204959 1.20802704 0.86607777
 0.88420904 2.45717162 2.20707673]",2.2446
12,0.6934,0.722,"[2.33423307 4.2400079  0.28698585 2.11205888 1.20804391 0.86608624
 0.88417211 2.45718594 2.20706788]",2.2445
13,0.6934,0.6772,"[2.33818666 4.24395824 0.2830909  2.10809214 1.20410115 0.86211638
 0.88804451 2.45323456 2.21103754]",2.2454
14,0.6932,0.6808,"[2.33419858 4.23997172 0.28707235 2.11208175 1.20808618 0.86610726
 0.88407598 2.45722148 2.20704617]",2.2444
15,0.6931,0.6995,"[2.33419549 4.23996886 0.28708321 2.11208307 1.20808955 0.86610851
 0.88406964 2.45722436 2.20704447]",2.2444
16,0.6933,0.7148,"[2.33411485 4.23988309 0.2872579  2.11214105 1.20818853 0.86616182
 0.8838626  2.45730839 2.20699127]",2.2442
17,0.6934,0.6743,"[2.32780909 4.23356485 0.29370105 2.11839002 1.21453328 0.8723959
 0.87739619 2.46362263 2.20075846]",2.2432
18,0.6932,0.7055,"[2.3277734  4.23352855 0.29376802 2.11841526 1.21457473 0.87242055
 0.87733185 2.46365846 2.20073372]",2.2432
19,0.693,0.6805,"[2.33371915 4.23947138 0.28789034 2.11245307 1.20864147 0.86645577
 0.88319215 2.4577145  2.20669849]",2.2435
20,0.6934,0.6767,"[2.33768413 4.24343407 0.28397072 2.10847788 1.20468456 0.86247829
 0.88709647 2.45375105 2.21067573]",2.2443
21,0.6933,0.6773,"[2.33565243 4.24140058 0.28604354 2.11049996 1.20672341 0.8644986
 0.88501321 2.45578388 2.20865519]",2.2437
22,0.6934,0.7063,"[2.33364058 4.23938831 0.28807463 2.11250752 1.20873781 0.86650557
 0.88298097 2.45779596 2.20664784]",2.2433
23,0.6935,0.6675,"[2.33535666 4.24108574 0.28664927 2.11071744 1.20708405 0.86469842
 0.88429275 2.45609237 2.20845659]",2.243
24,0.6934,0.6756,"[2.32955489 4.23529686 0.29226204 2.11656949 1.21284264 0.87056175
 0.87876063 2.46188551 2.20259125]",2.2426
25,0.6934,0.6788,"[2.33355968 4.23930205 0.28825963 2.11256515 1.20883677 0.86655746
 0.88276623 2.45788044 2.20659499]",2.2431
26,0.6933,0.6755,"[2.33156061 4.23730346 0.29026181 2.11456359 1.21083518 0.86855605
 0.88077063 2.45987913 2.20459593]",2.2428
27,0.6932,0.6958,"[2.32761475 4.23336159 0.29414601 2.11852404 1.21476736 0.87251947
 0.87691973 2.46382231 2.20063156]",2.2427
28,0.6931,0.7106,"[2.32941886 4.23515586 0.29250003 2.11667158 1.21299946 0.87065746
 0.87852533 2.46202457 2.20249464]",2.2424
29,0.6932,0.6968,"[2.32942475 4.23516259 0.29249131 2.11666644 1.21299168 0.87065276
 0.87854339 2.46201805 2.20249882]",2.2424
30,0.6934,0.677,"[2.32947689 4.23521863 0.29237981 2.11662827 1.21292631 0.87061751
 0.87868785 2.46196329 2.20253314]",2.2425
31,0.6934,0.7084,"[2.32954534 4.23529216 0.29224144 2.11657719 1.21284164 0.87057059
 0.87886406 2.46189137 2.20257907]",2.2427
32,0.6931,0.6744,"[2.33152188 4.23726751 0.29029776 2.11459316 1.21087042 0.8685853
 0.88080149 2.45991554 2.20456407]",2.2428
33,0.6934,0.7043,"[2.3354493  4.24119015 0.2864571  2.11064535 1.2069598  0.86463308
 0.88461043 2.45599128 2.20851636]",2.2432
34,0.6934,0.7261,"[2.33543206 4.24117214 0.28649932 2.11065684 1.20698081 0.86464367
 0.88456449 2.45600898 2.20850543]",2.2431
35,0.693,0.7194,"[2.33538059 4.24111864 0.28661103 2.11069217 1.20704335 0.86467739
 0.88444141 2.45606159 2.2084718 ]",2.243
36,0.6934,0.6625,"[2.33734448 4.24308012 0.28469382 2.1087178  1.20508785 0.86270063
 0.88634205 2.4540993  2.21044833]",2.2434
37,0.6934,0.6819,"[2.3354953  4.24124114 0.28641767 2.1106019  1.20690619 0.86459426
 0.88467576 2.45594149 2.20855322]",2.2432
38,0.6934,0.7153,"[2.32775023 4.23351157 0.29392125 2.11841256 1.21459667 0.87241833
 0.87726691 2.46367632 2.20072661]",2.2429
39,0.6932,0.6743,"[2.32974868 4.23551032 0.29192933 2.11641279 1.2125982  0.87041854
 0.87926425 2.46167759 2.20272593]",2.2429
40,0.6934,0.6605,"[2.33174378 4.23750545 0.28994437 2.11441553 1.21060386 0.86842101
 0.88125252 2.4596824  2.20472302]",2.2431
41,0.6932,0.7059,"[2.32779379 4.23355922 0.29383738 2.1183789  1.21454115 0.87238718
 0.87739113 2.46362986 2.20075595]",2.243
42,0.6932,0.7299,"[2.32591625 4.2316897  0.29557669 2.12029038 1.21638919 0.87430491
 0.87571146 2.46550214 2.19883669]",2.2433
43,0.6932,0.696,"[2.33183034 4.23759877 0.28976836 2.11435098 1.21049524 0.86836117
 0.88148734 2.45959122 2.20478069]",2.2433
44,0.6931,0.7068,"[2.33181252 4.23758008 0.28981241 2.11436292 1.21051703 0.86837213
 0.88143909 2.45960956 2.20476939]",2.2432
45,0.6933,0.7126,"[2.33179784 4.23756518 0.28984415 2.11437271 1.21053419 0.86838147
 0.88141147 2.45962428 2.20475972]",2.2432
46,0.6932,0.7048,"[2.33176195 4.23752721 0.28992669 2.11439779 1.21057831 0.86840453
 0.88131616 2.4596615  2.20473647]",2.2431
47,0.6932,0.6863,"[2.33356489 4.23932032 0.28825794 2.11255037 1.20880833 0.86654678
 0.88295252 2.45786512 2.20659509]",2.243
48,0.6931,0.6713,"[2.33558697 4.24134444 0.28622689 2.1105317  1.20678192 0.86452995
 0.88499557 2.45584153 2.20861135]",2.2434
49,0.6933,0.6775,"[2.33355666 4.23931263 0.28829554 2.11255269 1.20881888 0.86654942
 0.88291979 2.45787275 2.20659167]",2.243
50,0.6933,0.6983,"[2.33152205 4.23727598 0.29036707 2.11457792 1.21086051 0.86857244
 0.8808397  2.45990871 2.20456839]",2.2426
51,0.693,0.6739,"[2.33541947 4.24116606 0.28659141 2.11065248 1.20698727 0.86464026
 0.88456303 2.45601624 2.20850082]",2.243
