epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
23,0.6936,0.6683,"[ 2.49292144  4.39892262 -0.12583636  2.02683955  1.04906984  0.4361164
  1.04281762  2.29855476  2.36543227  3.51275082  2.50667292  4.43277122
  1.16975327  5.390201    0.04482596  4.34005881  2.49495037  3.38312653]",2.0726
24,0.6931,0.6976,"[ 2.49291757  4.39890968 -0.12584419  2.02687136  1.04907864  0.43522021
  1.04281479  2.29855868  2.3654295   3.51275609  2.50666727  4.43277507
  1.16974705  5.39017477  0.04481819  4.34010101  2.49493319  3.3831186 ]",2.0712
25,0.6935,0.7121,"[ 2.49486409  4.40076914 -0.12409097  2.02509008  1.04719427  0.42769021
  1.04477994  2.29660876  2.36739695  3.51081814  2.50859818  4.43082039
  1.17161692  5.39198367  0.04674407  4.33842613  2.49677487  3.38504068]",2.0633
26,0.6935,0.7191,"[ 2.49485893  4.40075213 -0.12410668  2.02511964  1.04720575  0.39748288
  1.04477645  2.29661368  2.36739349  3.51082465  2.50859106  4.43082529
  1.17160661  5.39195631  0.04673506  4.33847552  2.49675317  3.38503135]",2.0214
27,0.6936,0.7151,"[ 2.48892041  4.39492121 -0.12981268  2.03090843  1.05307072  0.36848273
  1.03881485  2.30255778  2.36143049  3.51675489  2.50266928  4.43677243
  1.16575678  5.38615157  0.0408206   4.34413729  2.49093692  3.37912074]",1.9735
28,0.6936,0.6688,"[ 2.48898317  4.39510954 -0.12951944  2.0307052   1.05293088  0.33417979
  1.03885295  2.30250186  2.36146849  3.51668404  2.50274902  4.43671675
  1.16590709  5.38634899  0.04091185  4.34378236  2.49114141  3.37921551]",1.9287
29,0.6934,0.7406,"[ 2.48691404  4.39299146 -0.13161154  2.0328273   1.05503879  0.32432913
  1.03680628  2.30456507  2.35942149  3.51875953  2.50066732  4.43878071
  1.16379739  5.38422512  0.03882211  4.3458677   2.48901898  3.37712359]",1.9132
30,0.6936,0.7168,"[ 2.48900155  4.3952776  -0.12919688  2.0305438   1.05283971  0.31082015
  1.03885834  2.30248806  2.36147446  3.51666076  2.50277894  4.43670161
  1.166008    5.386509    0.04095377  4.34332982  2.49133233  3.3792601 ]",1.8992
31,0.6932,0.7082,"[ 2.48901958  4.39533417 -0.12910112  2.0304942   1.05279906  0.3102524
  1.03886873  2.30247256  2.36148497  3.51664112  2.50280126  4.43668582
  1.16605447  5.38655825  0.04097848  4.34323496  2.49138956  3.37928589]",1.8986
32,0.6933,0.7056,"[ 2.48708388  4.39355011 -0.13078649  2.03229462  1.05465249  0.30820413
  1.03690637  2.30441662  2.35952354  3.51856924  2.50088277  4.43862771
  1.16421279  5.38476169  0.03907409  4.34483432  2.4896246   3.37738526]",1.8942
33,0.6928,0.7093,"[ 2.48911141  4.3956336  -0.12866189  2.03021913  1.0525924   0.30706901
  1.03892261  2.30239267  2.36154015  3.51653886  2.50291707  4.43660293
  1.16627811  5.38683722  0.04111342  4.3427031   2.49171086  3.37942604]",1.8954
34,0.6934,0.653,"[ 2.49110033  4.39759099 -0.12670034  2.02826257  1.05061789  0.30784388
  1.0409158   2.30040264  2.36353291  3.5145521   2.50490219  4.43461387
  1.16825524  5.3887907   0.04309343  4.34079496  2.49365742  3.38140549]",1.899
35,0.6935,0.7186,"[ 2.49302187  4.3993481  -0.1250044   2.02649061  1.04878495  0.3082141
  1.04286851  2.29847157  2.36548413  3.5126401   2.50680325  4.43268627
  1.17007904  5.3905535   0.04497628  4.33921808  2.49538599  3.38328405]",1.9019
36,0.6934,0.7107,"[ 2.49102051  4.39734139 -0.12699333  2.02850043  1.0507874   0.30583389
  1.04086737  2.30047306  2.36348277  3.51464228  2.50480095  4.43468824
  1.16808034  5.38854175  0.04297174  4.34123699  2.4933733   3.38127949]",1.8956
37,0.6934,0.7118,"[ 2.49301418  4.39931568 -0.12501167  2.02652681  1.04880183  0.30724137
  1.04286341  2.2984788   2.36547853  3.51265001  2.5067923   4.43269464
  1.17006792  5.39051256  0.04495985  4.33929722  2.49533924  3.3832672 ]",1.9004
38,0.6931,0.7128,"[ 2.48905528  4.39544494 -0.12881574  2.03041307  1.05271152  0.3033636
  1.03888737  2.30244334  2.361503    3.51660494  2.5028434   4.43665798
  1.16617002  5.38662903  0.04101756  4.34307576  2.49147594  3.37932742]",1.8898
39,0.6931,0.6891,"[ 2.48707901  4.39352231 -0.1306931   2.03234618  1.05465785  0.30086762
  1.03690104  2.30442295  2.35951696  3.51857893  2.50087297  4.43863689
  1.16423029  5.38469668  0.03905104  4.34494287  2.48955606  3.37736232]",1.8843
40,0.6933,0.7165,"[ 2.49108054  4.39752366 -0.12667542  2.02834798  1.05065441  0.30399718
  1.0409017   2.30042184  2.36351751  3.51457779  2.50487434  4.43463605
  1.16823643  5.38869285  0.04305117  4.34095366  2.49355171  3.38136252]",1.8936
41,0.6935,0.67,"[ 2.49296733  4.39920806 -0.12506141  2.02664067  1.0488812   0.30461386
  1.04283251  2.2985214   2.36544625  3.51270303  2.50673431  4.43274025
  1.16999417  5.39038849  0.04488939  4.3394533   2.49520572  3.38319485]",1.8966
