epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.7157,0.5988,"[ 2.62322547e+00  4.52892907e+00 -2.28050842e-03  1.89661744e+00
  9.19095583e-01  5.83179134e-01  1.17330635e+00  2.16822348e+00
  2.49596272e+00  3.38249488e+00  2.63687164e+00  4.30835511e+00
  1.28161268e+00  5.52037207e+00  1.75079713e-01  4.20967788e+00
  2.62498692e+00  3.51335014e+00  8.79081871e-01  1.24171199e+00
  5.03422586e+00]",19.0739
1,0.6952,0.6817,"[ 2.62622062e+00  4.53191336e+00 -5.27651777e-03  1.89363820e+00
  9.16101132e-01  5.86173061e-01  1.17630162e+00  2.16523015e+00
  2.49895893e+00  3.37953279e+00  2.63984479e+00  4.31132497e+00
  1.27861879e+00  5.52336153e+00  1.78073019e-01  4.20670259e+00
  2.62784366e+00  3.51634314e+00  8.76103341e-01  1.23872919e+00
  5.03722288e+00]",19.0677
2,0.6819,0.7648,"[ 2.62322414e+00  4.52892517e+00 -2.27943398e-03  1.89662433e+00
  9.19096979e-01  5.83177410e-01  1.17330501e+00  2.16822521e+00
  2.49596165e+00  3.38250607e+00  2.63686544e+00  4.30834792e+00
  1.28161431e+00  5.52036895e+00  1.75077719e-01  4.20968534e+00
  2.62500531e+00  3.51334818e+00  8.79087760e-01  1.24171649e+00
  5.03422505e+00]",19.0738
3,0.6774,0.8455,"[2.62022502e+00 4.52592823e+00 7.19845105e-04 1.89962105e+00
 9.22095929e-01 5.80178473e-01 1.17030586e+00 2.17122397e+00
 2.49296233e+00 3.38549895e+00 2.63387060e+00 4.30535365e+00
 1.28461320e+00 5.51737075e+00 1.72078892e-01 4.21268083e+00
 2.62204330e+00 3.51034946e+00 8.82083922e-01 1.24471331e+00
 5.03122559e+00]",19.0806
4,0.6731,0.9209,"[2.61722554e+00 4.52293012e+00 3.71941931e-03 1.90261915e+00
 9.25095300e-01 5.77179097e-01 1.16730637e+00 2.17422322e+00
 2.48996273e+00 3.38849439e+00 2.63087361e+00 4.30235699e+00
 1.28761253e+00 5.51437179e+00 1.69079597e-01 4.21567799e+00
 2.61906187e+00 3.50735024e+00 8.85081662e-01 1.24771142e+00
 5.02822591e+00]",19.0877
5,0.6725,0.9368,"[2.61422598 4.51993174 0.00671906 1.90561753 0.92809478 0.57417962
 1.16430679 2.1772226  2.48696308 3.39149019 2.62787605 4.29935971
 1.29061198 5.51137267 0.16608021 4.21867542 2.61607354 3.50435092
 0.88807977 1.25070984 5.02522618]",19.0951
6,0.6785,0.8996,"[2.61122649 4.51693359 0.00971866 1.90861557 0.93109419 0.57118022
 1.1613073  2.18022188 2.48396347 3.39448475 2.62487869 4.29636267
 1.29361134 5.50837368 0.16308093 4.22167214 2.61308316 3.50135172
 0.89107762 1.25370806 5.02222649]",19.1028
7,0.6787,0.8895,"[2.60822705 4.51393567 0.01271821 1.91161324 0.93409354 0.5681809
 1.15830787 2.18322109 2.48096392 3.39747772 2.6218815  4.29336585
 1.29661064 5.50537484 0.16008179 4.22466801 2.6100916  3.49835264
 0.89407522 1.25670609 5.01922683]",19.1106
8,0.6794,0.8971,"[2.60522758 4.51093763 0.0157178  1.914611   0.93709294 0.56518153
 1.1553084  2.18622036 2.47796434 3.40046995 2.61888399 4.29036867
 1.29960998 5.5023759  0.15708261 4.22766364 2.60709822 3.49535353
 0.89707302 1.25970428 5.01622715]",19.1186
9,0.6803,0.8714,"[2.60222816 4.5079398  0.01871735 1.91760836 0.9400923  0.56218223
 1.15230901 2.18921956 2.47496481 3.40345906 2.6158866  4.28737165
 1.30260927 5.49937709 0.15408356 4.23065789 2.60410435 3.49235454
 0.9000706  1.26270231 5.0132275 ]",19.1267
