v,v_eff,m,t
"[[1.18501948e-05]
 [1.36653504e-06]
 [1.84512433e-05]
 [3.11506405e-07]
 [1.10120230e-05]
 [6.90550509e-06]
 [1.12939959e-05]
 [7.03590560e-06]
 [1.81762726e-05]
 [1.33230444e-07]
 [5.42291528e-07]
 [3.94070518e-07]
 [7.91518215e-06]
 [1.98626565e-06]
 [4.74692598e-06]
 [3.01968139e-07]
 [6.97651648e-08]
 [5.18105736e-06]
 [5.93938829e-07]
 [1.03633877e-06]
 [3.19308335e-05]]","[[1.18501948e-05]
 [1.36653504e-06]
 [1.84512433e-05]
 [3.11506405e-07]
 [1.10120230e-05]
 [6.90550509e-06]
 [1.12939959e-05]
 [7.03590560e-06]
 [1.81762726e-05]
 [1.33230444e-07]
 [5.42291528e-07]
 [3.94070518e-07]
 [7.91518215e-06]
 [1.98626565e-06]
 [4.74692598e-06]
 [3.01968139e-07]
 [6.97651648e-08]
 [5.18105736e-06]
 [5.93938829e-07]
 [1.03633877e-06]
 [3.19308335e-05]]","[[-0.01032723]
 [-0.00350697]
 [ 0.01288647]
 [ 0.00167438]
 [ 0.00995531]
 [-0.0078835 ]
 [-0.01008196]
 [ 0.00795758]
 [-0.01279009]
 [ 0.00109502]
 [-0.00220921]
 [-0.00188325]
 [ 0.00844018]
 [-0.00422805]
 [-0.00653623]
 [ 0.00164855]
 [-0.00079239]
 [-0.00682858]
 [ 0.00231202]
 [ 0.00305402]
 [-0.01695221]]",1
"[[8.53618787e-06]
 [9.37393951e-07]
 [1.31470801e-05]
 [2.74921438e-07]
 [7.58453059e-06]
 [5.09372881e-06]
 [8.33707566e-06]
 [4.93359909e-06]
 [1.33202540e-05]
 [1.04586020e-07]
 [3.60705894e-07]
 [2.67628527e-07]
 [5.62575750e-06]
 [1.52011379e-06]
 [3.66290631e-06]
 [2.40566809e-07]
 [3.72937298e-08]
 [3.81771609e-06]
 [4.27728429e-07]
 [7.28001941e-07]
 [2.29212335e-05]]","[[8.53618787e-06]
 [9.37393951e-07]
 [1.31470801e-05]
 [2.74921438e-07]
 [7.58453059e-06]
 [5.09372881e-06]
 [8.33707566e-06]
 [4.93359909e-06]
 [1.33202540e-05]
 [1.04586020e-07]
 [3.60705894e-07]
 [2.67628527e-07]
 [5.62575750e-06]
 [1.52011379e-06]
 [3.66290631e-06]
 [2.40566809e-07]
 [3.72937298e-08]
 [3.81771609e-06]
 [4.27728429e-07]
 [7.28001941e-07]
 [2.29212335e-05]]","[[-0.00876503]
 [-0.00290457]
 [ 0.01087767]
 [ 0.00157299]
 [ 0.00826201]
 [-0.00677079]
 [-0.0086622 ]
 [ 0.00666351]
 [-0.01094908]
 [ 0.00097019]
 [-0.00180176]
 [-0.00155198]
 [ 0.0071156 ]
 [-0.00369879]
 [-0.00574162]
 [ 0.00147143]
 [-0.00057935]
 [-0.00586169]
 [ 0.00196203]
 [ 0.00255969]
 [-0.01436284]]",1
"[[5.51277860e-06]
 [5.78186951e-07]
 [8.39858602e-06]
 [2.11185619e-07]
 [4.68892539e-06]
 [3.36150309e-06]
 [5.50846974e-06]
 [3.10388934e-06]
 [8.74153174e-06]
 [7.31730491e-08]
 [2.15177919e-07]
 [1.62800567e-07]
 [3.58628070e-06]
 [1.03663622e-06]
 [2.52009438e-06]
 [1.70416118e-07]
 [1.72454263e-08]
 [2.51904336e-06]
 [2.76342625e-07]
 [4.59010974e-07]
 [1.47510160e-05]]","[[5.51277860e-06]
 [5.78186951e-07]
 [8.39858602e-06]
 [2.11185619e-07]
 [4.68892539e-06]
 [3.36150309e-06]
 [5.50846974e-06]
 [3.10388934e-06]
 [8.74153174e-06]
 [7.31730491e-08]
 [2.15177919e-07]
 [1.62800567e-07]
 [3.58628070e-06]
 [1.03663622e-06]
 [2.52009438e-06]
 [1.70416118e-07]
 [1.72454263e-08]
 [2.51904336e-06]
 [2.76342625e-07]
 [4.59010974e-07]
 [1.47510160e-05]]","[[-0.00704379]
 [-0.00228116]
 [ 0.00869409]
 [ 0.00137865]
 [ 0.00649618]
 [-0.00550032]
 [-0.00704104]
 [ 0.00528536]
 [-0.00886982]
 [ 0.00081152]
 [-0.00139162]
 [-0.00121046]
 [ 0.00568124]
 [-0.00305446]
 [-0.00476244]
 [ 0.00123844]
 [-0.00039397]
 [-0.00476145]
 [ 0.00157705]
 [ 0.00203251]
 [-0.01152212]]",1
"[1.16354642e-06 1.35680336e-05 5.29557333e-07 ... 7.32339841e-03
 4.54643606e-04 3.40803127e-04]","[1.16354642e-06 1.35680336e-05 5.29557333e-07 ... 7.32339841e-03
 4.54643606e-04 3.40803127e-04]","[-0.00323603 -0.01105044 -0.00218312 ...  0.25673057 -0.06396712
 -0.05538256]",1
"[[2.95876894e-06]
 [2.97226124e-07]
 [4.45907993e-06]
 [1.31666492e-07]
 [2.41218956e-06]
 [1.84000183e-06]
 [3.02004347e-06]
 [1.62422793e-06]
 [4.76241738e-06]
 [4.23074117e-08]
 [1.06740964e-07]
 [8.22552178e-08]
 [1.90073884e-06]
 [5.84324518e-07]
 [1.43375693e-06]
 [9.95782680e-08]
 [6.32284977e-09]
 [1.37980872e-06]
 [1.48452491e-07]
 [2.40794567e-07]
 [7.88932285e-06]]","[[2.95876894e-06]
 [2.97226124e-07]
 [4.45907993e-06]
 [1.31666492e-07]
 [2.41218956e-06]
 [1.84000183e-06]
 [3.02004347e-06]
 [1.62422793e-06]
 [4.76241738e-06]
 [4.23074117e-08]
 [1.06740964e-07]
 [8.22552178e-08]
 [1.90073884e-06]
 [5.84324518e-07]
 [1.43375693e-06]
 [9.95782680e-08]
 [6.32284977e-09]
 [1.37980872e-06]
 [1.48452491e-07]
 [2.40794567e-07]
 [7.88932285e-06]]","[[-0.00516032]
 [-0.00163555]
 [ 0.00633496]
 [ 0.00108858]
 [ 0.00465937]
 [-0.0040694 ]
 [-0.00521348]
 [ 0.00382336]
 [-0.00654689]
 [ 0.00061706]
 [-0.00098014]
 [-0.00086041]
 [ 0.00413602]
 [-0.00229323]
 [-0.00359219]
 [ 0.00094668]
 [-0.00023855]
 [-0.00352396]
 [ 0.00115589]
 [ 0.00147212]
 [-0.00842638]]",1
"[[1.07710565e-06]
 [1.03921928e-07]
 [1.60597618e-06]
 [5.46110112e-08]
 [8.42864772e-07]
 [6.81900708e-07]
 [1.12144297e-06]
 [5.77018868e-07]
 [1.75806207e-06]
 [1.65031720e-08]
 [3.59444520e-08]
 [2.81820837e-08]
 [6.83584390e-07]
 [2.22325332e-07]
 [5.50768656e-07]
 [3.91963878e-08]
 [1.47339081e-09]
 [5.12106466e-07]
 [5.41127157e-08]
 [8.57784656e-08]
 [2.86202943e-06]]","[[1.07710565e-06]
 [1.03921928e-07]
 [1.60597618e-06]
 [5.46110112e-08]
 [8.42864772e-07]
 [6.81900708e-07]
 [1.12144297e-06]
 [5.77018868e-07]
 [1.75806207e-06]
 [1.65031720e-08]
 [3.59444520e-08]
 [2.81820837e-08]
 [6.83584390e-07]
 [2.22325332e-07]
 [5.50768656e-07]
 [3.91963878e-08]
 [1.47339081e-09]
 [5.12106466e-07]
 [5.41127157e-08]
 [8.57784656e-08]
 [2.86202943e-06]]","[[-0.00311351]
 [-0.00096711]
 [ 0.00380181]
 [ 0.00070107]
 [ 0.00275423]
 [-0.00247732]
 [-0.00317695]
 [ 0.00227885]
 [-0.00397776]
 [ 0.00038539]
 [-0.00056877]
 [-0.00050363]
 [ 0.00248037]
 [-0.00141454]
 [-0.00222641]
 [ 0.00059394]
 [-0.00011515]
 [-0.00214685]
 [ 0.00069786]
 [ 0.00087864]
 [-0.00507526]]",1
"[[9.05287402e-08]
 [8.41089834e-09]
 [1.33558541e-07]
 [5.14632057e-09]
 [6.80950853e-08]
 [5.82472427e-08]
 [9.60148460e-08]
 [4.73729957e-08]
 [1.49695984e-07]
 [1.47896423e-09]
 [2.79758265e-09]
 [2.22917746e-09]
 [5.67839331e-08]
 [1.94463200e-08]
 [4.86461128e-08]
 [3.53995861e-09]
 [7.19688777e-11]
 [4.38387440e-08]
 [4.55508626e-09]
 [7.06271180e-09]
 [2.39720276e-07]]","[[9.05287402e-08]
 [8.41089834e-09]
 [1.33558541e-07]
 [5.14632057e-09]
 [6.80950853e-08]
 [5.82472427e-08]
 [9.60148460e-08]
 [4.73729957e-08]
 [1.49695984e-07]
 [1.47896423e-09]
 [2.79758265e-09]
 [2.22917746e-09]
 [5.67839331e-08]
 [1.94463200e-08]
 [4.86461128e-08]
 [3.53995861e-09]
 [7.19688777e-11]
 [4.38387440e-08]
 [4.55508626e-09]
 [7.06271180e-09]
 [2.39720276e-07]]","[[-9.02639830e-04]
 [-2.75132850e-04]
 [ 1.09636986e-03]
 [ 2.15213580e-04]
 [ 7.82851051e-04]
 [-7.24033966e-04]
 [-9.29587873e-04]
 [ 6.52960153e-04]
 [-1.16071696e-03]
 [ 1.15371912e-04]
 [-1.58676539e-04]
 [-1.41642498e-04]
 [ 7.14881387e-04]
 [-4.18350188e-04]
 [-6.61675914e-04]
 [ 1.78492654e-04]
 [-2.54503418e-05]
 [-6.28131114e-04]
 [ 2.02474137e-04]
 [ 2.52119825e-04]
 [-1.46883712e-03]]",1
"[4.44603779e-07 6.89929578e-06 7.86272995e-07 ... 3.66579128e-03
 2.49507784e-04 1.70612595e-04]","[4.44603779e-07 6.89929578e-06 7.86272995e-07 ... 3.66579128e-03
 2.49507784e-04 1.70612595e-04]","[-0.00200036 -0.00787995 -0.00266016 ...  0.18163734 -0.04738745
 -0.03918563]",1
"[[2.08551222e-07]
 [1.87305779e-08]
 [3.04494764e-07]
 [1.30791795e-08]
 [1.51193760e-07]
 [1.36080755e-07]
 [2.24934382e-07]
 [1.06787928e-07]
 [3.48937455e-07]
 [3.61841871e-09]
 [5.98967865e-09]
 [4.83541885e-09]
 [1.29373326e-07]
 [4.63836772e-08]
 [1.17190595e-07]
 [8.70762502e-09]
 [8.36108478e-11]
 [1.02736337e-07]
 [1.05067024e-08]
 [1.59576173e-08]
 [5.50373500e-07]]","[[2.08551222e-07]
 [1.87305779e-08]
 [3.04494764e-07]
 [1.30791795e-08]
 [1.51193760e-07]
 [1.36080755e-07]
 [2.24934382e-07]
 [1.06787928e-07]
 [3.48937455e-07]
 [3.61841871e-09]
 [5.98967865e-09]
 [4.83541885e-09]
 [1.29373326e-07]
 [4.63836772e-08]
 [1.17190595e-07]
 [8.70762502e-09]
 [8.36108478e-11]
 [1.02736337e-07]
 [1.05067024e-08]
 [1.59576173e-08]
 [5.50373500e-07]]","[[ 1.37002226e-03]
 [ 4.10579104e-04]
 [-1.65543133e-03]
 [-3.43092721e-04]
 [-1.16650926e-03]
 [ 1.10667375e-03]
 [ 1.42281743e-03]
 [-9.80352666e-04]
 [ 1.77212784e-03]
 [-1.80459880e-04]
 [ 2.32179043e-04]
 [ 2.08611528e-04]
 [-1.07905511e-03]
 [ 6.46106102e-04]
 [ 1.02699336e-03]
 [-2.79943968e-04]
 [ 2.74316903e-05]
 [ 9.61575286e-04]
 [-3.07506620e-04]
 [-3.78970388e-04]
 [ 2.22561486e-03]]",1
"[[1.43626209e-06]
 [1.25673640e-07]
 [2.10401743e-06]
 [9.38455615e-08]
 [1.02847126e-06]
 [9.49048505e-07]
 [1.54927756e-06]
 [7.28417210e-07]
 [2.40699804e-06]
 [2.41150851e-08]
 [4.11289654e-08]
 [3.32480492e-08]
 [8.89792341e-07]
 [3.26231808e-07]
 [8.08108514e-07]
 [5.86206330e-08]
 [5.95042761e-10]
 [6.98262688e-07]
 [7.30998551e-08]
 [1.09655577e-07]
 [3.79323698e-06]]","[[1.43626209e-06]
 [1.25673640e-07]
 [2.10401743e-06]
 [9.38455615e-08]
 [1.02847126e-06]
 [9.49048505e-07]
 [1.54927756e-06]
 [7.28417210e-07]
 [2.40699804e-06]
 [2.41150851e-08]
 [4.11289654e-08]
 [3.32480492e-08]
 [8.89792341e-07]
 [3.26231808e-07]
 [8.08108514e-07]
 [5.86206330e-08]
 [5.95042761e-10]
 [6.98262688e-07]
 [7.30998551e-08]
 [1.09655577e-07]
 [3.79323698e-06]]","[[ 3.59532457e-03]
 [ 1.06351434e-03]
 [-4.35156947e-03]
 [-9.19026688e-04]
 [-3.04240716e-03]
 [ 2.92257362e-03]
 [ 3.73409936e-03]
 [-2.56042084e-03]
 [ 4.65435090e-03]
 [-4.65870975e-04]
 [ 6.08408324e-04]
 [ 5.47021428e-04]
 [-2.82986414e-03]
 [ 1.71350117e-03]
 [ 2.69684568e-03]
 [-7.26350946e-04]
 [ 7.31804950e-05]
 [ 2.50686342e-03]
 [-8.11109546e-04]
 [-9.93428506e-04]
 [ 5.84287025e-03]]",1
