epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6403,0.5605,"[ 2.67018862  4.5759086  -0.0492705   1.84961877  0.87210158  0.53022185
  1.12031582  2.12122751  2.4429764   3.33550398  2.6203612   4.35535157]",3.3944
1,0.6538,0.5644,"[ 2.72015469  4.6258902  -0.09926036  1.79962734  0.82211046  0.48024829
  1.07032544  2.07123355  2.39299025  3.28553132  2.67028384  4.40534219]",2.9038
2,0.6741,0.5684,"[ 2.7701211   4.67587255 -0.14924933  1.74963857  0.77212295  0.43027315
  1.02033802  2.02124103  2.34300726  3.23558052  2.72024359  4.45533168]",2.4395
3,0.6807,0.5854,"[ 2.82008627  4.72585365 -0.1992357   1.69965454  0.72214296  0.3803015
  0.97035676  1.97125131  2.29303097  3.18569199  2.77020731  4.50531848]",2.0166
4,0.6892,0.6112,"[ 2.87004754  4.77583149 -0.24921688  1.64967876  0.67217997  0.33033895
  0.9203886   1.92126669  2.24306838  3.13610651  2.82016663  4.55530014]",1.6486
5,0.6928,0.6823,"[ 2.9199878   4.82579479 -0.29917859  1.59973097  0.62229341  0.28041383
  0.8704771   1.87129997  2.19316172  3.1475677   2.87009806  4.60526323]",1.3976
6,0.693,0.6812,"[ 2.96588358  4.87172626 -0.34508818  1.55385241  0.57677889  0.23459056
  0.82479867  1.82537971  2.14745919  3.19179327  2.91596194  4.65117873]",1.2402
7,0.6934,0.6652,"[ 2.98268031  4.88834002 -0.36195127  1.53683991  0.5577254   0.21728974
  0.80643453  1.80858781  2.1294472   3.20990289  2.93297638  4.66798005]",1.1892
8,0.6934,0.6613,"[ 2.98892284  4.89451266 -0.36824257  1.53047992  0.54700151  0.2107299
  0.79800856  1.80233059  2.12192084  3.2177656   2.93933095  4.67423865]",1.1692
9,0.6934,0.7051,"[ 2.99672144  4.90234362 -0.37602297  1.52271043  0.55022726  0.20298279
  0.78899558  1.79454097  2.11414481  3.22525517  2.94709797  4.68202758]",1.1458
10,0.6932,0.6925,"[ 2.99289935  4.8984714  -0.37224988  1.52643461  0.54883137  0.206543
  0.7887003   1.79833913  2.11658244  3.22283838  2.94336403  4.67822687]",1.1512
11,0.6931,0.6991,"[ 2.99676136  4.9023715  -0.37607898  1.52263478  0.55169742  0.20284346
  0.78401445  1.79449354  2.11313088  3.22604004  2.94716567  4.68207329]",1.1391
12,0.6934,0.7102,"[ 2.99867445  4.90431034 -0.37796861  1.52076641  0.5526066   0.201058
  0.77973794  1.79259247  2.11171069  3.22717574  2.94903519  4.68397521]",1.1304
13,0.6933,0.7124,"[ 3.00018949  4.90588923 -0.37944424  1.51931091  0.55411948  0.19962619
  0.77197273  1.79110402  2.10996973  3.22868446  2.95049141  4.68546855]",1.1179
14,0.6931,0.661,"[ 2.99628674  4.90195844 -0.37557632  1.52314728  0.55105805  0.2033596
  0.76369686  1.794981    2.11272193  3.22577037  2.94664247  4.68158201]",1.1132
15,0.6931,0.6961,"[ 3.00029641  4.90596585 -0.37959261  1.51912489  0.55513485  0.19932422
  0.74070983  1.79096448  2.10836759  3.22988066  2.95065929  4.68559467]",1.0773
16,0.6929,0.6643,"[ 2.99647327  4.90209404 -0.37582997  1.52283922  0.55190539  0.20290313
  0.70651168  1.79472257  2.11088412  3.22712622  2.94691905  4.68179935]",1.0407
17,0.6932,0.6685,"[ 2.99641477  4.90205218 -0.37575903  1.52291935  0.55177105  0.20300688
  0.680619    1.7948036   2.1107419   3.22700112  2.9468427   4.68173698]",1.0094
