epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,1.0155,0.2578,"[ 2.62322610e+00  4.52893157e+00 -2.28101947e-03  1.90260978e+00
  9.19094764e-01  5.83179569e-01  1.17330683e+00  2.16822253e+00
  2.49596313e+00  3.38248891e+00  2.63687553e+00  4.30835911e+00
  1.28161185e+00  5.51837538e+00  1.75079247e-01  4.20967518e+00
  2.62500154e+00  3.51335100e+00  8.79079197e-01  1.24170958e+00
  5.03422624e+00]",19.0546
1,0.904,0.3229,"[ 2.62622566e+00  4.53193070e+00 -5.28067311e-03  1.90560259e+00
  9.16095115e-01  5.86178821e-01  1.17630631e+00  2.16522300e+00
  2.49896273e+00  3.37949259e+00  2.63987406e+00  4.31135705e+00
  1.27861234e+00  5.52137296e+00  1.78078116e-01  4.20667837e+00
  2.62799902e+00  3.51635032e+00  8.76081268e-01  1.23871092e+00
  5.03722598e+00]",19.0312
2,0.8199,0.4082,"[ 2.62922517  4.53492955 -0.00828029  1.90261788  0.91309555  0.58917812
  1.17930579  2.16222357  2.50196232  3.3764965   2.64287216  4.3143546
  1.27561291  5.52437141  0.18107723  4.20368133  2.63099483  3.51934961
  0.87308352  1.23571249  5.04022569]",19.0255
3,0.7481,0.5166,"[ 2.63222454  4.53792776 -0.01127977  1.89962182  0.9100962   0.59217728
  1.18230516  2.15922437  2.50496182  3.37350122  2.64586917  4.31735095
  1.27261369  5.52736983  0.18407629  4.20068461  2.63398445  3.52234871
  0.87008644  1.23271467  5.0432253 ]",19.0203
4,0.7015,0.6559,"[ 2.63522272  4.54092195 -0.01427827  1.89662904  0.9070983   0.59517503
  1.18530344  2.15622684  2.50796044  3.3705134   2.6488587   4.32033875
  1.26961599  5.53036596  0.18707395  4.19769268  2.63684345  3.52534623
  0.8670946   1.22972125  5.04622419]",19.016
5,0.6741,0.8237,"[ 2.63222581  4.5379324  -0.01128086  1.89961836  0.91009452  0.59217876
  1.1823063   2.15922248  2.50496275  3.37349349  2.64587828  4.31736107
  1.27261202  5.52737218  0.18407771  4.20067971  2.63927372  3.5223504
  0.87008096  1.23270985  5.04322608]",19.0012
6,0.6741,0.902,"[ 2.6292263   4.5349342  -0.00828127  1.90261677  0.91309389  0.58917934
  1.17930676  2.16222177  2.50196312  3.37648993  2.64288163  4.31436454
  1.27561138  5.52437313  0.18107831  4.20367753  2.64154499  3.51935108
  0.87307882  1.23570803  5.04022639]",18.9875
7,0.6742,0.9533,"[ 2.62622674e+00  4.53193579e+00 -5.28162600e-03  1.90561535e+00
  9.16093342e-01  5.86179849e-01  1.17630717e+00  2.16522113e+00
  2.49896345e+00  3.37948648e+00  2.63988450e+00  4.31136740e+00
  1.27861082e+00  5.52137397e+00  1.78078844e-01  4.20667549e+00
  2.63875510e+00  3.51635169e+00  8.76076959e-01  1.23870646e+00
  5.03722665e+00]",18.9926
8,0.6751,0.9006,"[ 2.62322721e+00  4.52893751e+00 -2.28200734e-03  1.90861376e+00
  9.19092760e-01  5.83180399e-01  1.17330761e+00  2.16822046e+00
  2.49596381e+00  3.38248249e+00  2.63688741e+00  4.30837034e+00
  1.28161023e+00  5.51837488e+00  1.75079439e-01  4.20967315e+00
  2.63578105e+00  3.51335236e+00  8.79074957e-01  1.24170478e+00
  5.03422694e+00]",18.9987
9,0.6762,0.9414,"[2.62022768e+00 4.52593921e+00 7.17621174e-04 1.91161216e+00
 9.22092195e-01 5.80180940e-01 1.17030805e+00 2.17121980e+00
 2.49296416e+00 3.38547823e+00 2.63389014e+00 4.30537313e+00
 1.28460964e+00 5.51537578e+00 1.72080040e-01 4.21267069e+00
 2.63279650e+00 3.51035304e+00 8.82072999e-01 1.24470315e+00
 5.03122722e+00]",19.0052
10,0.6757,0.8914,"[2.61722818e+00 4.52294105e+00 3.71722145e-03 1.91461036e+00
 9.25091594e-01 5.77181528e-01 1.16730854e+00 2.17421909e+00
 2.48996454e+00 3.38847312e+00 2.63089294e+00 4.30237603e+00
 1.28760901e+00 5.51237676e+00 1.69080716e-01 4.21566778e+00
 2.62980803e+00 3.50735380e+00 8.85070884e-01 1.24770140e+00
 5.02822752e+00]",19.012
11,0.6782,0.9299,"[2.61422866 4.5199428  0.00671685 1.91760861 0.92809104 0.57418208
 1.164309   2.17721842 2.48696491 3.39146771 2.62789546 4.29937866
 1.29060842 5.50937768 0.16608137 4.21866479 2.62681659 3.50435453
 0.88806891 1.25069976 5.02522781]",19.0191
12,0.6793,0.8773,"[2.6112292  4.51694479 0.00971643 1.92060651 0.93109041 0.57118271
 1.16130953 2.18021767 2.48396533 3.39446055 2.62489817 4.29638153
 1.29360775 5.50637874 0.16308215 4.22166097 2.62382426 3.50135539
 0.89106667 1.25369792 5.02222813]",19.0264
13,0.6783,0.9213,"[2.60822971 4.5139467  0.01271604 1.92360448 0.93408983 0.56818331
 1.15831004 2.18321697 2.48096573 3.39745248 2.6219006  4.29338412
 1.29660712 5.50337974 0.16008291 4.22465691 2.62083038 3.49835622
 0.89406458 1.25669621 5.01922843]",19.034
14,0.6808,0.8684,"[2.60523028 4.51094883 0.0157156  1.92660205 0.9370892  0.56518397
 1.15531062 2.18621619 2.47796618 3.40044081 2.61890319 4.29038689
 1.29960642 5.50038087 0.1570838  4.22765155 2.61783615 3.49535718
 0.89706226 1.25969433 5.01622877]",19.0417
15,0.6821,0.8405,"[2.60223092 4.50795122 0.01871513 1.92959914 0.94008851 0.56218472
 1.15231128 2.18921533 2.47496668 3.40342149 2.6159059  4.28738983
 1.30260565 5.49738213 0.15408484 4.23064411 2.61484163 3.4923583
 0.90005972 1.26269227 5.01322915]",19.0495
16,0.6791,0.894,"[2.59923154 4.5049536  0.02171467 1.93259615 0.94308785 0.55918544
 1.14931193 2.1922145  2.47196718 3.40638622 2.61290844 4.28439259
 1.3056049  5.49438336 0.15108591 4.23363479 2.61184641 3.48935943
 0.90305726 1.26569029 5.01022952]",19.0574
17,0.6817,0.8508,"[2.59623221 4.50195616 0.02471418 1.9355927  0.94608715 0.55618622
 1.14631264 2.19521362 2.46896772 3.40731177 2.60991101 4.2813954
 1.30860411 5.49138468 0.1480871  4.23661978 2.60885092 3.48636068
 0.90605467 1.26868822 5.00722991]",19.0692
18,0.6791,0.8934,"[2.59323283 4.49895864 0.02771373 1.93858925 0.94908651 0.55318695
 1.14331332 2.19821279 2.46596823 3.40435429 2.60691336 4.27839793
 1.31160337 5.48838592 0.14508829 4.23959278 2.60585495 3.48336191
 0.90905226 1.2716863  5.00423027]",19.088
19,0.6822,0.8409,"[2.59023354 4.4959615  0.03071322 1.94158487 0.95208578 0.55018778
 1.1403141  2.20121185 2.46296881 3.40137537 2.60391593 4.2754007
 1.31460253 5.48538738 0.14208973 4.24053804 2.60285931 3.48036336
 0.91204956 1.27468416 5.00123069]",19.1161
20,0.6824,0.8817,"[2.5872342  4.49296422 0.03371275 1.94458054 0.95508511 0.54718856
 1.13731483 2.20421098 2.45996936 3.39838845 2.6009183  4.27240318
 1.31760174 5.48238875 0.13909112 4.2375791  2.59986335 3.47736474
 0.91504709 1.27768219 4.99823108]",19.1615
21,0.6843,0.8319,"[2.58423495 4.48996735 0.03671222 1.94757493 0.95808434 0.54418946
 1.13431569 2.20720997 2.45697    3.39539964 2.59792096 4.26940593
 1.32060084 5.47939038 0.13609283 4.23459944 2.59686793 3.47436639
 0.9180443  1.28067997 4.99523153]",19.2051
22,0.6844,0.8642,"[2.58123569 4.48697047 0.0397117  1.95056894 0.96108359 0.54119034
 1.13131653 2.21020898 2.45397062 3.39240837 2.59492354 4.26640852
 1.32359997 5.47639202 0.13309458 4.23161261 2.59387242 3.47136805
 0.92104162 1.28367783 4.99223197]",19.2467
23,0.6821,0.8879,"[2.57823644 4.48397368 0.04271118 1.95356217 0.96408283 0.53819123
 1.12831739 2.21320797 2.45097126 3.38941576 2.59192612 4.26341107
 1.32659908 5.47339372 0.13009646 4.22862261 2.59087696 3.4683698
 0.92403896 1.28667569 4.98923242]",19.2862
24,0.6854,0.8426,"[2.57523733 4.4809775  0.04571056 1.95655219 0.96708194 0.5351923
 1.12531844 2.21620677 2.44797203 3.38642308 2.58892912 4.26041398
 1.32959802 5.47039583 0.12709888 4.22563173 2.58788226 3.46537197
 0.92703586 1.2896732  4.98623296]",19.3235
25,0.6846,0.8157,"[2.57223828 4.47798164 0.04870991 1.95953907 0.97008098 0.53219345
 1.12231958 2.21920549 2.44497286 3.38342987 2.58593229 4.257417
 1.3325969  5.46739818 0.12410169 4.22263979 2.58488788 3.46237441
 0.93003261 1.29267059 4.98323353]",19.3584
26,0.6856,0.8352,"[2.56923923 4.47498589 0.05170926 1.96252201 0.97308002 0.52919462
 1.11932074 2.22220418 2.44197371 3.38043587 2.58293544 4.25441993
 1.33559577 5.46440062 0.12110476 4.21964667 2.58189353 3.459377
 0.9330294  1.295668   4.98023412]",19.391
27,0.6868,0.7985,"[2.56624026 4.47199052 0.05470856 1.96549444 0.976079   0.52619587
 1.11632201 2.22520277 2.43897463 3.37744155 2.57993877 4.25142295
 1.33859456 5.46140335 0.11810839 4.21665304 2.57889952 3.45637992
 0.93602605 1.29866528 4.97723476]",19.421
28,0.6874,0.8107,"[2.56324114 4.4689947  0.05770797 1.96845816 0.97907812 0.52319696
 1.11332312 2.22820154 2.43597543 3.37444597 2.57694164 4.24842548
 1.34159351 5.45840576 0.1151118  4.21365793 2.57590476 3.4533826
 0.93902321 1.30166297 4.97423531]",19.4485
29,0.6852,0.8232,"[2.56024223 4.46599981 0.06070724 1.96939044 0.98207704 0.5201983
 1.11032452 2.23120002 2.43297643 3.37145086 2.57394509 4.24542847
 1.34459224 5.4554089  0.11211664 4.21066322 2.57291104 3.45038612
 0.94201982 1.30466021 4.971236  ]",19.4798
30,0.688,0.7847,"[2.55724339 4.46300537 0.06370647 1.96646084 0.98507589 0.51719977
 1.10732606 2.23419837 2.42997752 3.36845568 2.5709488  4.24243158
 1.34759087 5.45241248 0.10912266 4.20766841 2.56991784 3.44739015
 0.94501624 1.30765732 4.96823674]",19.5206
31,0.6902,0.7715,"[2.55424455 4.46001101 0.06670569 1.96349314 0.98807473 0.51420126
 1.10432762 2.2371967  2.42697863 3.36546018 2.56795257 4.2394346
 1.3505895  5.44941633 0.1061297  4.20467323 2.56692488 3.44439442
 0.94801272 1.31065447 4.96523751]",19.5585
32,0.6871,0.8118,"[2.55124574 4.45701688 0.06970489 1.96051332 0.99107353 0.51120282
 1.10132926 2.24019494 2.42397979 3.36246454 2.56495649 4.23643762
 1.35358808 5.44642055 0.10313821 4.2016779  2.56393232 3.44139907
 0.95100915 1.31365161 4.9622383 ]",19.5934
33,0.6892,0.7717,"[2.54824709 4.45402354 0.07270398 1.95752937 0.99407217 0.50820463
 1.09833117 2.24319292 2.42098113 3.35946919 2.56196099 4.23344096
 1.35658648 5.44342583 0.10015066 4.19868285 2.56094092 3.43840474
 0.95400517 1.31664843 4.95923923]",19.6251
34,0.6891,0.8027,"[2.54524836 4.45102997 0.07570312 1.95454179 0.99707088 0.50520636
 1.09533301 2.24619098 2.41798242 3.35647333 2.5589653  4.23044402
 1.35958497 5.44043118 0.09716589 4.19568728 2.55794935 3.43541048
 0.95700147 1.31964549 4.95624012]",19.6536
35,0.6892,0.8072,"[2.5422497  4.44803683 0.07870221 1.95155257 1.00006951 0.50220822
 1.092335   2.24918889 2.4149838  3.35347748 2.55596992 4.22744717
 1.36258336 5.43743739 0.09418976 4.19269171 2.55495846 3.43241706
 0.95999762 1.32264245 4.95324108]",19.6788
36,0.688,0.7866,"[2.53925103 4.44504378 0.0817013  1.94856177 1.00306814 0.49921012
 1.08933703 2.25218676 2.41198521 3.35048141 2.55297459 4.22445023
 1.36558177 5.43444426 0.09123992 4.1896959  2.55196783 3.42942427
 0.96299386 1.32563948 4.95024206]",19.7006
37,0.6894,0.7687,"[2.53625261 4.44205197 0.08470021 1.94557109 1.0060665  0.49621244
 1.08633952 2.25518418 2.40898693 3.34748586 2.54998018 4.22145377
 1.36857987 5.43145382 0.09218767 4.18670066 2.54897918 3.42643386
 0.96598945 1.32863604 4.94724326]",19.7111
38,0.691,0.7413,"[2.53325495 4.43906351 0.08769859 1.94258302 1.00906409 0.49321597
 1.08334334 2.25818033 2.40598954 3.34449221 2.54698832 4.21845896
 1.37157705 5.42847182 0.09512463 4.18370754 2.54599618 3.42344963
 0.96898305 1.33163108 4.94424508]",19.7147
39,0.6904,0.7596,"[2.53025642 4.43607115 0.09069756 1.93959049 1.01206256 0.49021821
 1.08034577 2.26117786 2.4029912  3.34149614 2.54399348 4.2154622
 1.37457527 5.42548396 0.09809283 4.18071187 2.54300802 3.42046031
 0.97197905 1.33462796 4.94124625]",19.7157
40,0.6909,0.7789,"[2.52725802 4.43307923 0.09369644 1.93659794 1.0150609  0.48722068
 1.07734846 2.26417516 2.39999303 3.33850029 2.54099897 4.21246568
 1.37757334 5.4225005  0.10107019 4.17771651 2.54002144 3.41747306
 0.97497478 1.33762465 4.93824754]",19.7141
41,0.6922,0.7432,"[2.52425997 4.43008882 0.09669505 1.9336063  1.01805887 0.4842238
 1.07435187 2.26717182 2.39699533 3.33550524 2.53800559 4.2094699
 1.38057097 5.41953022 0.10405017 4.17472213 2.53703852 3.41449075
 0.97796963 1.34062068 4.93524917]",19.7099
42,0.6903,0.7737,"[2.52126176 4.42709762 0.09969377 1.93061359 1.021057   0.4812267
 1.07135506 2.27016872 2.39399747 3.33250968 2.53501161 4.20647374
 1.3835688  5.41656938 0.10703481 4.17172724 2.53405532 3.41150901
 0.98096496 1.34361708 4.9322507 ]",19.7031
43,0.6922,0.7349,"[2.51826402 4.42410835 0.10269213 1.92762209 1.02405465 0.47823048
 1.06835923 2.27316475 2.39100025 3.32951514 2.53201909 4.20347855
 1.38656604 5.41379773 0.1100191  4.16873363 2.53107736 3.40853618
 0.98395916 1.34661263 4.92925269]",19.694
44,0.6913,0.7596,"[2.51526633 4.42111915 0.10569045 1.92463031 1.02705224 0.47523441
 1.0653636  2.27616066 2.38800315 3.32652058 2.52902664 4.2004834
 1.38956323 5.4145394  0.11300516 4.1657401  2.52810112 3.40556901
 0.98695331 1.34960818 4.92625478]",19.6875
45,0.6919,0.748,"[2.51226966 4.41813404 0.108688   1.92164124 1.03004877 0.47224024
 1.06237017 2.27915464 2.38500745 3.32352812 2.52603747 4.19749027
 1.39255918 5.41743507 0.11598801 4.16274928 2.52513474 3.40262758
 0.98994501 1.35260193 4.92325789]",19.6817
46,0.6924,0.7199,"[2.50927339 4.41515023 0.11168528 1.91865269 1.03304489 0.46924684
 1.05937777 2.28214779 2.38201236 3.3205362  2.52304956 4.19449775
 1.3955547  5.42036475 0.118971   4.15975937 2.52217209 3.39971234
 0.99293587 1.35559512 4.92026145]",19.6736
47,0.6915,0.7475,"[2.50627658 4.412164   0.11468294 1.91566206 1.03604155 0.46625257
 1.0563845  2.28514179 2.37901664 3.31754286 2.52005998 4.19150402
 1.39855088 5.42331742 0.12195766 4.15676789 2.51920453 3.3968132
 0.99592814 1.35858942 4.9172646 ]",19.6634
48,0.6924,0.7184,"[2.50328053 4.40918051 0.11768003 1.912673   1.03903741 0.4632598
 1.05339319 2.2881342  2.37602209 3.31455081 2.51707288 4.18851162
 1.40154619 5.42627365 0.12494273 4.1537783  2.51624398 3.39403669
 0.99891869 1.36158252 4.91426863]",19.6507
49,0.6924,0.7421,"[2.50028395 4.40619465 0.12067752 1.90968209 1.0420338  0.46026614
 1.05040099 2.29112746 2.37302691 3.31155746 2.51408409 4.18551806
 1.40454215 5.429241   0.12793076 4.15078719 2.51327834 3.39176154
 1.00191061 1.36457667 4.91127222]",19.6352
50,0.6928,0.7074,"[2.49728931 4.40321544 0.12367356 1.9066956  1.04502815 0.45727627
 1.04741382 2.29411669 2.37003467 3.30856757 2.5111015  4.18252804
 1.40753587 5.43220022 0.13091354 4.14780102 2.51033024 3.39406715
 1.00489815 1.36756777 4.90827805]",19.6109
51,0.6922,0.7337,"[2.49429512 4.40023672 0.12666925 1.90370995 1.04802201 0.45428729
 1.04442814 2.2971048  2.36704322 3.30557838 2.50812022 4.17953885
 1.41052913 5.43516118 0.13389572 4.14481609 2.50738596 3.39659327
 1.0078848  1.3705583  4.90528453]",19.5854
52,0.6928,0.7083,"[2.49130237 4.39726182 0.12966384 1.90072753 1.05101433 0.45130114
 1.04144664 2.30008966 2.3640541  3.30259171 2.50514344 4.1765524
 1.41352079 5.43811782 0.13687442 4.14183506 2.50445506 3.39915124
 1.01086831 1.37354672 4.90229283]",19.559
53,0.6933,0.6819,"[2.49030277 4.39626403 0.13066355 1.89972889 1.05201387 0.45030175
 1.04044731 2.3010888  2.3630546  3.30159254 2.50414499 4.17555313
 1.41452032 5.43911269 0.13787272 4.14083617 2.50346154 3.40008251
 1.01186731 1.37454594 4.90129321]",19.55
54,0.6927,0.7161,"[2.48930165 4.39526149 0.13166441 1.89872674 1.05301501 0.44929942
 1.03944394 2.30209115 2.36205275 3.30059063 2.50314181 4.17455103
 1.41552158 5.44011514 0.13887517 4.13983331 2.50245475 3.40106904
 1.01286967 1.37554751 4.90029178]",19.5408
55,0.6933,0.6845,"[2.48830266 4.39426551 0.13266367 1.89772949 1.0540139  0.4483012
 1.03844624 2.30308899 2.36105419 3.29959255 2.50214524 4.17355291
 1.41652042 5.44110745 0.13987187 4.13883602 2.50146664 3.40198663
 1.01386733 1.37654581 4.89929289]",19.5316
56,0.6933,0.6769,"[2.48731787 4.39331129 0.13365214 1.89676449 1.0549977  0.44733032
 1.03748705 2.30405637 2.36007778 3.29861965 2.50119198 4.17258128
 1.41750323 5.44203654 0.14083152 4.13787587 2.50059563 3.40254751
 1.01483395 1.37752256 4.89831127]",19.5227
