v,v_eff,m,t
"[[4.70681572e-05]
 [2.09187091e-05]
 [7.59789459e-05]
 [4.48720364e-06]
 [1.01660342e-04]
 [8.53646673e-06]
 [2.33498986e-05]
 [4.72890107e-05]
 [4.36081651e-05]
 [7.34989256e-07]
 [5.73644991e-06]
 [2.28727414e-06]
 [4.06750701e-05]
 [2.29925374e-08]
 [1.21774610e-06]
 [6.55693018e-07]
 [3.06991013e-06]
 [1.65028793e-05]
 [2.13339782e-06]
 [6.37033071e-06]
 [1.24526391e-04]]","[[4.70681572e-05]
 [2.09187091e-05]
 [7.59789459e-05]
 [4.48720364e-06]
 [1.01660342e-04]
 [8.53646673e-06]
 [2.33498986e-05]
 [4.72890107e-05]
 [4.36081651e-05]
 [7.34989256e-07]
 [5.73644991e-06]
 [2.28727414e-06]
 [4.06750701e-05]
 [2.29925374e-08]
 [1.21774610e-06]
 [6.55693018e-07]
 [3.06991013e-06]
 [1.65028793e-05]
 [2.13339782e-06]
 [6.37033071e-06]
 [1.24526391e-04]]","[[-0.02058187]
 [-0.01372109]
 [ 0.02614977]
 [-0.00635491]
 [ 0.03024803]
 [-0.00876517]
 [-0.01449652]
 [ 0.0206301 ]
 [-0.01981094]
 [ 0.00257195]
 [-0.00718527]
 [-0.00453712]
 [ 0.0191331 ]
 [ 0.0004549 ]
 [-0.00331055]
 [ 0.00242925]
 [-0.00525635]
 [-0.01218712]
 [ 0.00438185]
 [ 0.00757185]
 [-0.03347742]]",1
"[[4.75570057e-05]
 [1.84614427e-05]
 [7.68737593e-05]
 [2.96219605e-06]
 [9.56861202e-05]
 [1.04887443e-05]
 [2.61396515e-05]
 [4.62068686e-05]
 [4.76115064e-05]
 [7.29359347e-07]
 [5.47420388e-06]
 [2.28110248e-06]
 [4.00428838e-05]
 [5.81374485e-08]
 [2.32323158e-06]
 [7.01022602e-07]
 [2.63192825e-06]
 [1.74886077e-05]
 [2.14822797e-06]
 [6.05153959e-06]
 [1.27430077e-04]]","[[4.75570057e-05]
 [1.84614427e-05]
 [7.68737593e-05]
 [2.96219605e-06]
 [9.56861202e-05]
 [1.04887443e-05]
 [2.61396515e-05]
 [4.62068686e-05]
 [4.76115064e-05]
 [7.29359347e-07]
 [5.47420388e-06]
 [2.28110248e-06]
 [4.00428838e-05]
 [5.81374485e-08]
 [2.32323158e-06]
 [7.01022602e-07]
 [2.63192825e-06]
 [1.74886077e-05]
 [2.14822797e-06]
 [6.05153959e-06]
 [1.27430077e-04]]","[[-0.02068848]
 [-0.01289003]
 [ 0.0263033 ]
 [-0.00516331]
 [ 0.02934578]
 [-0.0097159 ]
 [-0.01533809]
 [ 0.02039269]
 [-0.02070033]
 [ 0.00256208]
 [-0.0070191 ]
 [-0.004531  ]
 [ 0.01898383]
 [-0.00072335]
 [-0.00457265]
 [ 0.00251181]
 [-0.00486697]
 [-0.01254581]
 [ 0.00439705]
 [ 0.00737996]
 [-0.03386548]]",1
"[[4.76471779e-05]
 [1.61931125e-05]
 [7.74621939e-05]
 [1.77225602e-06]
 [8.90575995e-05]
 [1.25362170e-05]
 [2.88456342e-05]
 [4.46128088e-05]
 [5.13765418e-05]
 [7.03866421e-07]
 [5.10359103e-06]
 [2.28540964e-06]
 [3.92513436e-05]
 [3.82882560e-07]
 [3.76457495e-06]
 [7.55788654e-07]
 [2.21376130e-06]
 [1.83857281e-05]
 [2.15449574e-06]
 [5.76442800e-06]
 [1.29228337e-04]]","[[4.76471779e-05]
 [1.61931125e-05]
 [7.74621939e-05]
 [1.77225602e-06]
 [8.90575995e-05]
 [1.25362170e-05]
 [2.88456342e-05]
 [4.46128088e-05]
 [5.13765418e-05]
 [7.03866421e-07]
 [5.10359103e-06]
 [2.28540964e-06]
 [3.92513436e-05]
 [3.82882560e-07]
 [3.76457495e-06]
 [7.55788654e-07]
 [2.21376130e-06]
 [1.83857281e-05]
 [2.15449574e-06]
 [5.76442800e-06]
 [1.29228337e-04]]","[[-0.02070808]
 [-0.0120722 ]
 [ 0.02640378]
 [-0.00399378]
 [ 0.0283111 ]
 [-0.01062196]
 [-0.01611244]
 [ 0.02003785]
 [-0.02150323]
 [ 0.0025169 ]
 [-0.00677734]
 [-0.00453527]
 [ 0.01879527]
 [-0.00185633]
 [-0.00582075]
 [ 0.00260808]
 [-0.00446361]
 [-0.01286357]
 [ 0.00440346]
 [ 0.00720277]
 [-0.03410359]]",1
[0.00407782 0.00082465 0.00757802 ... 0.00025347 0.00019018 0.00733828],[0.00407782 0.00082465 0.00757802 ... 0.00025347 0.00019018 0.00733828],"[-0.19157336  0.0861504  -0.26115542 ...  0.04776227 -0.04137143
  0.25699134]",1
"[[4.72909671e-05]
 [1.40463696e-05]
 [7.70838150e-05]
 [8.97326955e-07]
 [8.17989150e-05]
 [1.45233631e-05]
 [3.12819067e-05]
 [4.25089267e-05]
 [5.46072732e-05]
 [6.82190299e-07]
 [4.67646049e-06]
 [2.23742392e-06]
 [3.80547310e-05]
 [9.50421296e-07]
 [5.45546993e-06]
 [8.18721005e-07]
 [1.81334597e-06]
 [1.90663932e-05]
 [2.14187548e-06]
 [5.44463901e-06]
 [1.29508614e-04]]","[[4.72909671e-05]
 [1.40463696e-05]
 [7.70838150e-05]
 [8.97326955e-07]
 [8.17989150e-05]
 [1.45233631e-05]
 [3.12819067e-05]
 [4.25089267e-05]
 [5.46072732e-05]
 [6.82190299e-07]
 [4.67646049e-06]
 [2.23742392e-06]
 [3.80547310e-05]
 [9.50421296e-07]
 [5.45546993e-06]
 [8.18721005e-07]
 [1.81334597e-06]
 [1.90663932e-05]
 [2.14187548e-06]
 [5.44463901e-06]
 [1.29508614e-04]]","[[-0.02063053]
 [-0.01124355]
 [ 0.02633922]
 [-0.00284182]
 [ 0.02713283]
 [-0.01143286]
 [-0.01677907]
 [ 0.01955966]
 [-0.02216902]
 [ 0.00247784]
 [-0.00648754]
 [-0.00448741]
 [ 0.01850656]
 [-0.00292469]
 [-0.00700708]
 [ 0.0027145 ]
 [-0.00403982]
 [-0.01309952]
 [ 0.00439054]
 [ 0.00700013]
 [-0.03414056]]",1
"[[4.63415766e-05]
 [1.20273103e-05]
 [7.55114111e-05]
 [3.31893974e-07]
 [7.39408261e-05]
 [1.63016706e-05]
 [3.32351360e-05]
 [3.98581334e-05]
 [5.69812301e-05]
 [6.62691022e-07]
 [4.19952058e-06]
 [2.13378970e-06]
 [3.63839985e-05]
 [1.68954911e-06]
 [7.27732515e-06]
 [8.85663637e-07]
 [1.43892343e-06]
 [1.94408384e-05]
 [2.10522932e-06]
 [5.08286648e-06]
 [1.27849420e-04]]","[[4.63415766e-05]
 [1.20273103e-05]
 [7.55114111e-05]
 [3.31893974e-07]
 [7.39408261e-05]
 [1.63016706e-05]
 [3.32351360e-05]
 [3.98581334e-05]
 [5.69812301e-05]
 [6.62691022e-07]
 [4.19952058e-06]
 [2.13378970e-06]
 [3.63839985e-05]
 [1.68954911e-06]
 [7.27732515e-06]
 [8.85663637e-07]
 [1.43892343e-06]
 [1.94408384e-05]
 [2.10522932e-06]
 [5.08286648e-06]
 [1.27849420e-04]]","[[-0.02042239]
 [-0.01040412]
 [ 0.02606919]
 [-0.00172831]
 [ 0.02579666]
 [-0.0121126 ]
 [-0.01729498]
 [ 0.01893999]
 [-0.02264577]
 [ 0.00244218]
 [-0.00614782]
 [-0.00438225]
 [ 0.01809574]
 [-0.00389948]
 [-0.00809296]
 [ 0.00282329]
 [-0.00359865]
 [-0.01322753]
 [ 0.00435282]
 [ 0.00676356]
 [-0.03392116]]",1
"[[4.46425188e-05]
 [1.01393359e-05]
 [7.25240424e-05]
 [5.11622878e-08]
 [6.55449717e-05]
 [1.76937286e-05]
 [3.44564573e-05]
 [3.66407089e-05]
 [5.81301285e-05]
 [6.42723772e-07]
 [3.68269076e-06]
 [1.97472577e-06]
 [3.41738432e-05]
 [2.50451451e-06]
 [9.06433652e-06]
 [9.49654443e-07]
 [1.09890908e-06]
 [1.94107570e-05]
 [2.03831947e-06]
 [4.67070010e-06]
 [1.23817606e-04]]","[[4.46425188e-05]
 [1.01393359e-05]
 [7.25240424e-05]
 [5.11622878e-08]
 [6.55449717e-05]
 [1.76937286e-05]
 [3.44564573e-05]
 [3.66407089e-05]
 [5.81301285e-05]
 [6.42723772e-07]
 [3.68269076e-06]
 [1.97472577e-06]
 [3.41738432e-05]
 [2.50451451e-06]
 [9.06433652e-06]
 [9.49654443e-07]
 [1.09890908e-06]
 [1.94107570e-05]
 [2.03831947e-06]
 [4.67070010e-06]
 [1.23817606e-04]]","[[-0.02004452]
 [-0.0095527 ]
 [ 0.02554831]
 [-0.00067857]
 [ 0.02428795]
 [-0.01261917]
 [-0.01760989]
 [ 0.01815947]
 [-0.02287294]
 [ 0.0024051 ]
 [-0.0057571 ]
 [-0.00421575]
 [ 0.01753752]
 [-0.0047477 ]
 [-0.00903211]
 [ 0.00292351]
 [-0.00314487]
 [-0.01321729]
 [ 0.00428309]
 [ 0.00648354]
 [-0.03338201]]",1
"[3.09975219e-03 5.64886551e-04 5.97434218e-03 ... 5.81386207e-05
 1.74603534e-04 4.68610773e-03]","[3.09975219e-03 5.64886551e-04 5.97434218e-03 ... 5.81386207e-05
 1.74603534e-04 4.68610773e-03]","[-0.16702625  0.07130203 -0.23188161 ...  0.02287461 -0.03964129
  0.20536545]",1
"[[4.20440293e-05]
 [8.38383458e-06]
 [6.79357329e-05]
 [8.55930791e-09]
 [5.67123804e-05]
 [1.85039630e-05]
 [3.46788584e-05]
 [3.28634577e-05]
 [5.76678936e-05]
 [6.18563815e-07]
 [3.13910539e-06]
 [1.76480505e-06]
 [3.13727636e-05]
 [3.27940311e-06]
 [1.06075510e-05]
 [1.00046977e-06]
 [8.01045661e-07]
 [1.88778793e-05]
 [1.93416410e-06]
 [4.20202314e-06]
 [1.17016551e-04]]","[[4.20440293e-05]
 [8.38383458e-06]
 [6.79357329e-05]
 [8.55930791e-09]
 [5.67123804e-05]
 [1.85039630e-05]
 [3.46788584e-05]
 [3.28634577e-05]
 [5.76678936e-05]
 [6.18563815e-07]
 [3.13910539e-06]
 [1.76480505e-06]
 [3.13727636e-05]
 [3.27940311e-06]
 [1.06075510e-05]
 [1.00046977e-06]
 [8.01045661e-07]
 [1.88778793e-05]
 [1.93416410e-06]
 [4.20202314e-06]
 [1.17016551e-04]]","[[-0.01945241]
 [-0.00868646]
 [ 0.02472694]
 [ 0.00027755]
 [ 0.02259229]
 [-0.01290487]
 [-0.01766663]
 [ 0.017198  ]
 [-0.02278181]
 [ 0.00235946]
 [-0.00531526]
 [-0.00398538]
 [ 0.01680342]
 [-0.00543274]
 [-0.00977077]
 [ 0.0030007 ]
 [-0.00268503]
 [-0.0130346 ]
 [ 0.00417223]
 [ 0.00614965]
 [-0.03245226]]",1
"[[3.87159187e-05]
 [6.81123675e-06]
 [6.17882877e-05]
 [1.25612725e-07]
 [4.78178330e-05]
 [1.84803141e-05]
 [3.38595749e-05]
 [2.86371566e-05]
 [5.54704641e-05]
 [5.92184855e-07]
 [2.56009295e-06]
 [1.52154245e-06]
 [2.80824822e-05]
 [3.86286591e-06]
 [1.17248778e-05]
 [1.03950546e-06]
 [5.39191637e-07]
 [1.79528325e-05]
 [1.78627736e-06]
 [3.69953214e-06]
 [1.07428724e-04]]","[[3.87159187e-05]
 [6.81123675e-06]
 [6.17882877e-05]
 [1.25612725e-07]
 [4.78178330e-05]
 [1.84803141e-05]
 [3.38595749e-05]
 [2.86371566e-05]
 [5.54704641e-05]
 [5.92184855e-07]
 [2.56009295e-06]
 [1.52154245e-06]
 [2.80824822e-05]
 [3.86286591e-06]
 [1.17248778e-05]
 [1.03950546e-06]
 [5.39191637e-07]
 [1.79528325e-05]
 [1.78627736e-06]
 [3.69953214e-06]
 [1.07428724e-04]]","[[-0.01866664]
 [-0.0078295 ]
 [ 0.02358166]
 [ 0.00106326]
 [ 0.02074513]
 [-0.01289662]
 [-0.01745669]
 [ 0.01605411]
 [-0.02234355]
 [ 0.00230861]
 [-0.00480009]
 [-0.00370052]
 [ 0.01589787]
 [-0.00589625]
 [-0.01027248]
 [ 0.00305868]
 [-0.00220289]
 [-0.01271123]
 [ 0.00400955]
 [ 0.00577025]
 [-0.03109435]]",1
