v,v_eff,m,t
"[[3.27280303e-05]
 [1.80904719e-05]
 [5.91714289e-06]
 [4.77481567e-05]
 [1.79957063e-06]
 [9.73385544e-05]
 [2.92734759e-05]
 [2.59825955e-09]
 [6.74456062e-05]
 [4.27933836e-05]
 [3.05391526e-06]
 [8.86602024e-06]
 [5.76759154e-05]
 [4.30389099e-05]
 [2.57666610e-06]
 [8.94742851e-05]
 [9.88083043e-05]
 [5.45046718e-05]
 [3.99317757e-07]
 [2.26515200e-06]
 [7.16205701e-09]]","[[3.27280303e-05]
 [1.80904719e-05]
 [5.91714289e-06]
 [4.77481567e-05]
 [1.79957063e-06]
 [9.73385544e-05]
 [2.92734759e-05]
 [2.59825955e-09]
 [6.74456062e-05]
 [4.27933836e-05]
 [3.05391526e-06]
 [8.86602024e-06]
 [5.76759154e-05]
 [4.30389099e-05]
 [2.57666610e-06]
 [8.94742851e-05]
 [9.88083043e-05]
 [5.45046718e-05]
 [3.99317757e-07]
 [2.26515200e-06]
 [7.16205701e-09]]","[[ 0.01716253]
 [ 0.01275987]
 [-0.00729755]
 [ 0.02073001]
 [ 0.00402444]
 [ 0.02959809]
 [-0.01623149]
 [-0.00015292]
 [ 0.02463758]
 [-0.019625  ]
 [-0.00524264]
 [-0.00893276]
 [-0.0227834 ]
 [ 0.01968121]
 [ 0.0048156 ]
 [-0.02837725]
 [ 0.02982071]
 [-0.02214818]
 [-0.00189575]
 [-0.00451513]
 [ 0.00025389]]",1
"[[4.25616032e-05]
 [2.36479995e-05]
 [7.65147968e-06]
 [6.25345932e-05]
 [2.35102438e-06]
 [1.27395425e-04]
 [3.82619995e-05]
 [2.23408441e-09]
 [8.83206280e-05]
 [5.59285989e-05]
 [3.98703964e-06]
 [1.15008266e-05]
 [7.57407297e-05]
 [5.61162293e-05]
 [3.41339744e-06]
 [1.17236675e-04]
 [1.29493596e-04]
 [7.14581911e-05]
 [5.28893877e-07]
 [3.01845858e-06]
 [1.17690455e-08]]","[[4.25616032e-05]
 [2.36479995e-05]
 [7.65147968e-06]
 [6.25345932e-05]
 [2.35102438e-06]
 [1.27395425e-04]
 [3.82619995e-05]
 [2.23408441e-09]
 [8.83206280e-05]
 [5.59285989e-05]
 [3.98703964e-06]
 [1.15008266e-05]
 [7.57407297e-05]
 [5.61162293e-05]
 [3.41339744e-06]
 [1.17236675e-04]
 [1.29493596e-04]
 [7.14581911e-05]
 [5.28893877e-07]
 [3.01845858e-06]
 [1.17690455e-08]]","[[ 0.01957178]
 [ 0.01458876]
 [-0.00829839]
 [ 0.02372365]
 [ 0.00459992]
 [ 0.03386087]
 [-0.01855689]
 [-0.0001418 ]
 [ 0.02819372]
 [-0.02243563]
 [-0.00599027]
 [-0.01017386]
 [-0.02610875]
 [ 0.02247323]
 [ 0.00554261]
 [-0.03248277]
 [ 0.03413858]
 [-0.02535988]
 [-0.00218175]
 [-0.00521211]
 [ 0.00032546]]",1
"[[5.05421006e-05]
 [2.82806734e-05]
 [9.01616582e-06]
 [7.47329515e-05]
 [2.78475404e-06]
 [1.52191159e-04]
 [4.56807815e-05]
 [2.17597137e-09]
 [1.05550709e-04]
 [6.67681160e-05]
 [4.77213058e-06]
 [1.35966439e-05]
 [9.06765441e-05]
 [6.68336964e-05]
 [4.12378053e-06]
 [1.40111004e-04]
 [1.54987310e-04]
 [8.55212969e-05]
 [6.23778538e-07]
 [3.62970687e-06]
 [1.93295906e-08]]","[[5.05421006e-05]
 [2.82806734e-05]
 [9.01616582e-06]
 [7.47329515e-05]
 [2.78475404e-06]
 [1.52191159e-04]
 [4.56807815e-05]
 [2.17597137e-09]
 [1.05550709e-04]
 [6.67681160e-05]
 [4.77213058e-06]
 [1.35966439e-05]
 [9.06765441e-05]
 [6.68336964e-05]
 [4.12378053e-06]
 [1.40111004e-04]
 [1.54987310e-04]
 [8.55212969e-05]
 [6.23778538e-07]
 [3.62970687e-06]
 [1.93295906e-08]]","[[ 0.02132789]
 [ 0.01595387]
 [-0.00900808]
 [ 0.02593447]
 [ 0.00500627]
 [ 0.03700973]
 [-0.02027627]
 [-0.00013994]
 [ 0.03082136]
 [-0.02451353]
 [-0.00655356]
 [-0.01106209]
 [-0.02856727]
 [ 0.02452556]
 [ 0.00609213]
 [-0.03551055]
 [ 0.03734817]
 [-0.02774332]
 [-0.00236939]
 [-0.00571554]
 [ 0.00041709]]",1
"[9.78461355e-11 4.76977067e-09 1.38437003e-11 ... 8.37768694e-08
 2.80758726e-07 1.77906127e-07]","[9.78461355e-11 4.76977067e-09 1.38437003e-11 ... 8.37768694e-08
 2.80758726e-07 1.77906127e-07]","[-2.96751617e-05  2.07190579e-04  1.11621370e-05 ...  8.68327026e-04
 -1.58960012e-03 -1.26536759e-03]",1
"[[4.03537874e-05]
 [2.29627404e-05]
 [7.07941302e-06]
 [5.97966936e-05]
 [2.13263619e-06]
 [1.21931090e-04]
 [3.66905918e-05]
 [4.80505534e-09]
 [8.45409516e-05]
 [5.36567635e-05]
 [3.91956989e-06]
 [1.07008033e-05]
 [7.24202836e-05]
 [5.35552487e-05]
 [3.33559846e-06]
 [1.11911812e-04]
 [1.24667195e-04]
 [6.86467644e-05]
 [4.37103205e-07]
 [2.76908357e-06]
 [3.17035845e-08]]","[[4.03537874e-05]
 [2.29627404e-05]
 [7.07941302e-06]
 [5.97966936e-05]
 [2.13263619e-06]
 [1.21931090e-04]
 [3.66905918e-05]
 [4.80505534e-09]
 [8.45409516e-05]
 [5.36567635e-05]
 [3.91956989e-06]
 [1.07008033e-05]
 [7.24202836e-05]
 [5.35552487e-05]
 [3.33559846e-06]
 [1.11911812e-04]
 [1.24667195e-04]
 [6.86467644e-05]
 [4.37103205e-07]
 [2.76908357e-06]
 [3.17035845e-08]]","[[ 0.01905739]
 [ 0.01437584]
 [-0.00798215]
 [ 0.0231985 ]
 [ 0.00438106]
 [ 0.03312672]
 [-0.01817183]
 [-0.00020796]
 [ 0.02758385]
 [-0.02197523]
 [-0.00593937]
 [-0.00981362]
 [-0.02553003]
 [ 0.02195444]
 [ 0.00547909]
 [-0.03173651]
 [ 0.03349634]
 [-0.024856  ]
 [-0.00198341]
 [-0.00499217]
 [ 0.00053417]]",1
"[[3.43360271e-05]
 [1.98358798e-05]
 [5.93041802e-06]
 [5.10264887e-05]
 [1.75028014e-06]
 [1.04148056e-04]
 [3.14018089e-05]
 [7.11577927e-09]
 [7.21982853e-05]
 [4.59423624e-05]
 [3.41749492e-06]
 [8.99080387e-06]
 [6.17202701e-05]
 [4.57266792e-05]
 [2.87678069e-06]
 [9.53503755e-05]
 [1.06874832e-04]
 [5.87484804e-05]
 [3.31037831e-07]
 [2.27203531e-06]
 [4.33914290e-08]]","[[3.43360271e-05]
 [1.98358798e-05]
 [5.93041802e-06]
 [5.10264887e-05]
 [1.75028014e-06]
 [1.04148056e-04]
 [3.14018089e-05]
 [7.11577927e-09]
 [7.21982853e-05]
 [4.59423624e-05]
 [3.41749492e-06]
 [8.99080387e-06]
 [6.17202701e-05]
 [4.57266792e-05]
 [2.87678069e-06]
 [9.53503755e-05]
 [1.06874832e-04]
 [5.87484804e-05]
 [3.31037831e-07]
 [2.27203531e-06]
 [4.33914290e-08]]","[[ 0.01757909]
 [ 0.01336125]
 [-0.00730573]
 [ 0.02142985]
 [ 0.00396894]
 [ 0.03061589]
 [-0.0168112 ]
 [-0.00025307]
 [ 0.02549087]
 [-0.02033424]
 [-0.00554594]
 [-0.0089954 ]
 [-0.02356867]
 [ 0.02028645]
 [ 0.00508832]
 [-0.02929426]
 [ 0.03101409]
 [-0.02299427]
 [-0.00172608]
 [-0.00452198]
 [ 0.00062492]]",1
"[[4.23347599e-05]
 [2.46111558e-05]
 [7.25629738e-06]
 [6.33381888e-05]
 [2.15775313e-06]
 [1.29210991e-04]
 [3.89244712e-05]
 [7.47338222e-09]
 [8.96077427e-05]
 [5.69416450e-05]
 [4.23867494e-06]
 [1.10454857e-05]
 [7.67698863e-05]
 [5.65407359e-05]
 [3.60814003e-06]
 [1.18364884e-04]
 [1.32821227e-04]
 [7.30227536e-05]
 [4.09439615e-07]
 [2.85096527e-06]
 [6.12399942e-08]]","[[4.23347599e-05]
 [2.46111558e-05]
 [7.25629738e-06]
 [6.33381888e-05]
 [2.15775313e-06]
 [1.29210991e-04]
 [3.89244712e-05]
 [7.47338222e-09]
 [8.96077427e-05]
 [5.69416450e-05]
 [4.23867494e-06]
 [1.10454857e-05]
 [7.67698863e-05]
 [5.65407359e-05]
 [3.60814003e-06]
 [1.18364884e-04]
 [1.32821227e-04]
 [7.30227536e-05]
 [4.09439615e-07]
 [2.85096527e-06]
 [6.12399942e-08]]","[[ 0.01951955]
 [ 0.01488289]
 [-0.00808125]
 [ 0.02387559]
 [ 0.00440679]
 [ 0.0341013 ]
 [-0.01871684]
 [-0.00025935]
 [ 0.02839841]
 [-0.02263791]
 [-0.00617641]
 [-0.00997042]
 [-0.02628553]
 [ 0.02255807]
 [ 0.00569853]
 [-0.03263869]
 [ 0.03457443]
 [-0.02563601]
 [-0.00191962]
 [-0.00506544]
 [ 0.0007424 ]]",1
"[3.08456805e-10 1.61279041e-08 3.56716133e-11 ... 2.78238984e-07
 8.56580293e-07 5.43384757e-07]","[3.08456805e-10 1.61279041e-08 3.56716133e-11 ... 2.78238984e-07
 8.56580293e-07 5.43384757e-07]","[-5.26888152e-05  3.80987056e-04  1.79177153e-05 ...  1.58245090e-03
 -2.77654869e-03 -2.21143908e-03]",1
"[[3.23435225e-05]
 [1.91378413e-05]
 [5.44118535e-06]
 [4.84744156e-05]
 [1.57026966e-06]
 [9.90198813e-05]
 [2.99130540e-05]
 [1.06052719e-08]
 [6.86457619e-05]
 [4.37878876e-05]
 [3.33432744e-06]
 [8.31126609e-06]
 [5.86219620e-05]
 [4.33477732e-05]
 [2.79035232e-06]
 [9.03924830e-05]
 [1.02219267e-04]
 [5.60742289e-05]
 [2.66109660e-07]
 [2.06577615e-06]
 [7.15478931e-08]]","[[3.23435225e-05]
 [1.91378413e-05]
 [5.44118535e-06]
 [4.84744156e-05]
 [1.57026966e-06]
 [9.90198813e-05]
 [2.99130540e-05]
 [1.06052719e-08]
 [6.86457619e-05]
 [4.37878876e-05]
 [3.33432744e-06]
 [8.31126609e-06]
 [5.86219620e-05]
 [4.33477732e-05]
 [2.79035232e-06]
 [9.03924830e-05]
 [1.02219267e-04]
 [5.60742289e-05]
 [2.66109660e-07]
 [2.06577615e-06]
 [7.15478931e-08]]","[[ 0.01706141]
 [ 0.01312405]
 [-0.0069979 ]
 [ 0.02088707]
 [ 0.00375931]
 [ 0.02985262]
 [-0.01640785]
 [-0.00030895]
 [ 0.02485582]
 [-0.01985173]
 [-0.00547804]
 [-0.00864878]
 [-0.02296949]
 [ 0.01975171]
 [ 0.0050113 ]
 [-0.02852249]
 [ 0.03033106]
 [-0.02246482]
 [-0.00154757]
 [-0.00431184]
 [ 0.00080245]]",1
"[[4.16622080e-05]
 [2.47814901e-05]
 [6.95899653e-06]
 [6.28951276e-05]
 [2.03107309e-06]
 [1.28387969e-04]
 [3.87390033e-05]
 [1.12579394e-08]
 [8.90430899e-05]
 [5.66953324e-05]
 [4.31046731e-06]
 [1.06793710e-05]
 [7.62419022e-05]
 [5.59970961e-05]
 [3.65644646e-06]
 [1.17305353e-04]
 [1.32738965e-04]
 [7.28452087e-05]
 [3.49157019e-07]
 [2.72606266e-06]
 [9.97144224e-08]]","[[4.16622080e-05]
 [2.47814901e-05]
 [6.95899653e-06]
 [6.28951276e-05]
 [2.03107309e-06]
 [1.28387969e-04]
 [3.87390033e-05]
 [1.12579394e-08]
 [8.90430899e-05]
 [5.66953324e-05]
 [4.31046731e-06]
 [1.06793710e-05]
 [7.62419022e-05]
 [5.59970961e-05]
 [3.65644646e-06]
 [1.17305353e-04]
 [1.32738965e-04]
 [7.28452087e-05]
 [3.49157019e-07]
 [2.72606266e-06]
 [9.97144224e-08]]","[[ 0.01936388]
 [ 0.0149343 ]
 [-0.00791397]
 [ 0.02379193]
 [ 0.00427547]
 [ 0.03399252]
 [-0.0186722 ]
 [-0.00031831]
 [ 0.02830879]
 [-0.02258889]
 [-0.0062285 ]
 [-0.00980379]
 [-0.02619498]
 [ 0.02244936]
 [ 0.00573655]
 [-0.03249228]
 [ 0.03456372]
 [-0.02560482]
 [-0.00177269]
 [-0.00495324]
 [ 0.00094733]]",1
