epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6697,0.9769,"[2.61722700e+00 4.52293290e+00 3.71753294e-03 1.89661197e+00
 9.19096452e-01 5.77180773e-01 1.17330693e+00 2.17416114e+00
 2.48996389e+00 3.38848498e+00 2.63687528e+00 4.30836020e+00
 1.28761102e+00 5.51437498e+00 1.69082979e-01 4.21567133e+00
 2.61900367e+00 3.51335136e+00 8.85072932e-01 1.24770660e+00
 5.02825446e+00]",16.8738
1,0.6727,0.9504,"[2.61422748 4.51993354 0.00671638 1.89361236 0.91609857 0.57418105
 1.17630643 2.17712376 2.48696422 3.39148456 2.63987375 4.31135926
 1.29061066 5.5113754  0.16608464 4.21867104 2.61600394 3.51635099
 0.88806813 1.25070475 5.02526885]",16.8153
2,0.6693,0.9727,"[2.61122795 4.51693415 0.00971522 1.89061274 0.9131007  0.57118132
 1.17930594 2.18009571 2.48396454 3.39448416 2.64287229 4.31435833
 1.29361031 5.50837581 0.16308623 4.22167076 2.61300421 3.51935064
 0.89106298 1.2537029  5.02227845]",16.7581
3,0.674,0.9349,"[2.60822845 4.51393478 0.01271398 1.88761315 0.91010306 0.5681816
 1.18230542 2.18307368 2.48096488 3.39748373 2.64587078 4.31735733
 1.29660995 5.50537623 0.16008788 4.22467046 2.61000448 3.52235026
 0.89405669 1.25670089 5.01928592]",16.7022
4,0.6717,0.9542,"[2.60522895 4.5109354  0.01571272 1.88461354 0.90710547 0.56518188
 1.18530492 2.18605523 2.47796522 3.40048332 2.64886932 4.32035633
 1.29960959 5.50237666 0.15708947 4.22767017 2.60700475 3.5253499
 0.89704968 1.25969887 5.0162919 ]",16.6475
5,0.6716,0.9232,"[2.60222947 4.50793604 0.01871136 1.88161396 0.90410813 0.56218217
 1.1883044  2.18903917 2.47496556 3.40348288 2.65186782 4.32335526
 1.30260921 5.4993771  0.15409112 4.23066986 2.60400504 3.52834952
 0.90004075 1.26269666 5.01329709]",16.594
6,0.6775,0.8904,"[2.59923001 4.5049367  0.02170989 1.87861439 0.90111107 0.55918247
 1.19130385 2.19202477 2.47196593 3.40648243 2.65486628 4.32635412
 1.30560882 5.49637756 0.15109282 4.23366954 2.60100533 3.53134912
 0.90302906 1.26569427 5.01030173]",16.5419
7,0.6782,0.9016,"[2.59623056 4.50193735 0.02470836 1.87561483 0.89811421 0.55618277
 1.1943033  2.19501174 2.46896629 3.40948198 2.65786475 4.32935295
 1.30860842 5.49337803 0.14809451 4.23666922 2.59800562 3.53434872
 0.90601377 1.26869178 5.00730586]",16.4911
8,0.6792,0.868,"[2.59323116 4.49893805 0.02770665 1.87261529 0.89511783 0.5531831
 1.19730271 2.19799943 2.46596669 3.41248149 2.66086313 4.33235166
 1.31160799 5.49037853 0.14509632 4.23966887 2.59500593 3.5373483
 0.90898801 1.27168897 5.00430979]",16.4417
9,0.6805,0.8533,"[2.59023184 4.49593882 0.03070467 1.86961582 0.89212221 0.55018347
 1.20030205 2.20098736 2.46296713 3.41548095 2.66386136 4.3353502
 1.31460751 5.48737909 0.1420983  4.24266848 2.59200628 3.54034782
 0.91191751 1.27468567 5.0013137 ]",16.3939
