epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6309,1.2866,"[ 2.61722696e+00  4.52293275e+00 -2.27768644e-03  1.90261088e+00
  9.25093293e-01  5.77181854e-01  1.16730773e+00  2.17422146e+00
  2.48996377e+00  3.38848498e+00  2.63087755e+00  4.30836082e+00
  1.28759869e+00  5.51437495e+00  1.69081569e-01  4.21567077e+00
  2.61900383e+00  3.50735200e+00]",18.4367
1,0.6327,1.2076,"[ 2.61422734e+00  4.51993319e+00 -5.27428949e-03  1.90561024e+00
  9.28092266e-01  5.74183081e-01  1.16430800e+00  2.17722090e+00
  2.48696396e+00  3.39148461e+00  2.62787819e+00  4.31136057e+00
  1.29058497e+00  5.51137530e+00  1.66081797e-01  4.21866999e+00
  2.61600422e+00  3.50435225e+00]",18.3914
2,0.6321,1.2832,"[ 2.6112277   4.5169336  -0.00827109  1.90860964  0.93109133  0.57118423
  1.16130826  2.1802204   2.48396413  3.39448426  2.62487878  4.31436033
  1.29356866  5.50837564  0.16308201  4.22166926  2.61300459  3.50135249]",18.3463
3,0.6371,1.1877,"[ 2.60822808  4.51393405 -0.01126779  1.911609    0.93409039  0.56818544
  1.15830853  2.18321988  2.48096432  3.3974839   2.62187939  4.31736009
  1.2965364   5.505376    0.16008224  4.22466848  2.610005    3.49835275]",18.3015
4,0.6288,1.2684,"[ 2.60522844  4.51093448 -0.01426462  1.9146084   0.93708952  0.56518661
  1.15530879  2.1862194   2.47796449  3.40048355  2.61887995  4.32035985
  1.29946481  5.50237635  0.15708246  4.22766772  2.60700539  3.49535299]",18.2568
5,0.6297,1.2069,"[ 2.60222884  4.50793497 -0.01726128  1.91760773  0.94008859  0.56218792
  1.15230907  2.18921889  2.47496469  3.40348317  2.61588055  4.32335959
  1.29658295  5.49937675  0.15408271  4.23066687  2.60400583  3.49235327]",18.2029
6,0.6357,1.2475,"[ 2.59922919  4.5049354  -0.02025833  1.92060713  0.94308778  0.55918908
  1.14930931  2.19221845  2.47196486  3.40648283  2.61288107  4.32635936
  1.29360785  5.49637711  0.15108293  4.23366611  2.60100623  3.48935351]",18.149
7,0.638,1.1676,"[ 2.59622955  4.50193587 -0.02325537  1.9236065   0.94608695  0.55619033
  1.14630957  2.195218    2.46896504  3.40948248  2.6098816   4.32935912
  1.29062072  5.4933775   0.14808317  4.23666529  2.59800665  3.48635377]",18.0954
8,0.6412,1.2257,"[ 2.5932299   4.49893631 -0.02625261  1.92660591  0.94908618  0.55319151
  1.14330981  2.19821758  2.46596521  3.41248215  2.6068821   4.3323589
  1.2876297   5.49037787  0.14508339  4.23966452  2.59500706  3.48335402]",18.0421
9,0.6414,1.1452,"[ 2.59023027  4.49593678 -0.02924979  1.92960527  0.95208538  0.55019281
  1.14031006  2.20121715  2.46296539  3.4154818   2.60388261  4.33535866
  1.28463671  5.48737828  0.14208363  4.24266367  2.5920075   3.48035428]",17.9891
10,0.6404,1.212,"[ 2.58723061  4.49293724 -0.03224716  1.93260467  0.95508464  0.54719404
  1.1373103   2.20421675  2.45996556  3.41848147  2.60088308  4.33835843
  1.28164229  5.48437867  0.13908386  4.24566287  2.58900792  3.47735454]",17.9366
11,0.6468,1.1359,"[ 2.58423097  4.48993772 -0.03524451  1.93560403  0.95808388  0.54419536
  1.13431054  2.20721634  2.45696574  3.42148113  2.59788357  4.3413582
  1.27864711  5.48137908  0.1360841   4.24866201  2.58600837  3.4743548 ]",17.8844
12,0.6489,1.0864,"[ 2.58123133  4.48693822 -0.03824186  1.93860338  0.96108311  0.54119675
  1.13131079  2.21021593  2.45396593  3.42448078  2.59488405  4.34435796
  1.27565135  5.47837952  0.13308435  4.25166112  2.58300884  3.47135508]",17.8327
13,0.6441,1.1625,"[ 2.5782317   4.48393873 -0.04123926  1.94160272  0.96408236  0.53819815
  1.12831103  2.21321553  2.45096611  3.42748043  2.59188453  4.34735772
  1.2726551   5.47537997  0.1300846   4.25466022  2.58000931  3.46835536]",17.7815
14,0.6499,1.105,"[ 2.57523206  4.48093924 -0.0442367   1.94460206  0.96708162  0.53519958
  1.12531128  2.21621514  2.44796629  3.43048008  2.588885    4.35035748
  1.26965847  5.47238042  0.12708485  4.25765931  2.5770098   3.46535564]",17.7307
15,0.6502,1.1547,"[ 2.5722324   4.47793973 -0.04723427  1.94760142  0.97008092  0.53220098
  1.12231151  2.21921477  2.44496646  3.43347975  2.58588545  4.35335725
  1.26666143  5.46938087  0.12408509  4.26065842  2.57401026  3.46235591]",17.6805
16,0.6494,1.1501,"[ 2.56923276  4.47494025 -0.05023179  1.95060075  0.9730802   0.52920247
  1.11931174  2.2222144   2.44196664  3.43647941  2.5828859   4.35635701
  1.26366422  5.46638134  0.12108535  4.26365748  2.57101076  3.45935619]",17.6309
17,0.6514,1.0926,"[ 2.56623311  4.47194077 -0.05322939  1.95360009  0.9760795   0.52620396
  1.11631198  2.22521403  2.43896682  3.43947907  2.57988634  4.35935678
  1.26066676  5.46338181  0.11808561  4.26665655  2.56801125  3.45635647]",17.5818
18,0.6501,1.1455,"[ 2.56323344  4.46894127 -0.05622708  1.95659945  0.97907883  0.52320543
  1.1133122   2.22821369  2.43596699  3.44247875  2.57688676  4.36235656
  1.25766905  5.46038228  0.11508585  4.26965564  2.56501173  3.45335675]",17.5334
19,0.6528,1.0685,"[ 2.5602338   4.46594181 -0.05922467  1.95959875  0.98207812  0.52020706
  1.11031243  2.23121332  2.43296717  3.4454784   2.57388721  4.36535632
  1.25467131  5.45738279  0.11208612  4.27265464  2.56201226  3.45035704]",17.4856
