v,v_eff,m,t
"[[3.61305939e-05]
 [2.85645335e-05]
 [5.08244812e-07]
 [1.28535642e-05]
 [4.75761348e-06]
 [3.41053533e-06]
 [6.92732590e-05]
 [1.63418644e-05]
 [1.53880186e-04]
 [3.84118425e-05]
 [1.19514046e-05]
 [8.40371304e-05]
 [3.32336857e-08]
 [4.48871154e-05]
 [1.06234673e-04]
 [9.02945975e-06]
 [3.56903122e-05]
 [8.45093165e-05]]","[[3.61305939e-05]
 [2.85645335e-05]
 [5.08244812e-07]
 [1.28535642e-05]
 [4.75761348e-06]
 [3.41053533e-06]
 [6.92732590e-05]
 [1.63418644e-05]
 [1.53880186e-04]
 [3.84118425e-05]
 [1.19514046e-05]
 [8.40371304e-05]
 [3.32336857e-08]
 [4.48871154e-05]
 [1.06234673e-04]
 [9.02945975e-06]
 [3.56903122e-05]
 [8.45093165e-05]]","[[ 0.01803262]
 [ 0.01603374]
 [ 0.00213874]
 [-0.01075556]
 [-0.00654359]
 [ 0.00554029]
 [ 0.02496917]
 [-0.01212752]
 [ 0.03721454]
 [-0.01859319]
 [ 0.01037124]
 [-0.02750153]
 [-0.0005469 ]
 [ 0.02009935]
 [ 0.03092106]
 [-0.00901472]
 [ 0.01792241]
 [ 0.02757868]]",1
"[[5.27569298e-05]
 [4.19322654e-05]
 [6.87301308e-07]
 [1.91379255e-05]
 [6.93302001e-06]
 [5.18633464e-06]
 [1.01694397e-04]
 [2.39759332e-05]
 [2.26009242e-04]
 [5.65595678e-05]
 [1.75909753e-05]
 [1.23630300e-04]
 [6.18254039e-08]
 [6.61766088e-05]
 [1.55565381e-04]
 [1.33536684e-05]
 [5.25684082e-05]
 [1.24076699e-04]]","[[5.27569298e-05]
 [4.19322654e-05]
 [6.87301308e-07]
 [1.91379255e-05]
 [6.93302001e-06]
 [5.18633464e-06]
 [1.01694397e-04]
 [2.39759332e-05]
 [2.26009242e-04]
 [5.65595678e-05]
 [1.75909753e-05]
 [1.23630300e-04]
 [6.18254039e-08]
 [6.61766088e-05]
 [1.55565381e-04]
 [1.33536684e-05]
 [5.25684082e-05]
 [1.24076699e-04]]","[[ 0.02179019]
 [ 0.01942654]
 [ 0.00248711]
 [-0.01312407]
 [-0.00789919]
 [ 0.00683206]
 [ 0.03025309]
 [-0.01468957]
 [ 0.04510081]
 [-0.02256183]
 [ 0.01258248]
 [-0.03335675]
 [-0.00074594]
 [ 0.0244047 ]
 [ 0.03741776]
 [-0.0109628 ]
 [ 0.02175122]
 [ 0.03341692]]",1
"[[7.14271236e-05]
 [5.68307737e-05]
 [8.71751045e-07]
 [2.62856957e-05]
 [9.41415962e-06]
 [7.24033178e-06]
 [1.38366157e-04]
 [3.27256954e-05]
 [3.07223895e-04]
 [7.70533190e-05]
 [2.40572418e-05]
 [1.68285260e-04]
 [9.57792018e-08]
 [8.99404963e-05]
 [2.10665074e-04]
 [1.82150880e-05]
 [7.13983312e-05]
 [1.68412386e-04]]","[[7.14271236e-05]
 [5.68307737e-05]
 [8.71751045e-07]
 [2.62856957e-05]
 [9.41415962e-06]
 [7.24033178e-06]
 [1.38366157e-04]
 [3.27256954e-05]
 [3.07223895e-04]
 [7.70533190e-05]
 [2.40572418e-05]
 [1.68285260e-04]
 [9.57792018e-08]
 [8.99404963e-05]
 [2.10665074e-04]
 [1.82150880e-05]
 [7.13983312e-05]
 [1.68412386e-04]]","[[ 0.02535437]
 [ 0.02261586]
 [ 0.00280103]
 [-0.01538087]
 [-0.00920475]
 [ 0.00807236]
 [ 0.03528874]
 [-0.01716191]
 [ 0.05258341]
 [-0.02633401]
 [ 0.01471445]
 [-0.03891744]
 [-0.00092845]
 [ 0.02845109]
 [ 0.04354292]
 [-0.01280374]
 [ 0.02534926]
 [ 0.03893214]]",1
"[2.68068729e-07 1.17017140e-07 2.53515132e-07 ... 5.65271268e-05
 2.79597999e-05 6.18774691e-07]","[2.68068729e-07 1.17017140e-07 2.53515132e-07 ... 5.65271268e-05
 2.79597999e-05 6.18774691e-07]","[ 0.00155326  0.00102623 -0.00151051 ...  0.02255536  0.01586311
  0.00235987]",1
"[[5.46915474e-05]
 [4.24795285e-05]
 [7.15773714e-07]
 [1.97948818e-05]
 [7.56851781e-06]
 [5.36138371e-06]
 [1.06013674e-04]
 [2.59406844e-05]
 [2.33193262e-04]
 [5.88142294e-05]
 [1.90055365e-05]
 [1.28184017e-04]
 [4.72620881e-08]
 [6.65141260e-05]
 [1.58376215e-04]
 [1.35886880e-05]
 [5.30309371e-05]
 [1.26753116e-04]]","[[5.46915474e-05]
 [4.24795285e-05]
 [7.15773714e-07]
 [1.97948818e-05]
 [7.56851781e-06]
 [5.36138371e-06]
 [1.06013674e-04]
 [2.59406844e-05]
 [2.33193262e-04]
 [5.88142294e-05]
 [1.90055365e-05]
 [1.28184017e-04]
 [4.72620881e-08]
 [6.65141260e-05]
 [1.58376215e-04]
 [1.35886880e-05]
 [5.30309371e-05]
 [1.26753116e-04]]","[[ 0.02218612]
 [ 0.0195529 ]
 [ 0.0025381 ]
 [-0.01334743]
 [-0.00825328]
 [ 0.0069464 ]
 [ 0.03088888]
 [-0.0152796 ]
 [ 0.045812  ]
 [-0.02300713]
 [ 0.0130786 ]
 [-0.03396551]
 [-0.0006522 ]
 [ 0.02446686]
 [ 0.03775428]
 [-0.01105885]
 [ 0.0218467 ]
 [ 0.03377541]]",1
"[[7.31363564e-05]
 [5.68435668e-05]
 [8.98368014e-07]
 [2.68308091e-05]
 [1.01504689e-05]
 [7.38129401e-06]
 [1.42461824e-04]
 [3.49698370e-05]
 [3.13034041e-04]
 [7.91121880e-05]
 [2.56651690e-05]
 [1.72290401e-04]
 [7.28617557e-08]
 [8.92394961e-05]
 [2.11770461e-04]
 [1.82981432e-05]
 [7.11011285e-05]
 [1.69874692e-04]]","[[7.31363564e-05]
 [5.68435668e-05]
 [8.98368014e-07]
 [2.68308091e-05]
 [1.01504689e-05]
 [7.38129401e-06]
 [1.42461824e-04]
 [3.49698370e-05]
 [3.13034041e-04]
 [7.91121880e-05]
 [2.56651690e-05]
 [1.72290401e-04]
 [7.28617557e-08]
 [8.92394961e-05]
 [2.11770461e-04]
 [1.82981432e-05]
 [7.11011285e-05]
 [1.69874692e-04]]","[[ 0.02565594]
 [ 0.0226184 ]
 [ 0.00284347]
 [-0.01553954]
 [-0.00955794]
 [ 0.00815056]
 [ 0.03580721]
 [-0.01774059]
 [ 0.0530783 ]
 [-0.02668351]
 [ 0.01519824]
 [-0.03937783]
 [-0.00080979]
 [ 0.02834   ]
 [ 0.04365701]
 [-0.0128329 ]
 [ 0.02529645]
 [ 0.0391008 ]]",1
"[[5.60840650e-05]
 [4.25608618e-05]
 [7.38350675e-07]
 [2.02294041e-05]
 [8.15086254e-06]
 [5.47117785e-06]
 [1.09300610e-04]
 [2.77127708e-05]
 [2.37957257e-04]
 [6.04671187e-05]
 [2.02715550e-05]
 [1.31418248e-04]
 [3.33074712e-08]
 [6.61002098e-05]
 [1.59434100e-04]
 [1.36698245e-05]
 [5.28906250e-05]
 [1.28040621e-04]]","[[5.60840650e-05]
 [4.25608618e-05]
 [7.38350675e-07]
 [2.02294041e-05]
 [8.15086254e-06]
 [5.47117785e-06]
 [1.09300610e-04]
 [2.77127708e-05]
 [2.37957257e-04]
 [6.04671187e-05]
 [2.02715550e-05]
 [1.31418248e-04]
 [3.33074712e-08]
 [6.61002098e-05]
 [1.59434100e-04]
 [1.36698245e-05]
 [5.28906250e-05]
 [1.28040621e-04]]","[[ 0.02246679]
 [ 0.01957161]
 [ 0.00257782]
 [-0.01349313]
 [-0.00856491]
 [ 0.00701716]
 [ 0.03136408]
 [-0.01579288]
 [ 0.04627759]
 [-0.02332818]
 [ 0.01350718]
 [-0.03439134]
 [-0.00054751]
 [ 0.02439061]
 [ 0.03788017]
 [-0.01109182]
 [ 0.02181778]
 [ 0.03394651]]",1
"[1.38685915e-07 6.03394362e-08 1.57196888e-07 ... 3.01447098e-05
 1.48034157e-05 4.30135864e-07]","[1.38685915e-07 6.03394362e-08 1.57196888e-07 ... 3.01447098e-05
 1.48034157e-05 4.30135864e-07]","[-0.00111722 -0.00073692  0.00118944 ... -0.01647126 -0.01154256
 -0.00196754]",1
"[[7.43397647e-05]
 [5.64406535e-05]
 [9.19629366e-07]
 [2.71615376e-05]
 [1.08325543e-05]
 [7.45800834e-06]
 [1.45582901e-04]
 [3.70224547e-05]
 [3.16588297e-04]
 [8.05992306e-05]
 [2.71242223e-05]
 [1.75050530e-04]
 [5.17486917e-08]
 [8.78789368e-05]
 [2.11271170e-04]
 [1.82400189e-05]
 [7.02662881e-05]
 [1.70057840e-04]]","[[7.43397647e-05]
 [5.64406535e-05]
 [9.19629366e-07]
 [2.71615376e-05]
 [1.08325543e-05]
 [7.45800834e-06]
 [1.45582901e-04]
 [3.70224547e-05]
 [3.16588297e-04]
 [8.05992306e-05]
 [2.71242223e-05]
 [1.75050530e-04]
 [5.17486917e-08]
 [8.78789368e-05]
 [2.11271170e-04]
 [1.82400189e-05]
 [7.02662881e-05]
 [1.70057840e-04]]","[[ 0.02586615]
 [ 0.0225381 ]
 [ 0.00287692]
 [-0.01563502]
 [-0.00987385]
 [ 0.00819281]
 [ 0.03619732]
 [-0.01825382]
 [ 0.05337878]
 [-0.02693312]
 [ 0.01562428]
 [-0.039692  ]
 [-0.00068245]
 [ 0.02812313]
 [ 0.04360551]
 [-0.0128125 ]
 [ 0.0251475 ]
 [ 0.03912187]]",1
"[[5.79638511e-05]
 [4.30055384e-05]
 [7.65362121e-07]
 [2.08335624e-05]
 [8.81274620e-06]
 [5.62773639e-06]
 [1.13569814e-04]
 [2.97641043e-05]
 [2.44782066e-04]
 [6.26444269e-05]
 [2.17377038e-05]
 [1.35790836e-04]
 [2.19786587e-08]
 [6.62598875e-05]
 [1.61797977e-04]
 [1.38665158e-05]
 [5.31964168e-05]
 [1.30395238e-04]]","[[5.79638511e-05]
 [4.30055384e-05]
 [7.65362121e-07]
 [2.08335624e-05]
 [8.81274620e-06]
 [5.62773639e-06]
 [1.13569814e-04]
 [2.97641043e-05]
 [2.44782066e-04]
 [6.26444269e-05]
 [2.17377038e-05]
 [1.35790836e-04]
 [2.19786587e-08]
 [6.62598875e-05]
 [1.61797977e-04]
 [1.38665158e-05]
 [5.31964168e-05]
 [1.30395238e-04]]","[[ 0.0228402 ]
 [ 0.01967358]
 [ 0.00262455]
 [-0.01369314]
 [-0.00890588]
 [ 0.00711686]
 [ 0.03197074]
 [-0.01636695]
 [ 0.04693654]
 [-0.02374447]
 [ 0.01398711]
 [-0.0349588 ]
 [-0.00044476]
 [ 0.02442005]
 [ 0.03815995]
 [-0.01117133]
 [ 0.02188076]
 [ 0.03425722]]",1
