v,v_eff,m,t
"[[5.65086944e-05]
 [3.37321665e-05]
 [9.38283984e-06]
 [8.60069150e-05]
 [2.78792657e-06]
 [1.75396831e-04]
 [5.28391511e-05]
 [1.08959525e-08]
 [1.21702464e-04]
 [7.72906894e-05]
 [5.84731246e-06]
 [1.44756011e-05]
 [1.04543781e-04]
 [7.61836299e-05]
 [5.04581726e-06]
 [1.60474025e-04]
 [1.81574003e-04]
 [9.97160016e-05]
 [4.93086334e-07]
 [3.82473549e-06]
 [1.40374153e-07]]","[[5.65086944e-05]
 [3.37321665e-05]
 [9.38283984e-06]
 [8.60069150e-05]
 [2.78792657e-06]
 [1.75396831e-04]
 [5.28391511e-05]
 [1.08959525e-08]
 [1.21702464e-04]
 [7.72906894e-05]
 [5.84731246e-06]
 [1.44756011e-05]
 [1.04543781e-04]
 [7.61836299e-05]
 [5.04581726e-06]
 [1.60474025e-04]
 [1.81574003e-04]
 [9.97160016e-05]
 [4.93086334e-07]
 [3.82473549e-06]
 [1.40374153e-07]]","[[ 0.02255168]
 [ 0.01742382]
 [-0.00918943]
 [ 0.02782197]
 [ 0.00500913]
 [ 0.03973124]
 [-0.02180716]
 [-0.00031315]
 [ 0.03309565]
 [-0.02637454]
 [-0.00725437]
 [-0.01141404]
 [-0.030674  ]
 [ 0.02618497]
 [ 0.00673887]
 [-0.0380035 ]
 [ 0.04042482]
 [-0.02995737]
 [-0.0021066 ]
 [-0.00586708]
 [ 0.001124  ]]",1
"[2.89267758e-09 1.24400499e-09 1.70341945e-09 ... 2.76239320e-07
 1.92392951e-07 6.72609806e-08]","[2.89267758e-09 1.24400499e-09 1.70341945e-09 ... 2.76239320e-07
 1.92392951e-07 6.72609806e-08]","[-0.00016135 -0.00010581  0.00012382 ...  0.00157675  0.00131588
  0.00077804]",1
"[[3.78397266e-05]
 [2.30745836e-05]
 [6.14075292e-06]
 [5.75923524e-05]
 [1.74493121e-06]
 [1.17665510e-04]
 [3.55828686e-05]
 [1.60469982e-08]
 [8.15985265e-05]
 [5.21080612e-05]
 [4.05871385e-06]
 [9.51158535e-06]
 [6.97687104e-05]
 [5.11816199e-05]
 [3.41510793e-06]
 [1.07139440e-04]
 [1.22413109e-04]
 [6.70355771e-05]
 [2.63358713e-07]
 [2.37455158e-06]
 [1.40472295e-07]]","[[3.78397266e-05]
 [2.30745836e-05]
 [6.14075292e-06]
 [5.75923524e-05]
 [1.74493121e-06]
 [1.17665510e-04]
 [3.55828686e-05]
 [1.60469982e-08]
 [8.15985265e-05]
 [5.21080612e-05]
 [4.05871385e-06]
 [9.51158535e-06]
 [6.97687104e-05]
 [5.11816199e-05]
 [3.41510793e-06]
 [1.07139440e-04]
 [1.22413109e-04]
 [6.70355771e-05]
 [2.63358713e-07]
 [2.37455158e-06]
 [1.40472295e-07]]","[[ 0.0184542 ]
 [ 0.0144108 ]
 [-0.00743416]
 [ 0.02276689]
 [ 0.00396288]
 [ 0.03254212]
 [-0.01789541]
 [-0.00038003]
 [ 0.02709957]
 [-0.02165577]
 [-0.00604387]
 [-0.00925226]
 [-0.0250583 ]
 [ 0.0214624 ]
 [ 0.005544  ]
 [-0.03105245]
 [ 0.03319214]
 [-0.02456258]
 [-0.00153955]
 [-0.00462287]
 [ 0.00112439]]",1
"[[2.52443942e-05]
 [1.57135238e-05]
 [4.00258279e-06]
 [3.84355239e-05]
 [1.08845080e-06]
 [7.86548879e-05]
 [2.38739410e-05]
 [1.83744659e-08]
 [5.45146535e-05]
 [3.49972175e-05]
 [2.80117529e-06]
 [6.23130140e-06]
 [4.64025066e-05]
 [3.42568213e-05]
 [2.30220140e-06]
 [7.12839445e-05]
 [8.22361044e-05]
 [4.49114546e-05]
 [1.37384015e-07]
 [1.46995062e-06]
 [1.29631150e-07]]","[[2.52443942e-05]
 [1.57135238e-05]
 [4.00258279e-06]
 [3.84355239e-05]
 [1.08845080e-06]
 [7.86548879e-05]
 [2.38739410e-05]
 [1.83744659e-08]
 [5.45146535e-05]
 [3.49972175e-05]
 [2.80117529e-06]
 [6.23130140e-06]
 [4.64025066e-05]
 [3.42568213e-05]
 [2.30220140e-06]
 [7.12839445e-05]
 [8.22361044e-05]
 [4.49114546e-05]
 [1.37384015e-07]
 [1.46995062e-06]
 [1.29631150e-07]]","[[ 0.01507314]
 [ 0.01189209]
 [-0.00600194]
 [ 0.01859892]
 [ 0.00312987]
 [ 0.02660628]
 [-0.01465829]
 [-0.00040666]
 [ 0.02215021]
 [-0.01774753]
 [-0.00502101]
 [-0.00748877]
 [-0.02043582]
 [ 0.0175588 ]
 [ 0.0045519 ]
 [-0.02532895]
 [ 0.02720524]
 [-0.0201048 ]
 [-0.00111196]
 [-0.00363725]
 [ 0.00108013]]",1
"[[3.90880076e-05]
 [2.43577405e-05]
 [6.17305021e-06]
 [6.00676351e-05]
 [1.72534521e-06]
 [1.22756073e-04]
 [3.71688088e-05]
 [2.08284932e-08]
 [8.51326019e-05]
 [5.44529355e-05]
 [4.31577115e-06]
 [9.66660567e-06]
 [7.27925770e-05]
 [5.31962036e-05]
 [3.62967641e-06]
 [1.11502495e-04]
 [1.28434208e-04]
 [7.02316802e-05]
 [2.34154083e-07]
 [2.39730863e-06]
 [1.97902399e-07]]","[[3.90880076e-05]
 [2.43577405e-05]
 [6.17305021e-06]
 [6.00676351e-05]
 [1.72534521e-06]
 [1.22756073e-04]
 [3.71688088e-05]
 [2.08284932e-08]
 [8.51326019e-05]
 [5.44529355e-05]
 [4.31577115e-06]
 [9.66660567e-06]
 [7.27925770e-05]
 [5.31962036e-05]
 [3.62967641e-06]
 [1.11502495e-04]
 [1.28434208e-04]
 [7.02316802e-05]
 [2.34154083e-07]
 [2.39730863e-06]
 [1.97902399e-07]]","[[ 0.01875612]
 [ 0.01480607]
 [-0.00745369]
 [ 0.02325099]
 [ 0.00394057]
 [ 0.0332386 ]
 [-0.01828987]
 [-0.00043296]
 [ 0.0276802 ]
 [-0.02213767]
 [-0.00623233]
 [-0.00932735]
 [-0.02559557]
 [ 0.02188072]
 [ 0.00571551]
 [-0.03167842]
 [ 0.03399865]
 [-0.0251413 ]
 [-0.00145168]
 [-0.00464497]
 [ 0.00133459]]",1
"[2.95775782e-07 1.23359557e-07 1.69091192e-07 ... 2.87608025e-05
 1.80627736e-05 6.17106950e-06]","[2.95775782e-07 1.23359557e-07 1.69091192e-07 ... 2.87608025e-05
 1.80627736e-05 6.17106950e-06]","[-0.00163156 -0.00105368  0.00123362 ...  0.01608873  0.0127501
  0.00745249]",1
"[[2.55133822e-05]
 [1.62383317e-05]
 [3.93109799e-06]
 [3.92073286e-05]
 [1.04679291e-06]
 [8.02576422e-05]
 [2.43943311e-05]
 [2.26484760e-08]
 [5.56258467e-05]
 [3.57805526e-05]
 [2.91606207e-06]
 [6.19220151e-06]
 [4.73417893e-05]
 [3.48280222e-05]
 [2.39298077e-06]
 [7.25398914e-05]
 [8.43994728e-05]
 [4.60238360e-05]
 [1.15772734e-07]
 [1.44452596e-06]
 [1.72602630e-07]]","[[2.55133822e-05]
 [1.62383317e-05]
 [3.93109799e-06]
 [3.92073286e-05]
 [1.04679291e-06]
 [8.02576422e-05]
 [2.43943311e-05]
 [2.26484760e-08]
 [5.56258467e-05]
 [3.57805526e-05]
 [2.91606207e-06]
 [6.19220151e-06]
 [4.73417893e-05]
 [3.48280222e-05]
 [2.39298077e-06]
 [7.25398914e-05]
 [8.43994728e-05]
 [4.60238360e-05]
 [1.15772734e-07]
 [1.44452596e-06]
 [1.72602630e-07]]","[[ 0.01515323]
 [ 0.01208904]
 [-0.0059481 ]
 [ 0.01878473]
 [ 0.00306939]
 [ 0.02687599]
 [-0.01481719]
 [-0.00045148]
 [ 0.02237482]
 [-0.01794505]
 [-0.00512294]
 [-0.00746524]
 [-0.02064161]
 [ 0.01770458]
 [ 0.00464078]
 [-0.02555111]
 [ 0.02756076]
 [-0.02035226]
 [-0.00102076]
 [-0.00360565]
 [ 0.00124636]]",1
"[[3.91015582e-05]
 [2.49182759e-05]
 [5.99687318e-06]
 [6.06518395e-05]
 [1.64247518e-06]
 [1.23988212e-04]
 [3.75983441e-05]
 [2.63443879e-08]
 [8.59825053e-05]
 [5.51100795e-05]
 [4.44802728e-06]
 [9.50701907e-06]
 [7.34974974e-05]
 [5.35399661e-05]
 [3.73230074e-06]
 [1.12302877e-04]
 [1.30491447e-04]
 [7.12472859e-05]
 [1.96161723e-07]
 [2.33065950e-06]
 [2.61844132e-07]]","[[3.91015582e-05]
 [2.49182759e-05]
 [5.99687318e-06]
 [6.06518395e-05]
 [1.64247518e-06]
 [1.23988212e-04]
 [3.75983441e-05]
 [2.63443879e-08]
 [8.59825053e-05]
 [5.51100795e-05]
 [4.44802728e-06]
 [9.50701907e-06]
 [7.34974974e-05]
 [5.35399661e-05]
 [3.73230074e-06]
 [1.12302877e-04]
 [1.30491447e-04]
 [7.12472859e-05]
 [1.96161723e-07]
 [2.33065950e-06]
 [2.61844132e-07]]","[[ 0.01875937]
 [ 0.01497546]
 [-0.00734655]
 [ 0.02336379]
 [ 0.00384477]
 [ 0.033405  ]
 [-0.01839525]
 [-0.00048693]
 [ 0.02781803]
 [-0.02227085]
 [-0.0063271 ]
 [-0.00925004]
 [-0.0257192 ]
 [ 0.0219513 ]
 [ 0.00579575]
 [-0.03179192]
 [ 0.03426986]
 [-0.02532243]
 [-0.0013287 ]
 [-0.00457995]
 [ 0.00153512]]",1
"[[5.16433932e-05]
 [3.30473138e-05]
 [7.85552972e-06]
 [8.07580856e-05]
 [2.19042711e-06]
 [1.64937865e-04]
 [4.99510003e-05]
 [2.89193537e-08]
 [1.14416592e-04]
 [7.31758772e-05]
 [5.88000676e-06]
 [1.25418085e-05]
 [9.80803625e-05]
 [7.09451505e-05]
 [5.00817722e-06]
 [1.49539352e-04]
 [1.73865463e-04]
 [9.49874671e-05]
 [2.69099269e-07]
 [3.17501740e-06]
 [3.56743800e-07]]","[[5.16433932e-05]
 [3.30473138e-05]
 [7.85552972e-06]
 [8.07580856e-05]
 [2.19042711e-06]
 [1.64937865e-04]
 [4.99510003e-05]
 [2.89193537e-08]
 [1.14416592e-04]
 [7.31758772e-05]
 [5.88000676e-06]
 [1.25418085e-05]
 [9.80803625e-05]
 [7.09451505e-05]
 [5.00817722e-06]
 [1.49539352e-04]
 [1.73865463e-04]
 [9.49874671e-05]
 [2.69099269e-07]
 [3.17501740e-06]
 [3.56743800e-07]]","[[ 0.021559  ]
 [ 0.01724604]
 [-0.00840832]
 [ 0.02695965]
 [ 0.00444003]
 [ 0.03852844]
 [-0.02120281]
 [-0.00051017]
 [ 0.03208971]
 [-0.02566287]
 [-0.00727462]
 [-0.01062432]
 [-0.02971066]
 [ 0.02526868]
 [ 0.00671369]
 [-0.03668589]
 [ 0.03955742]
 [-0.02923845]
 [-0.00155624]
 [-0.00534557]
 [ 0.00179184]]",1
"[1.16773133e-08 4.98948475e-09 6.80963593e-09 ... 1.12407322e-06
 7.54695529e-07 2.62495612e-07]","[1.16773133e-08 4.98948475e-09 6.80963593e-09 ... 1.12407322e-06
 7.54695529e-07 2.62495612e-07]","[-0.00032418 -0.00021191  0.00024756 ...  0.00318067  0.0026062
  0.00153703]",1
