epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6701,0.9168,"[2.61722729e+00 4.52293328e+00 3.71682848e-03 1.89661221e+00
 9.19097825e-01 5.77180943e-01 1.17330662e+00 2.17417910e+00
 2.48996409e+00 3.38848472e+00 2.63687438e+00 4.30835962e+00
 1.28761080e+00 5.51437524e+00 1.69084027e-01 4.21567115e+00
 2.61900384e+00 3.51335113e+00 8.85069270e-01 1.24770531e+00
 5.02825342e+00]",16.8739
1,0.6729,0.9619,"[2.61422776 4.5199339  0.0067157  1.89361259 0.91609988 0.57418121
 1.17630613 2.17713967 2.48696442 3.39148432 2.63987289 4.3113587
 1.29061045 5.51137564 0.16608565 4.21867087 2.61600411 3.51635077
 0.88806462 1.25070351 5.02526782]",16.8155
2,0.6695,0.987,"[2.61122823 4.5169345  0.00971457 1.89061297 0.91310198 0.57118148
 1.17930565 2.18011109 2.48396474 3.39448392 2.64287145 4.31435779
 1.2936101  5.50837604 0.16308721 4.22167059 2.61300437 3.51935042
 0.89105957 1.2537017  5.02227738]",16.7583
3,0.674,0.9355,"[2.60822875 4.51393517 0.01271326 1.88761339 0.91010446 0.56818177
 1.18230511 2.18308905 2.48096509 3.39748348 2.64586987 4.31735674
 1.29660972 5.50537649 0.16008894 4.22467028 2.61000465 3.52235003
 0.89405287 1.25669958 5.01928505]",16.7023
4,0.6719,0.9688,"[2.60522924 4.51093579 0.01571199 1.88461379 0.90710689 0.56518205
 1.18530461 2.18607048 2.47796543 3.40048306 2.6488684  4.32035573
 1.29960936 5.50237692 0.15709055 4.22766999 2.60700493 3.52534966
 0.89704576 1.25969753 5.01629107]",16.6476
5,0.6717,0.9202,"[2.60222979 4.50793646 0.01871055 1.88161423 0.90410973 0.56218236
 1.18830405 2.18905417 2.47496579 3.4034826  2.65186682 4.3233546
 1.30260896 5.49937738 0.15409229 4.23066966 2.60400522 3.52834926
 0.900036   1.26269518 5.01329648]",16.5941
6,0.6776,0.8779,"[2.59923037 4.50493715 0.02170901 1.87861468 0.90111283 0.55918267
 1.19130348 2.19203952 2.47196617 3.40648213 2.65486521 4.32635341
 1.30560854 5.49637787 0.15109407 4.23366933 2.60100553 3.53134885
 0.90302332 1.26569266 5.01030129]",16.542
7,0.6783,0.9101,"[2.59623092 4.50193781 0.02470749 1.87561512 0.89811595 0.55618298
 1.19430293 2.1950265  2.46896654 3.40948167 2.65786369 4.32935224
 1.30860815 5.49337833 0.14809575 4.23666901 2.59800582 3.53434845
 0.90600807 1.26869018 5.0073054 ]",16.4912
8,0.6792,0.8617,"[2.59323152 4.49893851 0.02770576 1.87261559 0.89511963 0.55318331
 1.19730233 2.1980141  2.46596694 3.41248118 2.66086205 4.33235094
 1.31160772 5.49037884 0.14509758 4.23966865 2.59500614 3.53734802
 0.90898119 1.27168733 5.00430937]",16.4419
9,0.6805,0.887,"[2.59023215 4.49593923 0.03070393 1.86961608 0.89212363 0.55018365
 1.20030172 2.20100252 2.46296734 3.41548068 2.6638604  4.33534959
 1.31460728 5.48737936 0.14209942 4.24266829 2.59200646 3.54034758
 0.91192815 1.27468431 5.00131304]",16.394
