epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.681,0.5854,"[2.57023712 4.47596019 0.05070094 1.84963982 0.97204443 0.63011975
 1.12031255 2.22121191 2.44296853 3.33555171 2.58392184 4.35530816]",2.2391
1,0.6911,0.6487,"[2.52025509 4.42600823 0.10066592 1.79969119 1.02199921 0.68003839
 1.07032162 2.27119691 2.39297719 3.28598599 2.53397536 4.40525657]",1.9866
2,0.6932,0.6984,"[2.47452562 4.38059672 0.14619293 1.75429314 1.06757875 0.72535972
 1.02448098 2.31698115 2.34712796 3.31001277 2.4884462  4.45078626]",1.8876
3,0.6931,0.6842,"[2.46470176 4.37105463 0.15585445 1.74475459 1.07729739 0.73484833
 1.01458033 2.32684591 2.33722137 3.3191043  2.47876468 4.46046405]",1.8777
4,0.693,0.7074,"[2.46463396 4.37083625 0.15599927 1.7445339  1.07740728 0.73509385
 1.01454322 2.32689656 2.33718667 3.31947587 2.47863872 4.46059444]",1.878
5,0.6932,0.6981,"[2.46649381 4.37235703 0.1543116  1.7460448  1.07564763 0.73366273
 1.01646842 2.32500075 2.33911672 3.31882175 2.48035807 4.45888167]",1.8808
6,0.6931,0.7033,"[2.46434024 4.36994159 0.15661057 1.74362603 1.07788687 0.73611998
 1.01438139 2.32711802 2.33703505 3.32147226 2.47808837 4.4611578 ]",1.8797
7,0.6931,0.6861,"[2.46223302 4.36756537 0.15885195 1.74124338 1.08007031 0.73856297
 1.01232433 2.32919737 2.33498173 3.32451237 2.47587401 4.46337761]",1.8792
8,0.6931,0.7003,"[2.4582052  4.363553   0.16288339 1.73722963 1.08410102 0.74256268
 1.00830571 2.33322067 2.33096409 3.32818567 2.47184452 4.46740801]",1.8763
9,0.6932,0.7039,"[2.46145776 4.36642361 0.15988313 1.74009921 1.08101328 0.73972255
 1.01175765 2.32986933 2.33443706 3.32536684 2.47488693 4.46437508]",1.8794
10,0.6932,0.6752,"[2.45962637 4.36473444 0.16161871 1.73840969 1.08277726 0.7413958
 1.00986271 2.33173335 2.33253657 3.32685016 2.47314271 4.46611821]",1.8777
11,0.6931,0.6891,"[2.45967825 4.36490419 0.16150636 1.73857925 1.08268712 0.74120011
 1.0098903  2.33169483 2.33256241 3.32632223 2.47324767 4.46601231]",1.8772
12,0.6932,0.6803,"[2.46175184 4.36706304 0.15937596 1.74073885 1.08057295 0.73902747
 1.01193273 2.32963755 2.3346024  3.32404851 2.47537518 4.46388486]",1.8782
13,0.6929,0.6716,"[2.465935   4.37142576 0.15507329 1.74509894 1.07631016 0.73465671
 1.01604329 2.32549289 2.33870672 3.31969142 2.4796616  4.45959531]",1.8809
14,0.693,0.7123,"[2.4600513  4.36576463 0.16083782 1.73943705 1.08212044 0.74028055
 1.01010747 2.33140521 2.33276689 3.32492034 2.47387814 4.46537531]",1.8759
15,0.6936,0.707,"[2.45852978 4.36465023 0.16210579 1.73832293 1.08347428 0.74134453
 1.00841985 2.33301157 2.33106392 3.32553425 2.47257449 4.46667173]",1.8735
16,0.6932,0.701,"[2.46047358 4.36645407 0.16022937 1.74012548 1.0815653  0.73956586
 1.0103891  2.33105325 2.33303521 3.32394895 2.47446984 4.46478093]",1.8751
17,0.6928,0.7338,"[2.45904527 4.36557022 0.16133345 1.73923938 1.08278667 0.74038622
 1.00876031 2.33258536 2.33138793 3.32419749 2.47331205 4.46592714]",1.8725
18,0.6931,0.6947,"[2.45937355 4.36639343 0.16072541 1.74006228 1.08228638 0.73949478
 1.00895095 2.33233154 2.33156724 3.3227722  2.47387065 4.46535771]",1.8712
19,0.6932,0.7089,"[2.46130618 4.368167   0.15887244 1.7418327  1.08039711 0.73775322
 1.01091432 2.33038176 2.33353301 3.32120622 2.47574312 4.46348985]",1.8729
20,0.6931,0.6953,"[2.46290868 4.36950563 0.15744594 1.74316902 1.07891028 0.73643776
 1.01264701 2.32871402 2.33527838 3.31993466 2.47719879 4.46204132]",1.8747
21,0.6932,0.6783,"[2.4627943  4.36926015 0.15763424 1.74291923 1.07906925 0.73671154
 1.01257418 2.32880709 2.33520931 3.32040302 2.47702502 4.46221858]",1.8751
22,0.6932,0.7039,"[2.45888336 4.36556911 0.1614363  1.7392296  1.0829147  0.74035167
 1.00862147 2.33274115 2.33125354 3.32345275 2.47320527 4.4660349 ]",1.8716
23,0.6932,0.7046,"[2.46268956 4.36907663 0.15780015 1.74273125 1.07921158 0.73689755
 1.01250943 2.3288911  2.33514818 3.32029334 2.47687257 4.46237465]",1.875
24,0.6931,0.6994,"[2.45859476 4.36480394 0.16199257 1.73845407 1.08336329 0.74120478
 1.00845668 2.33296297 2.33109874 3.32472752 2.47269984 4.46655178]",1.8727
25,0.6932,0.6908,"[2.46069347 4.36713099 0.15977902 1.74078077 1.08119601 0.73883328
 1.01050974 2.33088962 2.33314839 3.32187074 2.47489333 4.46435435]",1.8732
26,0.6932,0.6929,"[2.46074653 4.3672357  0.1596883  1.74088446 1.08111512 0.73872637
 1.01054058 2.3308482  2.33317745 3.32177936 2.47498269 4.46426505]",1.8731
27,0.6932,0.708,"[2.45685261 4.36364343 0.16344109 1.73729221 1.08492828 0.74225136
 1.00659602 2.3347707  2.3292292  3.32444747 2.47120202 4.46803998]",1.8694
28,0.6932,0.6736,"[2.46095326 4.36798419 0.15922214 1.74163061 1.0807589  0.73787003
 1.01065017 2.33069616 2.33327982 3.31961307 2.47539739 4.46383947]",1.8711
29,0.6931,0.6781,"[2.46291779 4.3698527  0.15730385 1.74349627 1.078818   0.73602383
 1.01263117 2.32872233 2.3352621  3.31790041 2.47732862 4.46191135]",1.8727
30,0.693,0.682,"[2.46088731 4.36779718 0.15935392 1.74143984 1.08085878 0.73807493
 1.01061267 2.33074634 2.33324471 3.31973978 2.47528532 4.46395657]",1.8712
31,0.6931,0.6933,"[2.45681643 4.36374889 0.16343781 1.73739326 1.08493985 0.74208883
 1.00656554 2.33480499 2.32920009 3.32318326 2.47120602 4.4680377 ]",1.8682
32,0.6932,0.6901,"[2.45634055 4.36273938 0.16422981 1.73638198 1.08561035 0.74316191
 1.00626919 2.33518616 2.32891975 3.32457621 2.47047415 4.46878378]",1.8694
33,0.6932,0.6755,"[2.46017952 4.36652152 0.16044624 1.74016239 1.08181001 0.73937376
 1.01016111 2.33132066 2.33281701 3.32059173 2.47426698 4.46499363]",1.8717
34,0.6932,0.6759,"[2.46013156 4.36638899 0.1605413  1.74002799 1.08188368 0.73951811
 1.01013398 2.33135712 2.3327916  3.32070862 2.47418418 4.46507948]",1.8718
35,0.6929,0.6743,"[2.46213639 4.36838456 0.15853708 1.7420225  1.07987527 0.7375252
 1.01213683 2.3293531  2.33479433 3.3187137  2.47619332 4.46307173]",1.8731
36,0.6932,0.7,"[2.46023704 4.36666785 0.16033428 1.74030708 1.08170911 0.73920692
 1.01019221 2.33127687 2.3328463  3.32013407 2.4743833  4.4648795 ]",1.8712
37,0.6932,0.6924,"[2.45829169 4.3648499  0.16221565 1.7384879  1.08361533 0.74100053
 1.00822142 2.33323635 2.33087364 3.32161821 2.47249195 4.46676896]",1.8695
38,0.6932,0.7085,"[2.46036353 4.36697662 0.16009884 1.74061374 1.08150981 0.73887471
 1.01026411 2.33117967 2.33291392 3.31957919 2.47460703 4.46465385]",1.8707
39,0.6932,0.7045,"[2.46010904 4.36632177 0.16058552 1.73995125 1.08190707 0.73959894
 1.01011932 2.3313753  2.33277789 3.32057429 2.47415992 4.46510963]",1.8716
40,0.6932,0.7134,"[2.46030505 4.36672791 0.16025406 1.74035938 1.08161863 0.73916189
 1.0102369  2.33121995 2.33288894 3.31989881 2.47447743 4.46478974]",1.871
41,0.6931,0.698,"[2.45844337 4.36519106 0.16195085 1.73882553 1.08338131 0.74062495
 1.00831086 2.33311712 2.33095815 3.32059441 2.47275324 4.46650846]",1.8685
42,0.6932,0.6914,"[2.46052476 4.3674373  0.15978265 1.74107032 1.08124706 0.73835218
 1.01035542 2.33105611 2.33299988 3.31803988 2.47490677 4.46435191]",1.8693
43,0.6932,0.7096,"[2.46655926 4.37352508 0.15371578 1.74715794 1.07518918 0.73225391
 1.01637443 2.32502977 2.33901776 3.31185093 2.48097285 4.45828598]",1.8735
44,0.693,0.6787,"[2.46255857 4.36953831 0.15771225 1.74317021 1.07918536 0.73623271
 1.01237328 2.3290307  2.33501668 3.31559573 2.47697887 4.46228084]",1.8702
45,0.6931,0.6736,"[2.46324683 4.37025106 0.15696895 1.7438806  1.07844294 0.73554164
 1.01294787 2.32839016 2.33557691 3.3151371  2.47772677 4.46153408]",1.8705
46,0.6931,0.6912,"[2.46125408 4.36826729 0.15895428 1.74189798 1.0804269  0.73751514
 1.01095145 2.33038454 2.33358033 3.31693758 2.4757463  4.46351607]",1.8689
47,0.693,0.7017,"[2.45691428 4.3633993  0.16359364 1.73702141 1.08494967 0.74247669
 1.00675476 2.33464787 2.32939527 3.32241348 2.47115992 4.46811436]",1.8677
48,0.6932,0.7106,"[2.46099618 4.36756007 0.15945805 1.74118168 1.08082938 0.7383071
 1.01080395 2.33058294 2.33344173 3.31815731 2.47529188 4.46398206]",1.8699
49,0.6931,0.7167,"[2.46100067 4.3675726  0.1594493  1.74119247 1.08081991 0.7382934
 1.01080619 2.33057962 2.33344385 3.31804545 2.47530304 4.46397169]",1.8698
50,0.6932,0.6846,"[2.46124157 4.36822907 0.15897722 1.74185066 1.08043678 0.73756866
 1.01094169 2.33039596 2.33357105 3.31680262 2.47573649 4.46353015]",1.8687
51,0.6932,0.6789,"[2.4623636  4.36869832 0.15824077 1.74231067 1.07955987 0.73720882
 1.01231207 2.32915096 2.33496581 3.31721529 2.4765363  4.46274441]",1.8717
52,0.693,0.6824,"[2.46048768 4.3670451  0.15999319 1.74065781 1.08135862 0.73882434
 1.01038092 2.33105691 2.33303041 3.31851355 2.47476524 4.46451193]",1.8697
53,0.6932,0.6935,"[2.46438853 4.37072713 0.15620566 1.74433572 1.07752191 0.73518722
 1.01432688 2.32713112 2.33697986 3.31516325 2.47857732 4.46070529]",1.8731
54,0.6932,0.6816,"[2.46035391 4.36660994 0.16028228 1.74021585 1.08157845 0.73932221
 1.01030809 2.33115689 2.33296231 3.31935395 2.47451203 4.46477323]",1.8704
55,0.693,0.7073,"[2.46034986 4.36659216 0.16029237 1.74019683 1.08158308 0.73934128
 1.01030571 2.33115986 2.33296013 3.31930012 2.474507   4.46477966]",1.8704
56,0.6932,0.6823,"[2.45829311 4.36443234 0.1624048  1.7380365  1.08366952 0.7415115
 1.00827355 2.3332029  2.33093001 3.32141938 2.47241018 4.46688025]",1.8692
57,0.6932,0.6948,"[2.46229353 4.36843275 0.1584047  1.74203473 1.07966703 0.73751252
 1.01227359 2.32920264 2.33493007 3.31734544 2.47641322 4.46287811]",1.8717
58,0.6931,0.7155,"[2.46233035 4.36859927 0.15831047 1.74219948 1.07959707 0.73731686
 1.01229175 2.32917652 2.33494697 3.31670372 2.47649706 4.46279251]",1.8711
59,0.6932,0.6869,"[2.45807706 4.36386191 0.16282766 1.73745394 1.08400735 0.74214875
 1.00815153 2.33336812 2.33081553 3.32212788 2.47202858 4.46727102]",1.8698
60,0.6932,0.7051,"[2.46009279 4.36587075 0.16080691 1.73946244 1.08198359 0.74014333
 1.01016092 2.33135543 2.33282444 3.32018497 2.47405419 4.46524685]",1.8711
61,0.6931,0.6849,"[2.45802792 4.3636396  0.16295317 1.73722922 1.084092   0.74240749
 1.00812617 2.33340331 2.33079201 3.32270797 2.47192835 4.46737708]",1.8703
62,0.6932,0.6827,"[2.46349333 4.36871732 0.1577326  1.74230359 1.07878592 0.73737791
 1.01376318 2.32785186 2.33644561 3.31799167 2.47718803 4.46212543]",1.8752
63,0.6931,0.688,"[2.45744207 4.362591   0.16383087 1.73617322 1.08486553 0.74351929
 1.00773413 2.33389132 2.33041833 3.32404249 2.47109832 4.46821694]",1.8713
64,0.6932,0.6891,"[2.46111797 4.3656204  0.16049931 1.73919975 1.08139055 0.7405981
 1.0115557  2.33013482 2.33425122 3.32194126 2.47449823 4.46482984]",1.8755
65,0.6931,0.6929,"[2.46124523 4.36596691 0.1602482  1.73954603 1.08118511 0.7402165
 1.01162639 2.33003836 2.33431756 3.3212588  2.47473183 4.46459383]",1.8749
66,0.6928,0.7127,"[2.45934164 4.36429982 0.16203471 1.73787699 1.08301967 0.74183939
 1.00967759 2.33196729 2.33236542 3.32230386 2.4729243  4.466398  ]",1.8727
67,0.693,0.6689,"[2.45728829 4.36212409 0.16415095 1.73569911 1.08510706 0.74403813
 1.00764867 2.33400695 2.3303384  3.32461243 2.47082351 4.46850198]",1.8718
68,0.693,0.6772,"[2.4636694  4.3688931  0.15752222 1.74246631 1.07856494 0.73723443
 1.0138821  2.32770389 2.33655896 3.31763666 2.47741516 4.46190364]",1.8749
69,0.6932,0.6967,"[2.45772998 4.36308484 0.16339366 1.736657   1.08446203 0.74301825
 1.00791469 2.33365873 2.33058949 3.32311447 2.4715341  4.46778338]",1.8704
70,0.6932,0.7078,"[2.45594833 4.36182765 0.16490711 1.73540014 1.08608585 0.74417766
 1.00602908 2.33549849 2.32869624 3.32332336 2.46997138 4.46933733]",1.8677
71,0.6931,0.6822,"[2.46200475 4.36801224 0.15878502 1.741584   1.07998892 0.73796762
 1.01205922 2.32945661 2.33472446 3.31680556 2.47608379 4.4632234 ]",1.8709
72,0.6929,0.7266,"[2.46398872 4.37002012 0.15679313 1.74359257 1.07799879 0.73594474
 1.01404642 2.3274712  2.33671224 3.31457995 2.47807822 4.46123023]",1.8721
73,0.6932,0.7049,"[2.46181203 4.36762832 0.15910245 1.74119969 1.08025609 0.7383553
 1.01194148 2.32960943 2.33461343 3.31691263 2.47579548 4.46351895]",1.8709
74,0.693,0.7109,"[2.46178917 4.36756305 0.15914906 1.74113164 1.08029121 0.73843064
 1.01192854 2.32962687 2.33460132 3.31698809 2.47575566 4.46356045]",1.8709
75,0.6932,0.6859,"[2.45792701 4.36402843 0.16284634 1.73759746 1.08405589 0.74189786
 1.00800222 2.33352471 2.33067023 3.31968057 2.47202892 4.46728184]",1.8672
76,0.6932,0.6876,"[2.46191295 4.36791053 0.15890088 1.74147942 1.08008687 0.7380378
 1.01199683 2.32953321 2.33466541 3.31604376 2.4759895  4.46332482]",1.8701
77,0.6927,0.6674,"[2.46370191 4.36932692 0.15731707 1.74289253 1.07841856 0.73668168
 1.01387782 2.32769393 2.33655376 3.31506814 2.47761447 4.46170841]",1.8724
78,0.6932,0.703,"[2.45980635 4.36565032 0.16109544 1.73921826 1.08224092 0.74030892
 1.00993411 2.33161574 2.33260651 3.31819886 2.47382014 4.46550034]",1.8688
79,0.6931,0.6863,"[2.457819   4.36376788 0.16304014 1.73733343 1.08420555 0.74216773
 1.00793742 2.33360916 2.33060934 3.31966488 2.47186629 4.46745276]",1.8671
80,0.6932,0.7029,"[2.46352263 4.36891594 0.15763622 1.74248091 1.07867519 0.73710133
 1.01377181 2.32783312 2.33645416 3.31517319 2.47733391 4.46199849]",1.8724
81,0.6932,0.7043,"[2.46527848 4.37016328 0.15614837 1.74372398 1.07707492 0.73594828
 1.01563813 2.32601623 2.338329   3.31478979 2.47887512 4.46046737]",1.8753
82,0.6931,0.7031,"[2.45926872 4.36421286 0.16213987 1.7377708  1.08307621 0.74188314
 1.00962919 2.33202645 2.33232037 3.32037358 2.47287938 4.46646274]",1.8707
83,0.6931,0.7131,"[2.45541469 4.36065895 0.16583652 1.73421559 1.08683534 0.74538449
 1.00570902 2.33591696 2.32839516 3.32326764 2.4691558  4.4701819 ]",1.8674
84,0.6931,0.7016,"[2.46145962 4.36681404 0.15973746 1.74036816 1.08075768 0.73921111
 1.01173282 2.3298839  2.33441742 3.31681388 2.47524602 4.46409034]",1.8706
