epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.8267,0.4035,"[2.61523004 4.52093519 0.00571725 1.9046058  0.92709351 0.58517883
 1.17528751 2.17622134 2.49796096 3.3884726  2.62888124 4.30036267
 1.28960915 5.52237358 0.17707994 4.20767402 2.62700194 3.50535392]",15.1162
1,0.7254,0.59,"[2.61023737 4.51594291 0.01071452 1.90959441 0.93209173 0.59017579
 1.17815696 2.18121995 2.50295545 3.38350614 2.62388943 4.29536552
 1.29460445 5.52737189 0.18207708 4.20267812 2.63199971 3.50035899]",15.3551
2,0.6666,0.8491,"[2.61125764 4.51696758 0.00970703 1.90856308 0.93108694 0.58916774
 1.1793717  2.18021616 2.50193992 3.38454913 2.6249108  4.29637306
 1.29359103 5.52636755 0.18106907 4.2036887  2.63099416 3.50137395]",15.3177
3,0.6465,1.1611,"[2.61625426e+00 4.52196266e+00 4.70832688e-03 1.90356881e+00
 9.26087739e-01 5.84169062e-01 1.18435066e+00 2.17521679e+00
 2.49694270e+00 3.38954297e+00 2.62990702e+00 4.30137178e+00
 1.28859346e+00 5.52136824e+00 1.76070489e-01 4.20868699e+00
 2.62599502e+00 3.50637115e+00]",15.1261
4,0.6464,1.1265,"[ 2.62125206e+00  4.52695965e+00 -2.90793266e-04  1.89857254e+00
  9.21088280e-01  5.79169971e-01  1.18933397e+00  2.17021722e+00
  2.49194459e+00  3.39453802e+00  2.63490435e+00  4.30637088e+00
  1.28359506e+00  5.51636871e+00  1.71071460e-01  4.21368584e+00
  2.62099561e+00  3.51136929e+00]",14.9342
5,0.6474,1.1752,"[ 2.62624993e+00  4.53195697e+00 -5.28989802e-03  1.89357617e+00
  9.16088831e-01  5.74170912e-01  1.19431046e+00  2.16521766e+00
  2.48694649e+00  3.39953131e+00  2.63990151e+00  4.31136994e+00
  1.27859664e+00  5.51136920e+00  1.66072447e-01  4.21868464e+00
  2.61599623e+00  3.51636749e+00]",14.742
6,0.6464,1.137,"[ 2.6312478   4.53695448 -0.01028896  1.88857982  0.91108941  0.56917191
  1.19927203  2.16021812  2.48194845  3.40452082  2.64489839  4.31636891
  1.27359824  5.50636972  0.16107348  4.22368338  2.61099689  3.5213657 ]",14.5498
7,0.6454,1.1849,"[ 2.63624587  4.54195235 -0.01528807  1.88358314  0.90608995  0.56417287
  1.2041989   2.15521855  2.47695029  3.40950262  2.6498953   4.32136792
  1.2685997   5.50137022  0.15607445  4.22868217  2.60599753  3.52636406]",14.3576
8,0.6528,1.1274,"[ 2.64124399  4.54695037 -0.02028717  1.87858641  0.90109051  0.55917386
  1.20498463  2.15021898  2.47195213  3.41052857  2.65489196  4.32636687
  1.26360115  5.49637074  0.15107544  4.23368093  2.6009982   3.53136246]",14.1427
9,0.6475,1.1224,"[ 2.64624207  4.55194843 -0.02528621  1.87358985  0.8960911   0.55417491
  1.20006006  2.14521945  2.46695403  3.40556527  2.65988833  4.33136572
  1.25860266  5.49137129  0.14607647  4.23867959  2.59599894  3.53636084]",13.8948
