epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
42,0.6931,0.7366,"[3.3849262  4.55834258 0.3102487  2.12355461 0.6125826  0.28572186
 0.86099714 1.86173537 2.18352604]",0.4954
43,0.6932,0.6967,"[3.38659491 4.56017984 0.31220112 2.12550996 0.61061989 0.28732016
 0.8591204  1.8597736  2.18154987]",0.4928
44,0.6932,0.724,"[3.38536278 4.55490242 0.30650408 2.11978828 0.61637878 0.28260183
 0.86449729 1.86552736 2.18738884]",0.499
45,0.6933,0.7098,"[3.38978882 4.55668177 0.30832676 2.12161989 0.61453221 0.28454266
 0.86272154 1.86368389 2.18550393]",0.4948
46,0.6932,0.7023,"[3.39194463 4.55784967 0.30991938 2.12324182 0.61286555 0.28536817
 0.86145593 1.862025   2.18373734]",0.4923
47,0.6933,0.711,"[3.39228851 4.55762893 0.30985115 2.1231784  0.61291884 0.28489576
 0.86162671 1.86207964 2.18377154]",0.4924
48,0.693,0.6676,"[3.39179399 4.55556519 0.30784084 2.12116665 0.61492769 0.28270501
 0.86366331 1.86408833 2.18577661]",0.4948
49,0.6933,0.7069,"[3.39485798 4.55748646 0.30982128 2.12314673 0.61294381 0.28452154
 0.8617162  1.86210458 2.18378668]",0.4913
50,0.6931,0.6896,"[3.39445989 4.55193729 0.30400827 2.11731573 0.61879708 0.27930376
 0.86732515 1.86795406 2.18968874]",0.4976
51,0.693,0.6736,"[3.40584482 4.55016624 0.30206965 2.11536904 0.62075226 0.27790612
 0.86914906 1.86990785 2.19166117]",0.4941
52,0.6932,0.6804,"[3.41672141 4.55017533 0.30207569 2.11537076 0.62074985 0.27793504
 0.86912973 1.86990453 2.19165927]",0.4889
53,0.6933,0.6799,"[3.42393327 4.55244551 0.30418574 2.11746439 0.61866793 0.28031764
 0.86688373 1.86781865 2.18960429]",0.4829
54,0.6933,0.7176,"[3.42877327 4.55630146 0.30814205 2.12142474 0.61470136 0.28410298
 0.8629957  1.8638534  2.18562612]",0.4764
55,0.6927,0.7258,"[3.43184646 4.55815627 0.3100965  2.12338338 0.61273633 0.28589396
 0.86110943 1.86188973 2.18364904]",0.473
56,0.6932,0.6621,"[3.43270903 4.55797168 0.31003508 2.12332936 0.61278255 0.28563711
 0.86126105 1.86193823 2.18367976]",0.4728
57,0.6929,0.6503,"[3.43383433 4.55611302 0.30808775 2.12137169 0.61474535 0.28385769
 0.86312967 1.86389861 2.18565492]",0.4742
58,0.6933,0.7199,"[3.43707019 4.55375008 0.30591911 2.11921599 0.61688076 0.2814552
 0.86544201 1.86603741 2.18774759]",0.4751
59,0.6934,0.6718,"[3.4429719  4.55031537 0.30213332 2.11540239 0.62071949 0.27822653
 0.86895518 1.86986956 2.19164037]",0.4765
60,0.6931,0.6616,"[3.44940681 4.55208403 0.30402086 2.1173017  0.61880784 0.27998827
 0.86716183 1.86796155 2.18970199]",0.4715
61,0.6932,0.6802,"[3.45501814 4.55430526 0.30613882 2.1194003  0.61671942 0.28223628
 0.864941   1.86586776 2.18763918]",0.4666
62,0.6933,0.7187,"[3.45853135 4.55261713 0.30430119 2.11754005 0.61859486 0.28058872
 0.86664226 1.86773707 2.18955121]",0.467
63,0.6931,0.7128,"[3.46148107 4.55255566 0.30428458 2.11752349 0.61860846 0.28052299
 0.86668366 1.86775091 2.18955999]",0.4657
64,0.6932,0.6892,"[3.46485618 4.55278742 0.30441462 2.11763482 0.61850885 0.28077668
 0.86645348 1.8676462  2.18948921]",0.464
65,0.6933,0.6826,"[3.46798028 4.5510864  0.30253992 2.11573926 0.62041716 0.27912718
 0.86817727 1.86954909 2.19142664]",0.4647
66,0.6932,0.6905,"[3.47054173 4.55256728 0.30433883 2.11756842 0.61856601 0.28054704
 0.86663161 1.86770674 2.18952844]",0.4617
67,0.6933,0.719,"[3.47578382 4.55636476 0.30827255 2.12151139 0.61461486 0.2843229
 0.86279887 1.86375839 2.18556107]",0.4554
68,0.6932,0.7052,"[3.47648532 4.55617382 0.30820847 2.12145707 0.61466165 0.28411541
 0.86296042 1.86380822 2.18559263]",0.4552
69,0.6932,0.6841,"[3.47792843 4.55778361 0.31006289 2.12333679 0.61276664 0.28568841
 0.8613091  1.86192084 2.18366463]",0.4529
70,0.6932,0.7029,"[3.47832884 4.55571504 0.30804298 2.12131776 0.61478253 0.28361841
 0.86335819 1.86393721 2.18567504]",0.4547
71,0.6931,0.6898,"[3.47838376 4.55710584 0.30982293 2.12313684 0.6129401  0.28494723
 0.86190189 1.86210614 2.18378223]",0.4531
72,0.6931,0.6669,"[3.47818335 4.55311707 0.30583023 2.11914046 0.61693641 0.28096875
 0.86588167 1.86610173 2.18777959]",0.4573
73,0.6932,0.6736,"[3.47909318 4.55477569 0.307713   2.12104406 0.61502003 0.28259724
 0.8641827  1.86419154 2.18583622]",0.455
74,0.6933,0.7053,"[3.48171959 4.55473564 0.30770306 2.12103391 0.61502833 0.2825602
 0.86420888 1.86420009 2.18584167]",0.454
75,0.6933,0.7047,"[3.48478499 4.55438122 0.30756042 2.12091456 0.61513282 0.28218873
 0.86452712 1.86431161 2.18591378]",0.4529
76,0.6933,0.7132,"[3.48893491 4.55447071 0.30759625 2.12094116 0.61510906 0.28229182
 0.86443533 1.86428556 2.18589747]",0.4511
77,0.6933,0.7046,"[3.49587946 4.55991947 0.31338445 2.12676888 0.60926011 0.28772749
 0.85893978 1.85844842 2.18000175]",0.4429
78,0.6933,0.7127,"[3.49515834 4.55948262 0.3132219  2.12663787 0.60937487 0.28728069
 0.85934157 1.85857269 2.18008082]",0.4435
79,0.6932,0.6972,"[3.49710804 4.55676572 0.30987759 2.1231825  0.61288461 0.28459983
 0.8621026  1.8620481  2.18372375]",0.4455
