v,v_eff,m,t
"[[2.64067293e-05]
 [3.56831803e-05]
 [6.58631370e-08]
 [1.24089015e-07]
 [1.52561924e-05]
 [1.26315639e-05]
 [7.57932840e-05]
 [1.88476854e-05]
 [7.23686421e-06]
 [4.12425267e-05]
 [1.75028900e-07]
 [4.70691505e-06]
 [6.57703706e-06]
 [7.65869177e-06]
 [1.53001431e-05]
 [3.33314712e-05]
 [2.62158468e-05]
 [6.10817264e-05]
 [1.29789864e-06]
 [3.07335667e-05]
 [1.51114651e-06]
 [1.49170613e-06]
 [1.41784122e-05]
 [3.05728475e-06]]","[[2.64067293e-05]
 [3.56831803e-05]
 [6.58631370e-08]
 [1.24089015e-07]
 [1.52561924e-05]
 [1.26315639e-05]
 [7.57932840e-05]
 [1.88476854e-05]
 [7.23686421e-06]
 [4.12425267e-05]
 [1.75028900e-07]
 [4.70691505e-06]
 [6.57703706e-06]
 [7.65869177e-06]
 [1.53001431e-05]
 [3.33314712e-05]
 [2.62158468e-05]
 [6.10817264e-05]
 [1.29789864e-06]
 [3.07335667e-05]
 [1.51114651e-06]
 [1.49170613e-06]
 [1.41784122e-05]
 [3.05728475e-06]]","[[-0.01541624]
 [ 0.01792062]
 [-0.00076991]
 [-0.00105679]
 [-0.01171775]
 [ 0.01066227]
 [-0.0261178 ]
 [ 0.01302418]
 [ 0.00807043]
 [-0.0192661 ]
 [ 0.00125509]
 [ 0.00650863]
 [-0.00769372]
 [ 0.0083023 ]
 [ 0.01173462]
 [-0.01732002]
 [ 0.01536042]
 [-0.02344644]
 [-0.00341776]
 [ 0.01663136]
 [ 0.00368786]
 [ 0.00366406]
 [ 0.01129627]
 [-0.00524553]]",1
"[[2.36360565e-05]
 [2.92282325e-05]
 [1.00393132e-08]
 [1.98058798e-07]
 [1.29610779e-05]
 [1.00520804e-05]
 [6.54576406e-05]
 [1.69498181e-05]
 [6.05705300e-06]
 [3.55265600e-05]
 [3.47143518e-07]
 [3.36049651e-06]
 [5.15050416e-06]
 [6.78428899e-06]
 [1.28800579e-05]
 [2.79752787e-05]
 [2.29417671e-05]
 [5.19619374e-05]
 [1.31932017e-06]
 [2.71043058e-05]
 [1.17159753e-06]
 [1.12486432e-06]
 [1.07878361e-05]
 [2.36194161e-06]]","[[2.36360565e-05]
 [2.92282325e-05]
 [1.00393132e-08]
 [1.98058798e-07]
 [1.29610779e-05]
 [1.00520804e-05]
 [6.54576406e-05]
 [1.69498181e-05]
 [6.05705300e-06]
 [3.55265600e-05]
 [3.47143518e-07]
 [3.36049651e-06]
 [5.15050416e-06]
 [6.78428899e-06]
 [1.28800579e-05]
 [2.79752787e-05]
 [2.29417671e-05]
 [5.19619374e-05]
 [1.31932017e-06]
 [2.71043058e-05]
 [1.17159753e-06]
 [1.12486432e-06]
 [1.07878361e-05]
 [2.36194161e-06]]","[[-0.01458508]
 [ 0.01621894]
 [-0.00030059]
 [-0.00133511]
 [-0.01080045]
 [ 0.0095115 ]
 [-0.02427177]
 [ 0.01235105]
 [ 0.00738332]
 [-0.01788125]
 [ 0.00176757]
 [ 0.0054995 ]
 [-0.00680842]
 [ 0.007814  ]
 [ 0.01076664]
 [-0.0158675 ]
 [ 0.01436927]
 [-0.02162539]
 [-0.00344585]
 [ 0.01561854]
 [ 0.00324721]
 [ 0.00318179]
 [ 0.00985345]
 [-0.00461058]]",1
"[[2.02466150e-05]
 [2.29581623e-05]
 [7.92962896e-10]
 [2.53017765e-07]
 [1.05354102e-05]
 [7.68205110e-06]
 [5.41959495e-05]
 [1.45875433e-05]
 [4.85736976e-06]
 [2.93107495e-05]
 [5.03342458e-07]
 [2.28316583e-06]
 [3.86650322e-06]
 [5.74960581e-06]
 [1.03934903e-05]
 [2.25376357e-05]
 [1.92345367e-05]
 [4.24161993e-05]
 [1.26356590e-06]
 [2.28418905e-05]
 [8.64711411e-07]
 [8.12197486e-07]
 [7.86698956e-06]
 [1.75028111e-06]]","[[2.02466150e-05]
 [2.29581623e-05]
 [7.92962896e-10]
 [2.53017765e-07]
 [1.05354102e-05]
 [7.68205110e-06]
 [5.41959495e-05]
 [1.45875433e-05]
 [4.85736976e-06]
 [2.93107495e-05]
 [5.03342458e-07]
 [2.28316583e-06]
 [3.86650322e-06]
 [5.74960581e-06]
 [1.03934903e-05]
 [2.25376357e-05]
 [1.92345367e-05]
 [4.24161993e-05]
 [1.26356590e-06]
 [2.28418905e-05]
 [8.64711411e-07]
 [8.12197486e-07]
 [7.86698956e-06]
 [1.75028111e-06]]","[[-1.34988716e-02]
 [ 1.43744030e-02]
 [ 8.44787906e-05]
 [-1.50902614e-03]
 [-9.73748898e-03]
 [ 8.31495399e-03]
 [-2.20853695e-02]
 [ 1.14580928e-02]
 [ 6.61183241e-03]
 [-1.62418209e-02]
 [ 2.12839896e-03]
 [ 4.53304451e-03]
 [-5.89902780e-03]
 [ 7.19350070e-03]
 [ 9.67168096e-03]
 [-1.42421460e-02]
 [ 1.31571589e-02]
 [-1.95383160e-02]
 [-3.37225341e-03]
 [ 1.43379571e-02]
 [ 2.78969581e-03]
 [ 2.70366000e-03]
 [ 8.41444627e-03]
 [-3.96894571e-03]]",1
"[2.39992213e-05 1.27081687e-06 3.13394960e-06 ... 1.59824741e-04
 2.19437017e-04 2.40536311e-02]","[2.39992213e-05 1.27081687e-06 3.13394960e-06 ... 1.59824741e-04
 2.19437017e-04 2.40536311e-02]","[ 0.0146967   0.00338192 -0.00531089 ... -0.03792654 -0.04444022
  0.46527699]",1
"[[1.63678826e-05]
 [1.70920544e-05]
 [1.75616756e-08]
 [2.67358960e-07]
 [8.05855837e-06]
 [5.53405475e-06]
 [4.24751285e-05]
 [1.18513860e-05]
 [3.66705565e-06]
 [2.29153008e-05]
 [5.93849249e-07]
 [1.46465833e-06]
 [2.70991354e-06]
 [4.56783642e-06]
 [7.90179477e-06]
 [1.72404651e-05]
 [1.52456251e-05]
 [3.28535066e-05]
 [1.10420811e-06]
 [1.81538565e-05]
 [5.84850708e-07]
 [5.52749815e-07]
 [5.42420322e-06]
 [1.23045801e-06]]","[[1.63678826e-05]
 [1.70920544e-05]
 [1.75616756e-08]
 [2.67358960e-07]
 [8.05855837e-06]
 [5.53405475e-06]
 [4.24751285e-05]
 [1.18513860e-05]
 [3.66705565e-06]
 [2.29153008e-05]
 [5.93849249e-07]
 [1.46465833e-06]
 [2.70991354e-06]
 [4.56783642e-06]
 [7.90179477e-06]
 [1.72404651e-05]
 [1.52456251e-05]
 [3.28535066e-05]
 [1.10420811e-06]
 [1.81538565e-05]
 [5.84850708e-07]
 [5.52749815e-07]
 [5.42420322e-06]
 [1.23045801e-06]]","[[-0.01213717]
 [ 0.01240276]
 [ 0.00039756]
 [-0.0015512 ]
 [-0.00851628]
 [ 0.00705737]
 [-0.01955188]
 [ 0.01032775]
 [ 0.00574487]
 [-0.01436098]
 [ 0.00231185]
 [ 0.00363069]
 [-0.00493854]
 [ 0.00641175]
 [ 0.00843304]
 [-0.01245649]
 [ 0.01171369]
 [-0.01719539]
 [-0.00315244]
 [ 0.0127822 ]
 [ 0.00229427]
 [ 0.00223041]
 [ 0.00698698]
 [-0.00332778]]",1
"[[1.21923741e-05]
 [1.17598320e-05]
 [3.92559989e-08]
 [2.44884285e-07]
 [5.68532090e-06]
 [3.68935845e-06]
 [3.07285324e-05]
 [8.87050715e-06]
 [2.55668160e-06]
 [1.65266981e-05]
 [5.91655904e-07]
 [8.62800885e-07]
 [1.75430195e-06]
 [3.34516748e-06]
 [5.55037758e-06]
 [1.21909157e-05]
 [1.11454178e-05]
 [2.35089043e-05]
 [8.81829319e-07]
 [1.32862859e-05]
 [3.62420796e-07]
 [3.47189348e-07]
 [3.45633478e-06]
 [8.00011891e-07]]","[[1.21923741e-05]
 [1.17598320e-05]
 [3.92559989e-08]
 [2.44884285e-07]
 [5.68532090e-06]
 [3.68935845e-06]
 [3.07285324e-05]
 [8.87050715e-06]
 [2.55668160e-06]
 [1.65266981e-05]
 [5.91655904e-07]
 [8.62800885e-07]
 [1.75430195e-06]
 [3.34516748e-06]
 [5.55037758e-06]
 [1.21909157e-05]
 [1.11454178e-05]
 [2.35089043e-05]
 [8.81829319e-07]
 [1.32862859e-05]
 [3.62420796e-07]
 [3.47189348e-07]
 [3.45633478e-06]
 [8.00011891e-07]]","[[-0.01047527]
 [ 0.01028778]
 [ 0.00059439]
 [-0.00148457]
 [-0.00715317]
 [ 0.00576231]
 [-0.01663   ]
 [ 0.00893502]
 [ 0.00479689]
 [-0.01219591]
 [ 0.00230758]
 [ 0.00278661]
 [-0.0039735 ]
 [ 0.00548694]
 [ 0.00706777]
 [-0.01047465]
 [ 0.01001543]
 [-0.01454579]
 [-0.00281717]
 [ 0.01093511]
 [ 0.00180604]
 [ 0.00176768]
 [ 0.00557737]
 [-0.0026833 ]]",1
"[[8.01666026e-06]
 [7.16519062e-06]
 [4.91759019e-08]
 [1.89727339e-07]
 [3.54585721e-06]
 [2.18147702e-06]
 [1.96569589e-05]
 [5.85898627e-06]
 [1.57757260e-06]
 [1.05341908e-05]
 [4.90384616e-07]
 [4.47210644e-07]
 [1.00578863e-06]
 [2.16390636e-06]
 [3.45202352e-06]
 [7.63297753e-06]
 [7.19883233e-06]
 [1.48856026e-05]
 [6.17476899e-07]
 [8.58122806e-06]
 [1.97394023e-07]
 [1.92890397e-07]
 [1.95065769e-06]
 [4.61033930e-07]]","[[8.01666026e-06]
 [7.16519062e-06]
 [4.91759019e-08]
 [1.89727339e-07]
 [3.54585721e-06]
 [2.18147702e-06]
 [1.96569589e-05]
 [5.85898627e-06]
 [1.57757260e-06]
 [1.05341908e-05]
 [4.90384616e-07]
 [4.47210644e-07]
 [1.00578863e-06]
 [2.16390636e-06]
 [3.45202352e-06]
 [7.63297753e-06]
 [7.19883233e-06]
 [1.48856026e-05]
 [6.17476899e-07]
 [8.58122806e-06]
 [1.97394023e-07]
 [1.92890397e-07]
 [1.95065769e-06]
 [4.61033930e-07]]","[[-0.00849411]
 [ 0.00803036]
 [ 0.00066527]
 [-0.00130673]
 [-0.00564913]
 [ 0.00443095]
 [-0.01330085]
 [ 0.0072616 ]
 [ 0.00376804]
 [-0.00973693]
 [ 0.00210082]
 [ 0.00200621]
 [-0.00300867]
 [ 0.00441307]
 [ 0.00557389]
 [-0.00828835]
 [ 0.00804919]
 [-0.01157456]
 [-0.00235739]
 [ 0.00878812]
 [ 0.00133287]
 [ 0.00131758]
 [ 0.00418998]
 [-0.00203698]]",1
"[1.00186322e-05 1.97985192e-07 1.19984005e-06 ... 6.67109345e-05
 8.26440222e-05 9.27131209e-03]","[1.00186322e-05 1.97985192e-07 1.19984005e-06 ... 6.67109345e-05
 8.26440222e-05 9.27131209e-03]","[ 0.00949567  0.00133487 -0.00328612 ... -0.02450303 -0.02727263
  0.28886296]",1
"[[4.28688655e-06]
 [3.56512528e-06]
 [4.06588885e-08]
 [1.15797501e-07]
 [1.80291883e-06]
 [1.05552557e-06]
 [1.02456494e-05]
 [3.14597447e-06]
 [7.94487118e-07]
 [5.46938600e-06]
 [3.16249797e-07]
 [1.88446579e-07]
 [4.71583006e-07]
 [1.13965735e-06]
 [1.75311723e-06]
 [3.90019028e-06]
 [3.78526576e-06]
 [7.68510948e-06]
 [3.49625762e-07]
 [4.50850667e-06]
 [8.73754219e-08]
 [8.74874703e-08]
 [8.99866222e-07]
 [2.17307867e-07]]","[[4.28688655e-06]
 [3.56512528e-06]
 [4.06588885e-08]
 [1.15797501e-07]
 [1.80291883e-06]
 [1.05552557e-06]
 [1.02456494e-05]
 [3.14597447e-06]
 [7.94487118e-07]
 [5.46938600e-06]
 [3.16249797e-07]
 [1.88446579e-07]
 [4.71583006e-07]
 [1.13965735e-06]
 [1.75311723e-06]
 [3.90019028e-06]
 [3.78526576e-06]
 [7.68510948e-06]
 [3.49625762e-07]
 [4.50850667e-06]
 [8.73754219e-08]
 [8.74874703e-08]
 [8.99866222e-07]
 [2.17307867e-07]]","[[-0.00621144]
 [ 0.00566446]
 [ 0.00060492]
 [-0.00102087]
 [-0.00402818]
 [ 0.00308216]
 [-0.00960265]
 [ 0.00532107]
 [ 0.00267402]
 [-0.00701602]
 [ 0.00168708]
 [ 0.00130231]
 [-0.00206016]
 [ 0.00320264]
 [ 0.00397216]
 [-0.00592467]
 [ 0.00583673]
 [-0.00831661]
 [-0.00177387]
 [ 0.00636997]
 [ 0.00088678]
 [ 0.00088735]
 [ 0.00284584]
 [-0.00139849]]",1
"[[1.46013116e-06]
 [1.13447003e-06]
 [1.90362025e-08]
 [4.39677119e-08]
 [5.85419811e-07]
 [3.27305321e-07]
 [3.40730254e-06]
 [1.07544365e-06]
 [2.55765216e-07]
 [1.81156887e-06]
 [1.25719819e-07]
 [5.05626275e-08]
 [1.41668118e-07]
 [3.82755706e-07]
 [5.69378190e-07]
 [1.27341531e-06]
 [1.26887590e-06]
 [2.53301367e-06]
 [1.25487687e-07]
 [1.50942582e-06]
 [2.46460863e-08]
 [2.53707480e-08]
 [2.65742858e-07]
 [6.56093707e-08]]","[[1.46013116e-06]
 [1.13447003e-06]
 [1.90362025e-08]
 [4.39677119e-08]
 [5.85419811e-07]
 [3.27305321e-07]
 [3.40730254e-06]
 [1.07544365e-06]
 [2.55765216e-07]
 [1.81156887e-06]
 [1.25719819e-07]
 [5.05626275e-08]
 [1.41668118e-07]
 [3.82755706e-07]
 [5.69378190e-07]
 [1.27341531e-06]
 [1.26887590e-06]
 [2.53301367e-06]
 [1.25487687e-07]
 [1.50942582e-06]
 [2.46460863e-08]
 [2.53707480e-08]
 [2.65742858e-07]
 [6.56093707e-08]]","[[-0.00362508]
 [ 0.00319535]
 [ 0.00041392]
 [-0.00062905]
 [-0.00229538]
 [ 0.00171632]
 [-0.00553766]
 [ 0.00311111]
 [ 0.0015172 ]
 [-0.00403784]
 [ 0.00106371]
 [ 0.00067458]
 [-0.00112916]
 [ 0.00185602]
 [ 0.00226371]
 [-0.00338537]
 [ 0.00337933]
 [-0.00477463]
 [-0.00106273]
 [ 0.00368576]
 [ 0.00047097]
 [ 0.00047785]
 [ 0.00154651]
 [-0.00076843]]",1
