epoch,loss_discriminator,loss_generator,params_generator,rel_entropy
0,0.6624,1.5126,"[ 2.62322588e+00  4.52893139e+00 -2.28110268e-03  1.89661267e+00
  9.19094618e-01  5.77180762e-01  1.17329937e+00  2.16822221e+00
  2.48996409e+00  3.38848397e+00  2.63687604e+00  4.30836083e+00
  1.28161185e+00  5.51437471e+00  1.69081605e-01  4.21567127e+00
  2.61900357e+00  3.51335115e+00]",14.7596
1,0.6525,1.3309,"[ 2.62622509e+00  4.53193038e+00 -5.28077494e-03  1.89361403e+00
  9.16094822e-01  5.74181095e-01  1.17628661e+00  2.16522237e+00
  2.48696476e+00  3.39148183e+00  2.63987505e+00  4.31136049e+00
  1.27861244e+00  5.51137489e+00  1.66081960e-01  4.21867084e+00
  2.61600380e+00  3.51635046e+00]",14.6426
2,0.6467,1.1704,"[ 2.62922407  4.53492916 -0.00828034  1.89061581  0.91309509  0.57118154
  1.17926138  2.16222258  2.48396563  3.39447821  2.64287369  4.31436003
  1.27561321  5.50837512  0.16308243  4.22167025  2.6130041   3.51934959]",14.5256
3,0.6511,1.1339,"[ 2.63222286  4.53792779 -0.01127981  1.88761795  0.91009542  0.5681821
  1.18219834  2.15922284  2.48096669  3.39747222  2.64587197  4.31735945
  1.27261413  5.50537542  0.160083    4.22466953  2.61000448  3.52234857]",14.4084
4,0.6429,1.1748,"[ 2.63522173  4.54092653 -0.0142793   1.88461997  0.90709575  0.56518264
  1.18363803  2.1562231   2.4779677   3.40046435  2.64887026  4.32035888
  1.26961501  5.5023757   0.15708355  4.22766883  2.60700485  3.5253476 ]",14.2815
5,0.6432,1.1313,"[ 2.6382206   4.54392532 -0.01727877  1.881622    0.90409608  0.56218319
  1.18071336  2.15322336  2.47496873  3.40345099  2.65186846  4.32335829
  1.26661589  5.499376    0.15408412  4.2306681   2.60400524  3.52834662]",14.1255
6,0.6488,1.1419,"[ 2.64121952  4.54692421 -0.02027825  1.87862395  0.9010964   0.55918373
  1.1777405   2.15022361  2.47196971  3.40642163  2.65486666  4.3263577
  1.26361674  5.49637629  0.15108467  4.23366739  2.60100563  3.53134569]",13.9686
7,0.6506,1.0975,"[ 2.64421844  4.54992313 -0.02327773  1.87562593  0.89809673  0.55618428
  1.17475815  2.14722387  2.4689707   3.4053636   2.65786477  4.32935709
  1.2606176   5.49337659  0.14808522  4.23666666  2.59800603  3.53434474]",13.8158
8,0.6533,1.1169,"[ 2.64721742  4.55292212 -0.02627722  1.87262785  0.89509706  0.55318482
  1.17177167  2.14422412  2.46597164  3.40238768  2.66086292  4.33235649
  1.25761842  5.49037688  0.14508576  4.23966594  2.59500642  3.53734384]",13.6645
9,0.6532,1.0782,"[ 2.65021636  4.5559211  -0.02927668  1.86962988  0.8920974   0.55018538
  1.16878362  2.14122439  2.46297261  3.39940053  2.66386095  4.33535584
  1.25461929  5.48737719  0.14208632  4.24266518  2.59200685  3.54034292]",13.5123
10,0.6519,1.1142,"[ 2.65321538  4.55892016 -0.03227616  1.86663182  0.88909773  0.54718592
  1.16579355  2.13822464  2.45997353  3.39640931  2.66685905  4.33835521
  1.25162012  5.48437749  0.13908685  4.24566444  2.58900726  3.54334205]",13.3594
11,0.6578,1.0732,"[ 2.65621439  4.56191923 -0.03527563  1.86363381  0.88609807  0.54418647
  1.1628026   2.1352249   2.45697446  3.39341611  2.6698571   4.34135456
  1.24862096  5.4813778   0.13608739  4.24866368  2.58600769  3.54634118]",13.2057
