v,v_eff,m,t
"[[2.38289822e-05]
 [1.25119307e-05]
 [1.55009465e-04]
 [8.68066854e-06]
 [4.02348467e-04]
 [1.54469884e-04]
 [1.79752324e-07]
 [6.44500148e-04]
 [3.70828701e-05]
 [5.77692496e-06]
 [1.79043356e-05]
 [1.52739901e-04]
 [4.47920082e-05]
 [5.62972284e-04]
 [1.30908720e-04]
 [9.09971328e-05]
 [3.56659379e-04]
 [3.12763443e-05]]","[[2.38289822e-05]
 [1.25119307e-05]
 [1.55009465e-04]
 [8.68066854e-06]
 [4.02348467e-04]
 [1.54469884e-04]
 [1.79752324e-07]
 [6.44500148e-04]
 [3.70828701e-05]
 [5.77692496e-06]
 [1.79043356e-05]
 [1.52739901e-04]
 [4.47920082e-05]
 [5.62972284e-04]
 [1.30908720e-04]
 [9.09971328e-05]
 [3.56659379e-04]
 [3.12763443e-05]]","[[-0.01464448]
 [-0.01061166]
 [ 0.03735084]
 [ 0.00883889]
 [ 0.06017588]
 [ 0.03728577]
 [-0.00127192]
 [ 0.07616102]
 [ 0.01826871]
 [-0.00721057]
 [-0.01269405]
 [-0.0370764 ]
 [ 0.02007805]
 [ 0.07118111]
 [ 0.0343246 ]
 [-0.02861773]
 [ 0.05665628]
 [-0.01677758]]",1
"[[2.12405838e-05]
 [1.15994659e-05]
 [1.34751363e-04]
 [7.59812984e-06]
 [3.49554487e-04]
 [1.33419890e-04]
 [1.40614815e-07]
 [5.60355754e-04]
 [3.23405144e-05]
 [4.55253211e-06]
 [1.53071711e-05]
 [1.30866392e-04]
 [3.93956437e-05]
 [4.85428502e-04]
 [1.13923901e-04]
 [7.86118904e-05]
 [3.06057171e-04]
 [2.79338417e-05]]","[[2.12405838e-05]
 [1.15994659e-05]
 [1.34751363e-04]
 [7.59812984e-06]
 [3.49554487e-04]
 [1.33419890e-04]
 [1.40614815e-07]
 [5.60355754e-04]
 [3.23405144e-05]
 [4.55253211e-06]
 [1.53071711e-05]
 [1.30866392e-04]
 [3.93956437e-05]
 [4.85428502e-04]
 [1.13923901e-04]
 [7.86118904e-05]
 [3.06057171e-04]
 [2.79338417e-05]]","[[-0.01382625]
 [-0.0102174 ]
 [ 0.03482474]
 [ 0.00826941]
 [ 0.05608913]
 [ 0.03465226]
 [-0.00112496]
 [ 0.0710155 ]
 [ 0.01706062]
 [-0.006401  ]
 [-0.01173731]
 [-0.03431905]
 [ 0.01882978]
 [ 0.06609733]
 [ 0.03202054]
 [-0.026599  ]
 [ 0.05248347]
 [-0.01585574]]",1
"[[1.87991215e-05]
 [1.06779160e-05]
 [1.16346856e-04]
 [6.60837832e-06]
 [3.01567492e-04]
 [1.14415397e-04]
 [1.07337831e-07]
 [4.83822352e-04]
 [2.80266228e-05]
 [3.53306431e-06]
 [1.29917944e-05]
 [1.11337979e-04]
 [3.44343762e-05]
 [4.15445373e-04]
 [9.85036332e-05]
 [6.74124049e-05]
 [2.60598238e-04]
 [2.47948598e-05]]","[[1.87991215e-05]
 [1.06779160e-05]
 [1.16346856e-04]
 [6.60837832e-06]
 [3.01567492e-04]
 [1.14415397e-04]
 [1.07337831e-07]
 [4.83822352e-04]
 [2.80266228e-05]
 [3.53306431e-06]
 [1.29917944e-05]
 [1.11337979e-04]
 [3.44343762e-05]
 [4.15445373e-04]
 [9.85036332e-05]
 [6.74124049e-05]
 [2.60598238e-04]
 [2.47948598e-05]]","[[-0.01300739]
 [-0.00980312]
 [ 0.03235926]
 [ 0.00771203]
 [ 0.0520971 ]
 [ 0.03208954]
 [-0.00098287]
 [ 0.06598789]
 [ 0.01588205]
 [-0.00563893]
 [-0.01081324]
 [-0.03165504]
 [ 0.01760424]
 [ 0.06114743]
 [ 0.0297747 ]
 [-0.02463152]
 [ 0.04842917]
 [-0.01493833]]",1
"[7.60969802e-07 1.08699530e-05 1.36761060e-05 ... 5.54873203e-05
 9.19780003e-08 3.62940584e-04]","[7.60969802e-07 1.08699530e-05 1.36761060e-05 ... 5.54873203e-05
 9.19780003e-08 3.62940584e-04]","[-0.00261701 -0.00989088  0.01109437 ...  0.02234694  0.00090984
  0.057153  ]",1
"[[1.65047014e-05]
 [9.75185804e-06]
 [9.96780902e-05]
 [5.70573034e-06]
 [2.58099298e-04]
 [9.73203054e-05]
 [7.95701808e-08]
 [4.14444032e-04]
 [2.41123875e-05]
 [2.69376024e-06]
 [1.09358643e-05]
 [9.39656918e-05]
 [2.98834693e-05]
 [3.52541476e-04]
 [8.45415779e-05]
 [5.73250529e-05]
 [2.19940803e-04]
 [2.18528199e-05]]","[[1.65047014e-05]
 [9.75185804e-06]
 [9.96780902e-05]
 [5.70573034e-06]
 [2.58099298e-04]
 [9.73203054e-05]
 [7.95701808e-08]
 [4.14444032e-04]
 [2.41123875e-05]
 [2.69376024e-06]
 [1.09358643e-05]
 [9.39656918e-05]
 [2.98834693e-05]
 [3.52541476e-04]
 [8.45415779e-05]
 [5.73250529e-05]
 [2.19940803e-04]
 [2.18528199e-05]]","[[-0.01218779]
 [-0.00936839]
 [ 0.02995167]
 [ 0.007166  ]
 [ 0.04819641]
 [ 0.02959532]
 [-0.00084625]
 [ 0.0610737 ]
 [ 0.01473131]
 [-0.0049238 ]
 [-0.00992083]
 [-0.02908077]
 [ 0.01639973]
 [ 0.05632826]
 [ 0.02758395]
 [-0.02271399]
 [ 0.0444912 ]
 [-0.0140241 ]]",1
"[[1.43440721e-05]
 [8.81828328e-06]
 [8.45539290e-05]
 [4.87991882e-06]
 [2.18667420e-04]
 [8.19277963e-05]
 [5.68697833e-08]
 [3.51454595e-04]
 [2.05516210e-05]
 [2.00962002e-06]
 [9.10970925e-06]
 [7.84980852e-05]
 [2.56953177e-05]
 [2.95970622e-04]
 [7.18713086e-05]
 [4.82327650e-05]
 [1.83578007e-04]
 [1.90847194e-05]]","[[1.43440721e-05]
 [8.81828328e-06]
 [8.45539290e-05]
 [4.87991882e-06]
 [2.18667420e-04]
 [8.19277963e-05]
 [5.68697833e-08]
 [3.51454595e-04]
 [2.05516210e-05]
 [2.00962002e-06]
 [9.10970925e-06]
 [7.84980852e-05]
 [2.56953177e-05]
 [2.95970622e-04]
 [7.18713086e-05]
 [4.82327650e-05]
 [1.83578007e-04]
 [1.90847194e-05]]","[[-0.01136207]
 [-0.00890868]
 [ 0.02758596]
 [ 0.00662716]
 [ 0.04436222]
 [ 0.02715419]
 [-0.00071542]
 [ 0.05624137]
 [ 0.01360017]
 [-0.00425283]
 [-0.00905469]
 [-0.02657974]
 [ 0.01520716]
 [ 0.05161139]
 [ 0.02543308]
 [-0.02083494]
 [ 0.04064729]
 [-0.01310582]]",1
"[[1.23009128e-05]
 [7.87157362e-06]
 [7.07820920e-05]
 [4.12048735e-06]
 [1.82782385e-04]
 [6.80320412e-05]
 [3.87586835e-08]
 [2.94075691e-04]
 [1.72977848e-05]
 [1.45821876e-06]
 [7.48474469e-06]
 [6.46931576e-05]
 [2.18203549e-05]
 [2.44988235e-04]
 [6.03260362e-05]
 [4.00180978e-05]
 [1.51008951e-04]
 [1.64644139e-05]]","[[1.23009128e-05]
 [7.87157362e-06]
 [7.07820920e-05]
 [4.12048735e-06]
 [1.82782385e-04]
 [6.80320412e-05]
 [3.87586835e-08]
 [2.94075691e-04]
 [1.72977848e-05]
 [1.45821876e-06]
 [7.48474469e-06]
 [6.46931576e-05]
 [2.18203549e-05]
 [2.44988235e-04]
 [6.03260362e-05]
 [4.00180978e-05]
 [1.51008951e-04]
 [1.64644139e-05]]","[[-0.0105218 ]
 [-0.0084169 ]
 [ 0.02523963]
 [ 0.0060897 ]
 [ 0.04055911]
 [ 0.02474446]
 [-0.00059062]
 [ 0.05144591]
 [ 0.01247718]
 [-0.0036227 ]
 [-0.00820748]
 [-0.02412962]
 [ 0.01401368]
 [ 0.0469563 ]
 [ 0.02330095]
 [-0.01897796]
 [ 0.03686571]
 [-0.01217291]]",1
"[3.28526152e-07 5.03752759e-06 5.50839972e-06 ... 2.09736491e-05
 1.29170881e-08 1.55796042e-04]","[3.28526152e-07 5.03752759e-06 5.50839972e-06 ... 2.09736491e-05
 1.29170881e-08 1.55796042e-04]","[-0.00171952 -0.00673333  0.00704099 ...  0.0137391  -0.00034096
  0.03744549]",1
"[[1.04422046e-05]
 [6.95700676e-06]
 [5.86709079e-05]
 [3.44744824e-06]
 [1.51251702e-04]
 [5.59127396e-05]
 [2.49830368e-08]
 [2.43607504e-04]
 [1.44251815e-05]
 [1.03039218e-06]
 [6.08596522e-06]
 [5.27771294e-05]
 [1.83619384e-05]
 [2.00622933e-04]
 [5.01593487e-05]
 [3.28526962e-05]
 [1.22841960e-04]
 [1.40741899e-05]]","[[1.04422046e-05]
 [6.95700676e-06]
 [5.86709079e-05]
 [3.44744824e-06]
 [1.51251702e-04]
 [5.59127396e-05]
 [2.49830368e-08]
 [2.43607504e-04]
 [1.44251815e-05]
 [1.03039218e-06]
 [6.08596522e-06]
 [5.27771294e-05]
 [1.83619384e-05]
 [2.00622933e-04]
 [5.01593487e-05]
 [3.28526962e-05]
 [1.22841960e-04]
 [1.40741899e-05]]","[[-0.00969432]
 [-0.00791284]
 [ 0.02297908]
 [ 0.00557019]
 [ 0.03689533]
 [ 0.02243245]
 [-0.00047418]
 [ 0.04682379]
 [ 0.01139415]
 [-0.00304525]
 [-0.00740092]
 [-0.02179436]
 [ 0.01285525]
 [ 0.04249243]
 [ 0.02124698]
 [-0.01719518]
 [ 0.03325023]
 [-0.01125467]]",1
"[[8.79983968e-06]
 [6.10332101e-06]
 [4.82943460e-05]
 [2.86668924e-06]
 [1.24270325e-04]
 [4.56160263e-05]
 [1.50483230e-08]
 [2.00374728e-04]
 [1.19532021e-05]
 [7.09363449e-07]
 [4.91179411e-06]
 [4.27479989e-05]
 [1.53556050e-05]
 [1.63032547e-04]
 [4.14320901e-05]
 [2.67673100e-05]
 [9.91276627e-05]
 [1.19524922e-05]]","[[8.79983968e-06]
 [6.10332101e-06]
 [4.82943460e-05]
 [2.86668924e-06]
 [1.24270325e-04]
 [4.56160263e-05]
 [1.50483230e-08]
 [2.00374728e-04]
 [1.19532021e-05]
 [7.09363449e-07]
 [4.91179411e-06]
 [4.27479989e-05]
 [1.53556050e-05]
 [1.63032547e-04]
 [4.14320901e-05]
 [2.67673100e-05]
 [9.91276627e-05]
 [1.19524922e-05]]","[[-0.00889936]
 [-0.00741147]
 [ 0.02084824]
 [ 0.00507939]
 [ 0.03344298]
 [ 0.02026189]
 [-0.00036801]
 [ 0.04246613]
 [ 0.01037202]
 [-0.00252671]
 [-0.00664877]
 [-0.01961459]
 [ 0.01175587]
 [ 0.03830526]
 [ 0.01931033]
 [-0.01552114]
 [ 0.02986886]
 [-0.01037171]]",1
